year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ABW,22040,19160,15930,15450,15260,18810,20980,21760,20610,19120,19250,19990,20940,20980,20400,19650,19360
AFG,5297530,6068740,6455080,5817210,6089930,9400350,10995630,13173990,14590140,16175440,17960940,19924480,21700980,23197170,24240990,24838000,25097210
AGO,2725290,3067320,3550560,4257120,4911690,5767470,6636470,7852840,8886720,9823820,10654820,11518930,12111390,12390670,12521210,12573300,12620740
ALB,904980,958390,957800,1020490,1078170,1019890,918100,825130,726840,635640,579820,554620,536680,501330,458470,418900,390350
ARE,80690,149940,287110,432590,561970,632660,776540,793230,1279290,1484910,1663740,1767660,1788670,1787580,1817980,1865930,1917170
ARG,7031590,7607850,8571100,9392290,10012300,10145530,10308390,10178170,10050060,10003060,10011340,9841870,9616100,9365820,9161190,8930810,8665680
ARM,986640,970350,941490,1006760,1076540,950490,795500,671970,623840,620820,594840,537970,504160,479310,463810,448060,428760
AUS,3670860,3812570,3716500,3724500,3765570,3888900,3966700,4028190,4228190,4432590,4746510,4980830,5159550,5236750,5296480,5412470,5580950
AUT,1824030,1763010,1545550,1383510,1339990,1403780,1357490,1315400,1235950,1198030,1186800,1192370,1187270,1162460,1132210,1113300,1113870
AZE,2281990,2277390,2128060,2187080,2470920,2639900,2524470,2102590,1919350,2337830,2637930,2521640,2113000,1851860,1832450,1915220,1921220
BDI,1566300,1674500,1847500,2120900,2496360,2799920,2943230,3027950,3174910,3499730,3873260,4104480,4131150,4080780,4078400,4123360,4162080
BEL,2255270,2192610,2020600,1895990,1800790,1776990,1739310,1759500,1806750,1845950,1873680,1883330,1902270,1918870,1938410,1962330,1987720
BEN,1215410,1406590,1633730,1901060,2205930,2572860,2970980,3404480,3866960,4288780,4657620,4902110,5048940,5115160,5140120,5160700,5144090
BFA,2530780,2890460,3348910,3870760,4448100,5046240,5720290,6521930,7466130,8398980,9289540,10079680,10768130,11318090,11703060,11902300,11984590
BGD,29909530,32330740,36274050,40512010,44766350,47293290,48333640,48185640,46543700,44857920,43376580,42812530,41429560,39468650,37357270,35418740,33608060
BGR,1937880,1919830,1961710,1905520,1792150,1495210,1257390,1062680,1027890,1029430,1003660,913460,847310,798800,771670,751270,721020
BHR,94230,104370,123330,139460,160780,168260,179310,198190,252800,315850,365400,388200,384900,387140,404370,429680,451120
BHS,71390,76220,77860,82100,83150,87780,87170,82190,77220,75010,77360,77560,77590,76800,75590,74240,73650
BIH,1232460,1156600,1066890,1033200,1042100,737410,729500,628570,565770,522750,512580,507460,477730,442580,411300,389100,375250
BLR,2623400,2393750,2209750,2287360,2367130,2229610,1885430,1538240,1439240,1502950,1532010,1441650,1278820,1153980,1101460,1100500,1097680
BLZ,57700,63070,67100,75210,83920,96380,104140,108660,109210,110250,113290,115480,115880,114080,111760,109330,107360
BOL,1806690,2042410,2268620,2491200,2727210,3035370,3297330,3501260,3582450,3613920,3595100,3585500,3579300,3531560,3439990,3328060,3216700
BRA,40627990,43523700,46220600,50213830,52640760,52436160,51497400,51169470,49615360,46998520,44349510,43354000,41935130,39968140,37844440,35929320,34127280
BRB,88500,77260,73130,67760,62190,60330,58520,53090,47530,42620,41280,39270,37660,35880,34040,32260,30700
BRN,51480,62370,73190,84700,89200,96490,99180,102220,104470,109540,109440,106220,103850,103120,103000,102730,101970
BTN,128610,152180,181460,210600,238850,225260,227970,221980,213610,217210,221490,225420,223500,217810,212700,209520,207810
BWA,331920,387030,463390,548190,619120,659270,667110,654880,653480,654790,658270,646000,629460,610250,592410,574230,555430
CAF,742640,841170,960280,1113160,1267450,1414990,1555580,1670440,1777390,1863320,1929600,1974060,1990720,1979340,1957250,1916010,1864020
CAN,6537080,6057130,5574700,5503110,5732610,5973130,5855880,5692620,5585250,5640110,5952350,6193270,6449120,6556460,6617230,6751380,6996820
CHE,1463980,1439780,1260710,1148510,1136630,1237450,1248940,1205340,1168100,1148670,1172720,1201840,1232340,1245810,1242240,1237850,1248880
CHL,3793450,3845730,3686530,3736840,3945340,4272170,4280810,4053460,3785040,3647180,3584170,3505960,3404100,3261940,3097830,2943710,2793790
CHN,322326270,356381070,349066380,323533920,320861770,331238260,323410700,285784180,260958390,237388020,220624050,201076750,185661470,170556790,157040110,145112160,134491820
CIV,2438330,3072200,3900370,4820070,5649060,6342960,6935940,7527040,8079840,8482780,8650000,8615830,8517410,8414780,8285930,8050990,7735790
CMR,2901000,3417300,4060210,4759160,5504300,6193030,6713150,7300040,7953730,8568590,8880870,8871070,8820680,8808820,8805780,8658880,8407400
COD,8990610,10461970,12262950,14320450,17122540,21091080,23805210,27267080,30529540,33848690,37090660,40278250,42532320,43618860,43724790,43569360,43472530
COG,581370,687760,806330,927420,1044750,1162370,1302490,1460500,1641020,1777580,1863280,1894660,1926910,1964410,1995190,1989210,1962870
COL,9762020,10410350,10957090,11424050,12131310,12688740,13050270,13238270,13304990,13240950,13148320,12921000,12711800,12392480,12064100,11754010,11430760
COM,109160,124240,152900,183170,202400,216380,232330,268090,313070,344420,352660,344930,340710,345110,351340,348530,334370
CPV,132210,142670,138090,146340,158150,175770,182520,174760,157730,151150,146810,142010,134830,126590,118790,112000,106080
CRI,813760,846120,878150,963290,1099410,1191780,1232260,1202160,1160050,1124800,1104400,1103220,1093290,1075120,1057150,1038370,1025210
CUB,3270930,3526350,3110890,2669980,2452380,2467150,2406850,2192550,1949580,1744180,1561720,1446890,1340770,1218230,1099510,990560,899270
CYP,189940,180070,171320,175440,195390,208620,211270,206120,196110,190280,195920,200000,206430,205490,201540,198750,199300
CZE,2098830,2187430,2404070,2416390,2238110,1952480,1707430,1526860,1470750,1580900,1684930,1664980,1610130,1544530,1510890,1527320,1576690
DEU,18149870,16931090,14473870,12440910,12638560,13307960,12913610,11725600,11092260,10466600,10328080,10295720,10323660,10162850,9898710,9657030,9529560
DJI,73960,102780,154010,179890,248390,271910,302530,311300,318190,327950,334620,335370,332570,328230,322670,316760,310810
DNK,1148020,1143360,1068120,942850,877070,910340,987830,1016980,999610,954920,947320,969260,1048970,1111140,1134130,1127150,1120850
DOM,2144750,2320970,2453000,2602980,2761540,2918120,2993120,3049700,3080270,3087000,3031530,2947840,2884030,2816410,2725690,2622770,2522730
DZA,6647660,7626610,8622570,9925110,10909410,11241220,10450580,9780600,9593110,10086500,10413780,10273350,9793450,9238470,8900440,8859470,8822140
ECU,2642880,3018310,3396060,3729570,3983960,4130580,4237810,4325650,4387840,4360180,4300790,4236610,4162520,4069540,3953010,3822850,3688100
EGY,15629020,17165890,19083600,21194960,23300790,24085560,24379500,24532760,25580860,26790090,27574320,27713950,27363720,26962340,26629950,26256450,25605290
ERI,836200,959700,1163100,1341840,1462610,1510100,1645850,1883370,2185190,2472330,2627810,2647380,2663410,2729810,2827260,2874740,2851090
ESP,9421260,9775650,9738310,8966190,7728410,6549270,5952490,6289510,6893890,7122900,6906900,6292470,6014330,5968860,6167140,6405890,6497420
EST,301340,312040,319680,337060,346400,297510,247800,204090,205550,214880,219000,205320,192360,179700,174220,175690,177330
ETH,12760180,14676420,15779060,18302120,21785210,26179070,30124910,33033750,34401190,35936360,37995530,40655630,42156200,42390060,41865100,41281500,40786090
FIN,1133000,1037090,970620,951530,963150,972010,939750,911670,887240,895180,926660,954180,983760,996040,998860,1004890,1022190
FJI,227890,231640,249490,278030,279770,283670,284590,251860,249890,252150,245020,225960,209130,197280,187190,176100,164420
FRA,12604670,12611150,12056020,11739270,11393400,11287950,11120940,11234670,11530910,11832690,11992770,11994570,12008760,12059040,12155440,12248890,12266050
FSM,28220,29970,34500,39030,42480,46510,42990,41830,40590,38140,35550,32920,30510,28180,25900,23700,21560
GAB,174780,209780,257240,317900,384950,457100,505930,528680,534010,539070,545630,545490,542860,533940,522440,511130,498440
GBR,13397080,13118950,11828930,10872780,10885350,11286800,11197380,10799900,10772870,11273470,11925490,12231710,12294020,12265130,12263940,12386970,12586790
GEO,1443020,1391710,1305730,1329730,1343060,1224580,1041790,823420,721010,729040,722790,664690,583400,519370,481990,459430,434890
GHA,3954540,4563720,4994860,5789970,6503170,7253970,7870450,8585190,9411840,10257150,10928090,11357760,11699210,11996660,12238260,12366750,12323120
GIN,1754890,1826360,1906800,2161580,2558990,3372020,3692360,3944820,4282280,4618820,4795690,4802610,4732490,4657230,4562690,4436690,4253180
GLP,137100,137900,108830,106060,102650,103980,105610,107190,103580,98930,96600,95500,96330,96920,95360,92400,89620
GMB,185120,229650,284080,359470,450830,527210,591990,677040,760170,833280,881520,903890,908250,912460,920990,923890,911060
GNB,223180,284430,351160,418660,444860,495900,535020,579480,625860,668690,695550,701440,693350,684420,676380,666370,647150
GNQ,112530,106710,96500,108420,140940,185210,221450,246430,274910,304030,331580,349110,361190,368990,375060,379720,379480
GRC,2186200,2160460,2199780,2115320,1955740,1790690,1668980,1606960,1654900,1662490,1637110,1530680,1475270,1455380,1463020,1467520,1447310
GRD,46550,39380,35580,38040,37460,38150,35580,30920,28790,28120,28300,27210,25060,22780,21210,20260,19280
GTM,2429140,2784490,3182320,3626930,4039530,4487140,4945730,5483260,5970450,6314860,6457050,6498300,6550670,6591080,6528920,6404040,6239980
GUF,18730,22010,23300,28980,40940,49140,59280,71740,77210,80330,82110,84280,87210,88850,89250,88480,87470
GUM,33890,35590,37180,38770,40410,45010,47320,49520,49240,48030,47320,47320,47370,46710,45450,43990,42720
GUY,351240,340610,330230,290260,249690,252020,260390,275090,253350,213080,182010,176490,169880,158940,143720,128160,115610
HKG,1467100,1371700,1283500,1256800,1244900,1193100,1166700,968900,811520,814910,938450,1032350,990650,936260,886970,884370,940290
HND,1278980,1471780,1700390,1946660,2216670,2465330,2633720,2737270,2793890,2828390,2844640,2820970,2778400,2723880,2658340,2581150,2486750
HRV,949490,916600,922890,941000,926200,871580,766280,706990,659550,619300,605170,579740,554250,526610,502380,483900,469630
HTI,1971360,2122760,2338790,2700450,3067110,3353610,3481800,3548850,3591870,3569600,3524500,3433610,3340450,3216060,3086540,2952990,2821730
HUN,2148870,2147770,2347550,2282370,2099170,1877070,1715940,1566470,1468680,1406500,1355670,1281790,1257750,1222570,1184770,1149090,1120980
IDN,51108690,57037300,61981550,65689350,67209520,67133320,65580630,65357950,64853430,64000660,61428700,58540640,55537460,52659640,49893530,47096520,44059020
IND,227496850,250191100,277113600,304503080,331658580,352626990,365785170,371403600,374586980,376335810,375274020,368352560,358375180,348812150,340108690,331377140,319392240
IRL,922120,989320,1037550,1033380,953730,873550,828210,855990,947400,1008980,1044980,1016620,1009070,1016480,1043000,1074360,1092120
IRN,12604400,14197460,16693220,21149830,25075420,25218560,22860730,18110320,16972120,18503960,19735150,19357320,17398620,15645730,14811900,14607020,14267670
IRQ,4472730,5434860,6420520,7205410,8042850,9029470,10369080,11907720,13669100,14970220,15748700,16075170,16499940,16948620,17280560,17259500,16929620
ISL,66010,65530,62760,63870,63570,65320,65470,65450,66620,69510,73810,76340,78710,79840,80980,82990,85790
ISR,934830,1088320,1236960,1341440,1406610,1546940,1689240,1839410,2021020,2268150,2521700,2752060,2933330,3122340,3331980,3558840,3778480
ITA,13171800,13385240,12496560,10972970,9357860,8512410,8162080,8267550,8515490,8441860,8157430,7719200,7609300,7597240,7588010,7501790,7333160
JAM,878000,910370,858390,857330,831450,835180,843050,834690,796320,725720,701930,678820,647390,606470,563010,528460,497760
JOR,761180,941170,1121870,1316400,1593050,1803150,1920910,1969710,2320880,2383420,2461600,2529200,2643020,2697890,2710640,2705950,2703960
JPN,25017000,26966920,27311900,25944080,22387130,19969950,18385570,17457170,16902860,16207730,15304920,14235520,13247600,12562970,12067270,11602770,11067150
KAZ,4925310,4895630,4833100,5056790,5202080,4736810,4134610,3684770,3924600,4369620,4622150,4315260,4008470,3823320,3791370,3822140,3757590
KEN,5520060,6694760,8128310,9819920,11488750,12757400,13841800,15220080,17200400,19011680,20230680,20863070,21381840,21918820,22357060,22568100,22394220
KGZ,1235080,1315300,1346580,1485670,1650910,1724760,1733220,1576740,1602720,1657420,1719400,1638220,1530010,1449710,1403560,1360590,1295330
KHM,3000100,2999100,2538200,3334850,4178600,5306190,5175530,4863960,4509800,4438570,4510420,4507830,4361250,4137840,3940790,3818910,3719330
KOR,13245810,13250650,12708100,12179150,11013450,10257370,9639200,8986170,7917830,6982780,6757810,6471290,6230410,5912800,5498570,5056590,4694080
KWT,330320,476580,550660,642150,744570,465120,516380,548220,730770,792980,799690,774630,806930,851010,893480,914750,913980
LAO,1128430,1280230,1421040,1603260,1831040,2089580,2248480,2248700,2139870,2069670,2073470,2097630,2079450,2001040,1907790,1828190,1779720
LBN,1032510,1108090,1097890,1093570,1063160,1113820,1141140,1117250,1047820,965380,944230,933970,921430,886620,838610,792170,757770
LBR,634280,743410,874530,1015360,969600,932950,1241220,1378670,1737180,2000650,2254330,2469040,2645560,2764010,2844520,2919330,2973490
LBY,900300,1146100,1440900,1819300,1885210,1828120,1692770,1763250,1932970,2086550,2106230,2008230,1882770,1807400,1814500,1855990,1869330
LCA,52810,51300,52110,51990,51200,51840,50930,47330,45070,43920,43780,42150,40270,38210,36390,34740,33130
LKA,4985660,5152610,5377720,5521960,5537060,5340640,4952690,4974420,5189000,5365150,5233650,4866110,4584450,4422250,4330200,4195450,3978850
LSO,455200,511720,580510,658950,722560,772690,809610,817600,811960,798460,794620,787070,771590,743940,712740,685590,660480
LTU,848580,827200,799120,810050,833740,791100,698830,572810,494200,500760,531280,532690,491090,437430,395720,380600,384990
LUX,75050,71730,68330,63070,66260,75110,82560,85110,89620,89780,92940,99210,110240,119960,126400,129730,132590
LVA,511200,516050,515210,546980,571010,515800,422820,332480,311880,319540,319290,296100,271430,243720,225890,220430,218790
MAC,96760,73720,60980,74060,91210,102230,98630,79890,71280,76310,87420,93290,94060,92320,92070,95690,102110
MAR,7282300,8163800,8311830,9264660,9843420,10039760,9662720,9207940,8949220,8864700,8881260,8719960,8387950,7935580,7509840,7189720,6936700
MDA,1154250,1108370,1071840,1147010,1218240,1154250,974030,714650,595640,554300,530930,458450,401800,350730,314210,286470,259290
MDG,2952450,3421730,3955360,4413590,5039910,5842370,6954260,7973740,8927130,9702580,10370370,10859920,11266970,11553470,11745050,11774010,11672960
MDV,53600,61880,70130,84820,102970,114640,110350,96350,84030,81310,83720,85960,83210,76880,71050,67590,66210
MEX,24226180,27758850,30511730,31909030,32426130,33022220,33161730,33219170,33007190,33027220,32581730,32101640,31473520,30634890,29688010,28678860,27629100
MKD,511330,515100,514410,498950,499200,483040,447670,404430,362990,341580,335470,331320,321390,305040,288240,275470,267720
MLI,2555040,2859250,3232450,3667270,4120550,4652540,5326930,6209520,7247780,8240970,9101020,9809690,10363160,10755430,10977390,11057420,10995300
MLT,86490,77270,75540,84560,88850,87910,81200,70520,62380,60320,63040,65110,63680,60720,57860,56150,55590
MMR,10941260,12243360,13239290,13905290,14106850,14052230,13778030,12945230,12297370,11567850,11088030,10586840,10171040,9700450,9187200,8645840,8145870
MNE,169730,165160,158920,153080,155460,150510,137650,124470,121330,117980,114920,111610,107640,103780,100920,99000,97390
MNG,565030,670340,738240,810090,888000,893840,850060,746440,760810,819600,889230,865050,811030,763560,750200,762890,768210
MOZ,4108210,4652440,5324120,5958380,6312640,7038320,7981770,9212510,10312860,11071710,11424980,11708800,11984000,12172070,12236700,12144210,11916540
MRT,518630,600730,692850,791870,895860,1008200,1128110,1255080,1379890,1468920,1515840,1522750,1531580,1545880,1556040,1542050,1509480
MTQ,134700,132300,99550,93640,88030,88350,88610,84010,78670,76480,76160,77530,77580,76890,75180,73140,71490
MUS,361910,356540,341370,318960,314610,316170,319580,311560,284430,258910,239420,235280,238700,237030,229450,219290,210510
MWI,2097720,2485370,2938130,3449610,4305580,4416180,5144730,5908070,6828310,7852150,8989730,10046900,11117010,12125630,13057520,13806650,14360560
MYS,4885260,5218340,5394490,6043200,6755360,7396480,7802940,8406490,8615950,8627910,8571090,8642670,8700940,8684520,8546760,8336400,8112010
MYT,17200,22120,27150,34470,43340,56120,66650,73410,94130,103610,105950,95860,98740,103870,107110,106710,103910
NAM,336550,401140,472100,540650,617730,693630,764370,809220,831650,836430,833650,827220,825190,818140,800470,777260,752840
NCL,40630,48740,52550,55070,54780,57910,61230,62470,63240,63580,65430,66850,67570,67600,67590,68020,68700
NER,2085350,2437760,2816030,3249570,3762450,4433900,5295240,6352690,7596090,8943980,10381050,11878830,13437980,15113270,16850560,18555780,20045510
NGA,24515600,28333970,33284870,38612250,43717070,48341200,53351130,59878990,67828040,75784200,83531660,91136200,99001020,106953710,114465790,121190180,126951410
NIC,1151340,1313670,1521720,1735060,1889960,2035630,2072840,2046400,1994790,1967190,1936350,1865740,1790720,1715230,1633980,1547440,1458930
NLD,3548810,3483350,3184020,2850040,2714910,2838410,2945550,3008530,2940600,2820440,2682440,2643930,2695800,2748210,2754470,2707490,2639690
NOR,948990,953480,905690,830740,803320,849260,898570,908040,914280,910000,940890,981210,1043030,1086940,1107250,1116890,1135090
NPL,4941570,5611830,6359580,7183860,8076450,9065090,10018450,10715670,10841770,10879090,11003810,11361470,11391760,11194560,10939650,10745060,10525050
NZL,895450,924780,855940,805510,790100,846150,876880,890610,894990,914040,949970,964630,979550,983930,985700,994010,1006610
OMN,339750,414350,538350,708280,851800,899530,831370,778790,755760,793980,796980,739660,696290,658090,631970,607650,574270
PAK,25323520,29604890,34922280,41405650,48918070,55139030,59787560,60396980,61398490,63221890,67026830,69341950,69476520,68405880,67459780,67217980,66950420
PAN,662750,739190,789840,819660,849530,891250,941460,982960,1018370,1017720,1001660,985200,982270,973690,956530,929100,899520
PER,5782460,6526800,7222640,7778110,8273290,8587010,8795010,8817320,8713410,8509470,8219090,7876390,7551360,7226710,6891130,6542480,6196880
PHL,16305240,18186310,20370970,22780330,25376160,27632300,29771050,31792320,33054070,33639690,33544890,33585860,33350910,32874800,32126400,31299410,30234030
PNG,1060270,1261700,1455790,1641210,1755650,1922560,2164840,2436000,2678540,2768320,2773140,2735770,2745870,2759100,2721120,2639350,2541150
POL,8746900,8175160,8628710,9489920,9506690,8764980,7421760,6282690,5659370,5576720,5794730,5768390,5658270,5336520,4997260,4792800,4772790
PRI,992500,987900,1009270,1000860,959780,936490,903460,845380,788460,721260,665810,598090,536220,481740,433480,388240,347630
PRK,5673960,6171270,5948630,5550770,5272360,5881000,6026870,5977970,5571330,5170720,4967920,4808740,4515510,4101210,3704870,3450800,3307020
PRT,2491140,2518670,2527170,2360540,2043050,1805380,1671930,1645530,1613640,1537190,1442430,1381300,1399940,1436570,1472080,1487350,1489120
PRY,1144310,1234930,1356770,1539170,1755060,1934370,2039170,2112520,2164540,2189680,2202620,2193740,2171520,2129840,2080840,2025780,1959290
PSE,555050,666450,753340,860290,999850,1249030,1515270,1626900,1716480,1820500,1909230,1943500,1951260,1946380,1932700,1895230,1841570
PYF,50930,54550,60400,65350,69010,73210,78370,69240,68240,66220,68020,69480,68410,66250,64260,63120,62380
QAT,38760,53460,74120,105660,134120,135270,154160,175700,237180,312560,350800,358030,350880,355310,373370,395000,405760
REU,209500,203310,191470,186010,188400,199860,210480,212400,216990,221960,220110,218080,215930,213580,211710,210090,208000
ROU,5251880,5360800,5921720,5602640,5468680,4644440,4085570,3400220,3264190,3080850,2924400,2692790,2536110,2385760,2259780,2142000,2017890
RUS,34638470,31280160,30017930,32531910,34027480,31740340,26692060,21679690,21500330,23757340,24560270,23118030,20437120,18699990,18520480,19326020,19910130
RWA,1791510,2095040,2489250,2974880,3491910,2695790,3677300,3899230,4530690,5167800,5726730,5999110,6168450,6350010,6608280,6852680,6980680
SAU,2583060,3271230,4385230,5681790,6894010,7631560,7746240,8061430,8330460,8969460,9353530,9339910,9574490,9833760,10105320,10250690,10293180
