year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
SDN,6511390,7615900,8968480,10489980,11637840,13001130,14456080,15896430,17459110,18650010,19469830,19986320,20376790,20618030,20693200,20450220,20020820
SEN,1813700,2169860,2556740,2972230,3416640,3866410,4315510,4828660,5431560,5978630,6377670,6594060,6745740,6906040,7031480,7100430,7051250
SGP,804700,742900,653270,658100,647390,774910,840970,834630,884920,792060,793700,859340,937040,976340,962190,919090,894380
SLB,70450,91970,108370,127100,140350,153860,170650,191380,213870,228460,233440,231230,231760,234350,235030,231820,225660
SLE,1042700,1151650,1298630,1486210,1686380,1650020,1756810,2211800,2522910,2728200,2867560,2937030,2997870,3043880,3075160,3081110,3038180
SLV,1730070,1932550,2099370,2196150,2216020,2266020,2272000,2152740,1980780,1822200,1769730,1707760,1613420,1503410,1400970,1311580,1223490
SOM,1638520,1886870,2973240,2869130,2932540,2820600,3266270,3730620,4192450,4617520,4868390,5001920,5132740,5264560,5280810,5138310,4904750
SRB,2025540,2070440,2134130,2211620,2222200,2225960,2018130,1818510,1734920,1621680,1502020,1404120,1401720,1385540,1350720,1294800,1235610
STP,34380,38630,44080,48350,54160,57300,60030,63460,66680,67400,65750,63200,60980,59100,56950,54310,51320
SUR,180000,173680,145940,134500,135440,140540,142900,148870,149850,145020,139660,138290,137310,134940,130910,125850,121390
SVK,1256630,1238930,1302530,1365880,1345170,1241410,1087910,926590,826160,848430,894550,910970,874420,817070,766830,746000,757290
SVN,402990,413000,425370,423620,404090,357590,315750,284600,282330,298040,310390,304550,285200,270170,265900,271200,278230
SWE,1676450,1695260,1628350,1516560,1535020,1664020,1632660,1570970,1551060,1654700,1769190,1849500,1916240,1937420,1952050,1999810,2078540
SWZ,210360,248260,294380,344890,415450,458980,474770,461920,455520,457990,458250,456020,447080,433730,419090,406980,396170
SYR,3035770,3640160,4338840,5100080,5753360,6180570,6404910,7229970,7532380,7338200,7152630,7142450,7365740,7421480,7291290,7045810,6790890
TCD,1534430,1760660,2004730,2326910,2751650,3212510,3772390,4485110,5101080,5725650,6294060,6844260,7284370,7602710,7734050,7757460,7713480
TGO,938870,1091430,1242020,1476360,1687770,1829200,2071350,2246470,2389970,2491870,2556170,2596310,2612400,2616990,2592180,2542550,2480830
THA,16262660,18006170,18706300,18151610,17173360,16198000,15148110,14919760,14194010,13248360,12513740,12019270,11674140,11156150,10623430,10082590,9618590
TJK,1371400,1562940,1695580,1942150,2288770,2520820,2614820,2567880,2544670,2525890,2521670,2465000,2360740,2229320,2114890,2020550,1924330
TKM,984550,1095120,1182350,1308620,1484470,1656490,1634190,1551500,1473770,1505790,1510770,1490130,1426600,1347450,1283190,1238530,1201280
TLS,253200,272850,231170,267120,293020,358090,409260,471520,519570,554880,608600,653970,691630,708150,703600,684900,666980
TON,40600,40280,38780,38320,37500,37920,37570,38450,38990,38400,35400,31260,28340,26890,25700,24060,21820
TTO,407660,383800,369230,399700,416550,397940,338900,289170,276270,272450,263230,239860,215410,195080,181890,171770,159730
TUN,2371000,2482780,2711190,2942600,3129460,3061260,2837080,2550600,2458530,2495890,2536370,2451580,2317770,2151610,2015840,1939710,1898010
TUR,15004570,16375020,17612640,19039910,19678830,19820850,19555710,19335080,19180820,18820630,18632700,18099010,17557820,16903330,16224670,15538290,14820260
TZA,6287450,7410740,8696000,10141480,11735750,13577520,15229380,17285550,20051020,22790540,25082600,26629390,28019300,29246740,30297020,30939130,31198220
UGA,4426900,5159710,6032470,7073400,8498700,10103220,11800930,13862690,16189220,18712710,21165110,23564230,25996370,28343410,30456960,32152100,33410330
UKR,11817280,11272520,10712240,11022350,11065790,10345960,8556840,6887010,6452800,6724230,6912610,6467700,5822200,5325390,5128580,5145440,5150920
URY,783390,782650,784340,806800,808220,805570,814700,789840,758440,725720,694090,662970,635780,605690,571370,536750,503790
USA,59375150,55157970,51924480,52534920,54988870,58316310,60379010,60885730,62316040,62605600,62754670,62731730,65184210,66895000,67873850,68207590,68220620
UZB,5408080,6059910,6528100,7358840,8392090,9249310,9258530,8596920,8058690,7976550,8125420,7987490,7607640,7102050,6690550,6462360,6298830
VCT,45040,45390,43900,41630,40770,37230,33940,31020,28970,26850,25350,23730,22200,20640,19030,17470,16150
VEN,4876810,5494620,6118550,6737230,7481130,7931470,8207820,8347460,8536200,8614850,8545070,8361300,8202540,8016280,7778130,7495170,7204960
VIR,23130,35850,35400,35330,29830,29600,28120,24660,22080,20190,18780,17630,16630,15390,13970,12640,11500
VNM,19871110,21413230,21998950,23761730,25529270,27009350,25268120,22734980,20732480,20943750,20977630,19929350,18325190,16726420,15576570,14800730,13940700
VUT,38650,44920,51440,57580,64270,71870,76750,84200,91660,96120,97730,97290,97840,98710,98210,96290,93680
WSM,68040,68080,64720,63070,65920,66170,71590,71540,69260,64400,56520,50090,46090,43780,40790,36830,32620
YEM,2817430,3202110,3925160,5022170,6335440,7709630,8645000,9560440,10638860,11984760,13315280,14268200,14786960,15146720,15559870,16008810,16282080
ZAF,9467460,10761330,12081090,13352250,14326110,14915740,15074450,15154500,15105060,15075360,14954570,14900640,14717320,14423560,14090040,13767430,13424420
ZMB,1921020,2304450,2734230,3161920,3599550,4037750,4620240,5265450,6069640,6914950,7730790,8438700,9032810,9551600,9922370,10112440,10182920
ZWE,2504860,2987460,3567410,4243830,4828560,5179800,5217610,5045270,4886310,4766590,4652450,4416720,4150970,3892070,3659690,3445190,3214420
