year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ARG,4028973.5,4895806.735,5669244.795,6662930.685,7910040.791,9470701.134,10999891.71,12595271.7,14280026.83,16010261.16,17608021.33,19214483.89,20766564.72,22032823.8,23051593.1,23818344.62,24342408.98
AUS,4222067.297,5180408.575,6225350.56,7256373.27,8296160.474,9165050.163,9985521.336,11019045.31,11926926.49,12656082.58,13245076.13,13717286.96,14070000.02,14313318.15,14447121.48,14465699.38,14383246.12
AUT,4980947.284,5092880.199,5216822.988,5349571.176,5488758.744,5653669.585,5693285.554,5789146.879,5871228.291,5907196.613,5892508.508,5849721.242,5785158.568,5673244.096,5534294.983,5365178.405,5165736.73
BHS,60558.67158,74776.31683,92357.04649,110544.5392,128539.7252,143608.1093,158037.8089,171923.1456,188673.6533,203378.2231,213654.6844,223198.1725,231328.1964,237512.0129,240667.378,241577.9139,240565.7497
BHR,28226.75712,53748.74458,92957.12123,128608.928,180829.9154,237094.8127,294220.1831,341475.2624,390953.7795,437790.2052,483490.922,525124.4206,561061.6215,588605.7864,610172.3305,627764.2138,640388.2342
BGD,5168176.787,6837877.471,8551939.783,10641576.22,13617181.9,18229349.55,23364290.75,29110291.16,36071181.09,43172167.63,51302561.66,59222481.15,67537875.26,75669056.6,83420004.31,90556009.37,96860998.16
ARM,919185.138,1227147.905,1513944.678,1687298.752,1818866.07,1682155.523,1708796.358,1810538.899,1853145.318,1826399.77,1777092.302,1753199.653,1726790.909,1670174.712,1579525.554,1468609.244,1357219.365
BEL,2588893.404,3021446.17,3444734.135,3768617.39,4058069.971,4274586.434,4444558.708,4659182.291,4824225.23,4943147.963,5006109.527,5057497.191,5065162.733,5000587.039,4900786.289,4772380.891,4622991.844
BOL,515131.6123,669537.5608,873545.4893,1111255.444,1410130.604,1731191.634,2048731.466,2500022.104,3018632.719,3550811.714,4098436.306,4614275.477,5090526.334,5478948.058,5801758.46,6051919.43,6223317.045
BRA,10851201.86,15079799.81,20428722.27,26360790.74,32761406.46,40619740.54,50637353.37,60819814.46,70402506.46,81005406.5,92192593.35,103147663.2,113135704.5,121268489,128365707.4,134294010.2,138819386.9
BLZ,7361.218573,9680.424088,10925.28784,13273.01839,16728.53385,21943.39772,26907.14953,33883.18388,43801.29071,55270.82269,67493.60183,80239.94741,93586.90391,107041.0407,119983.4291,131820.0412,142180.199
BGR,3896095.384,4278213.984,4541091.823,4808600.864,4917001.732,4906168.667,4886159.116,4858222.859,4697307.448,4458075.147,4242311.535,4052237.329,3829210.863,3558861.117,3271418.996,2992690.871,2731153.466
