year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ARG,568823.4476,762153.7944,985737.9474,1259037.013,1569155.104,1924812.007,2302287.284,2815671.454,3407235.227,4066270.393,4800788.518,5591515.912,6428623.245,7332970.2,8303567.172,9311699.79,10328716.28
AUS,527644.0892,796327.9367,1146525.997,1562196.794,2107235.177,2646767.913,3232951.095,3723438.507,4258894.688,4821489,5387991.377,5941994.091,6489321.652,7030989.298,7573052.246,8120987.759,8675236.871
AUT,343276.0762,374652.4457,415245.2664,475062.0119,558189.8253,663618.5965,744532.7273,824599.4401,911535.579,1000042.005,1092717.054,1181625.958,1266412.561,1349423.702,1432725.04,1517994.328,1604555.566
BHS,7313.62578,9609.672517,12272.48028,16254.1852,21261.56391,27878.51637,36513.07136,43335.0961,50502.9021,58952.91432,67847.26952,76641.02509,85685.41676,95042.10922,104343.8985,113688.006,123169.4964
BHR,3273.638136,5603.161946,13992.95855,23031.95603,28666.18641,37012.56822,48224.9495,60755.72104,73990.32615,88851.94135,105570.06,123009.1684,141508.6729,160302.3477,179263.5111,198464.0048,218356.1556
BGD,638269.2865,974672.4759,1521981.424,2228739.518,3273544.382,4742572.001,7495788.699,10023663.93,12985930.02,16418702.21,20131151.26,24412961.58,28973912.52,33994201.46,39401984.23,45127316.44,51085028.76
ARM,135726.8979,177114.2203,229055.7177,287775.434,349747.4486,359000.5154,386429.5622,426969.6212,483370.1447,543058.2133,586951.7539,614308.1862,641166.7708,673264.6897,703824.5541,725153.7144,735508.8509
BEL,518138.2354,664785.545,843230.6647,1040451.388,1281277.426,1546612.647,1824069.47,2066645.622,2311271.035,2560133.122,2805993.786,3039628.244,3269438.595,3496423.782,3711002.682,3912202.782,4100832.914
BOL,113721.2071,160292.0161,220814.6522,291071.7957,375734.078,500905.1371,732432.6607,929248.7459,1168632.677,1463665.141,1794950.805,2167640.269,2569318.054,2994990.757,3436346.492,3884157.469,4328681.305
BRA,1709959.213,2366104.225,3207341.482,4160826.706,5162419.1,6265744.809,7500356.869,8995912.396,10767666.84,12683453.32,14734420.63,17059454.62,19691928.24,22554030.42,25562993.14,28705277.93,32002532.23
BLZ,1651.408226,2071.009445,3031.750722,4387.991857,6046.405999,8723.506536,13485.99213,17981.29807,23246.70003,29621.00726,36996.43624,45260.93126,54227.04901,64018.84286,74500.3814,85464.32502,96644.62233
BGR,441316.1093,547799.1113,660841.7079,793317.8322,903767.3585,973123.0471,1057291.989,1162281.246,1257322.137,1337054.636,1386732.76,1416423.702,1448259.866,1481054.72,1502012.123,1507935.299,1501254.055
MMR,97277.52676,162419.2055,277457.4984,453412.9261,662184.4911,947516.8938,1487323.256,1937345.72,2451511.789,3008678.405,3592362.622,4194124.516,4837234.937,5513620.266,6220266.641,6957375.859,7711318.851
KHM,6943.952004,9103.676529,9624.143048,12606.08239,19348.80117,31676.42517,54760.9062,84555.752,126246.6943,181969.0978,243924.817,314454.6351,398519.0009,502067.7989,626432.9927,768124.6288,923291.3168
CMR,20810.91768,38263.34629,58428.51718,92662.90166,137565.2326,200973.3146,313368.2385,427343.288,571281.6509,750909.5252,963875.5208,1223840.392,1531601.659,1877748.352,2263109.827,2690574.31,3164386.765
CAN,1647994.713,2391004.881,3318639.909,4436168.245,5580293.49,6619492.826,7841935.276,8911757.799,10001801.88,11101284.32,12112318.5,12998831.38,13805602.96,14548104.55,15230682.61,15848560.55,16403014.65
CAF,2471.55974,3664.814,6421.689358,11066.41471,17758.17539,26090.1515,37647.99755,51071.23696,69331.09287,93767.6369,123878.2584,160769.9929,204458.8886,256328.9886,317616.7123,387408.9915,465269.1288
