year,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
AUS,8.04,8.27,8.53,8.93,9.7,10.52,11.2,11.2,11.18,11.2,11.07,11.38,11.54
AUT,5.97,5.78,5.86,6.69,7.4,7.7,7.89,8.11,8.36,8.81,8.97,9.29,9.6
BEL,6.75,7.04,7.22,7.33,7.66,8.03,8.5,8.97,9.43,10,10.29,10.59,10.69
CAN,7.6,7.93,8.34,8.65,9.14,9.7,10.15,9.94,10.33,10.71,10.95,12.03,12.32
DNK,5.51,4.6,5.06,5.72,6.78,7.46,8.14,8.77,9.35,10.04,10.77,11.1,11.3
FIN,3.86,4.01,4.18,4.84,5.73,6.74,7.56,7.44,7.55,8.59,9.09,9.51,9.84
FRA,4.33,4.45,4.2,4.65,4.75,5.76,5.96,6.91,7.65,8.82,9.75,10.12,10.68
DEU,6.8,7.43,7.49,7.43,7.05,6.98,7.03,7.18,8.6,9.44,10.06,11.65,12.37
GRC,4.14,5.49,7.39,6.41,6.52,6.79,7.1,7.89,8.58,8.73,8.89,9.9,10.3
ISL,5.7,5.88,6.14,6.56,7.01,7.43,7.88,8.33,8.78,9.23,9.67,10.42,11.05
IRL,6.23,6.48,6.72,7.09,7.67,8.42,9.26,9.97,10.12,10.39,10.66,11.54,12.03
ITA,4.21,4.54,4.86,5.23,5.63,6.16,6.71,7.18,7.7,8.27,8.78,9.15,9.63
JPN,6.73,7.19,7.76,7.48,7.83,8.38,9.1,9.63,9.82,10.51,10.94,11.3,11.6
LUX,3.39,4.05,4.51,5.33,6.21,7.92,8.22,8.5,8.91,9.22,9.55,10.26,10.99
NLD,6.08,6.14,6.19,7.31,8.2,8.93,9.46,9.92,10.28,10.56,10.81,10.8,11.39
NZL,9.19,9.48,9.9,9.97,10.93,11.71,11.59,11.71,11.62,11.68,11.76,11.77,10.98
NOR,7.4,7.41,7.48,7.86,8.32,8.54,8.96,9.69,10.28,10.72,11.02,11.78,11.59
PRT,1.9,2.06,2.28,2.46,2.93,3.8,4.65,5.42,6,6.69,7.43,7.02,7.52
ESP,3.83,3.83,4.18,4.48,5.59,5.91,6.81,6.89,7.02,8.11,8.93,10.12,10.27
SWE,6.75,7.02,7.56,7.96,8.45,9.24,9.86,10.2,10.58,11.18,11.38,11.81,11.64
CHE,8.84,8.96,9.04,9.36,9.72,10.34,11.06,10.31,10.01,9.83,9.78,10.55,13.02
TUR,1.11,1.38,1.76,2.08,2.45,2.92,3.55,4.58,5.01,5.44,6.1,6.47,7.05
USA,8.4,8.75,9.17,10.03,10.78,11.46,12.03,12.08,12.2,12.59,12.64,12.86,13.18
GBR,6.39,6.61,6.86,7.46,7.91,8.25,8.41,8.68,9.1,9.44,9.92,11.1,12.24
BRN,2.02,2.27,2.7,3.39,4.66,5.68,6.64,7.14,7.69,7.98,8.22,8.45,8.74
KHM,0.42,0.64,1.18,1.46,1.82,2.2,2.54,2.8,3.09,3.27,3.5,4.1,4.72
CHN,1.58,1.85,2.36,2.92,3.58,4.1,4.86,5.31,5.59,6.32,6.93,7.29,7.51
HKG,4.36,4.64,4.89,5.71,6.3,6.91,7.97,8.7,9.39,9.41,9.31,11.18,11.38
MAC,3.28,3.35,3.48,3.71,4.06,4.54,4.85,5.35,5.67,6.17,6.68,7.5,8.54
FJI,3.62,4.02,4.47,5.18,5.57,6.25,7.04,7.62,9.07,10.11,9.76,9.38,9.96
IDN,1.09,1.25,1.57,2.17,2.84,3.19,3.63,3.86,4.18,4.62,5.15,6.41,7.61
LAO,1.25,1.39,1.57,1.76,2.06,2.42,2.84,3.23,3.59,3.92,4.25,4.62,5.02
MYS,2.08,2.37,2.83,3.39,4.2,4.82,5.76,6.72,6.97,8.39,9.09,9.71,10.44
MNG,1.61,1.95,2.52,3.21,3.56,5.65,6.35,7.02,7.76,7.84,7.88,8.57,9.2
MMR,1.15,1.21,1.23,1.38,1.45,1.6,2.23,2.73,2.83,3.22,3.69,4.23,4.85
PNG,0.51,0.59,0.75,0.97,1.33,1.7,2.11,2.61,3.05,3.31,3.48,3.99,4.26
PHL,2.21,3.2,3.46,3.93,4.71,5.49,6.21,6.58,7.1,7.56,7.87,8.18,8.43
KOR,4.5,5.02,4.2,5.32,6.19,7.12,8.13,9,9.85,10.49,11.06,11.46,12.05
SGP,2.71,3.1,3.7,4.36,5.2,5.07,5.26,5.97,6.66,7.98,9.15,8.83,10.81
TWN,3.03,3.33,3.71,4.11,4.92,5.81,6.74,7.4,8.07,8.77,9.58,10.54,11.09
THA,2.04,2.31,2.55,2.28,2.51,3.01,3.64,4.15,4.85,5.5,5.65,7.03,7.99
TON,5.94,6.11,6.35,6.69,7.09,7.67,8.01,7.98,8.77,9.33,9.37,9.33,10.82
VNM,2.47,2.48,2.88,3.36,3.97,4.56,5.16,4.64,4.1,4.85,5.64,6.42,7.15
ALB,2.6,2.78,2.98,3.41,4.28,5.35,6.39,7.78,8.5,8.22,9.48,9.85,9.93
ARM,7.22,7.33,7.91,8.13,8.46,8.85,9.44,9.99,10.4,10.43,10.44,10.5,10.73
BGR,3.82,4.6,4.99,4.45,6.13,7.07,7.84,8.55,8.42,8.86,9.28,10.45,11.24
HRV,5.66,6,6.41,6.63,7.06,7.63,8.04,8.44,8.57,9.08,9.71,10.58,11.3
CZE,8.1,8.24,8.35,8.97,9.56,9.94,10.21,10.43,10.83,11.99,12.69,12.73,12.8
EST,6.13,6.33,6.72,7.03,7.38,7.97,8.46,8.86,9.19,10.38,11.41,11.77,12.11
HUN,7.13,7.27,7.43,7.6,8.08,8.57,9,8.99,8.79,10.41,11.2,11.66,11.85
KAZ,2.59,2.91,3.7,4.21,4.92,5.85,6.85,7.57,8.13,9.34,10.54,11.6,11.33
KGZ,4.04,4.42,4.65,5.12,5.67,6.47,7.45,8.11,8.6,8.93,9.4,9.89,10.71
LVA,3.84,4.06,4.53,4.9,5.38,5.96,6.7,7.42,7.99,8.99,9.34,10.26,10.65
LTU,3.71,4.17,4.79,5.25,5.87,6.55,7.35,8.18,8.81,9.17,9.49,10.4,10.89
POL,5.4,5.67,6.04,6.72,7.35,7.91,8.07,8.5,9.06,9.86,10.26,10.94,11.32
MDA,3.28,3.68,4.27,4.8,5.63,6.52,7.27,7.92,8.47,8.89,9.21,9.57,10.4
ROU,4.38,4.69,5.18,5.59,6.7,7.66,8.21,8.78,9.32,9.7,10.04,10.31,10.67
RUS,3.83,4.41,4.67,5.34,5.94,6.69,7.59,8.57,9.46,9.94,10.9,11.2,11.53
SRB,4.32,4.8,4.98,5.28,5.81,6.51,7.06,7.65,7.89,8.57,9,10.06,10.85
SVK,8.13,8.28,8.4,9,9.5,9.87,10.14,10.31,10.69,11.24,11.2,12.22,12.82
SVN,5.86,6.27,6.43,7.18,7.83,8.59,9.07,10.07,10.77,11.05,11.35,11.59,11.89
TJK,4.13,4.58,5.25,5.78,6.67,7.68,8.7,9.44,9.92,10.47,10.63,10.38,10.3
UKR,4.37,4.94,5.39,5.87,6.26,7.02,7.81,8.82,9.53,10.15,10.45,10.97,11.15
