year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ECU,770661.3184,773492.6221,766247.9676,752334.8039,736091.9587,712654.307,676872.6415,633802.7879,583979.2567,531983.2922,475000.1301,415653.0357,356902.4563,301052.4595,249484.4213,202991.8262,162193.7846
SLV,806555.0012,816857.5017,798656.5889,744740.0483,712189.9312,687223.8438,649979.8927,604309.8435,556589.2021,507037.7775,457291.1337,407573.6863,358924.5132,311979.2037,267064.1497,224491.8337,184618.6773
ETH,15601076.41,17522234.56,18525394.71,21006765.07,23638677.59,26545922.58,29810161.44,33335715.34,37223504.12,41030051.36,44450727.77,47460670.24,49988763.82,51902500.09,53095243.37,53534844.02,53240668.96
ERI,829007.2768,906492.7268,993288.1441,1032914.405,1038523.87,899486.0893,880499.5334,905044.3368,890101.0169,869865.8745,839755.8624,805843.9209,763860.8099,712984.7615,654788.075,591735.4678,525668.2026
EST,29437.62135,23509.42048,18631.47883,14963.54081,11972.3154,9039.709429,7719.281946,6740.259983,5715.115648,4853.094087,4189.459819,3696.400467,3327.688401,3022.958263,2733.74908,2437.429618,2122.836447
FIN,2.442573,1.426266,0.79766,0.40109,0.151447,0.0209,0.0018,0,0,0,0,0,0,0,0,0,0
FRA,423644.9961,455350.7195,473231.8274,478245.2555,478356.8728,480666.1258,468448.3169,461877.6669,437503.4241,402394.2136,357696.3605,306846.3117,254547.6662,204794.7993,160049.7098,121261.2612,88541.49503
GAB,237884.9876,218716.0462,199776.6554,182382.975,168359.4801,154506.1266,136364.8699,118300.6734,99891.12367,82910.85333,67794.23903,54529.61229,43442.60105,34389.48869,27160.0743,21279.08246,16324.95119
DEU,78.850418,45.487272,24.032065,10.952843,4.18955,0.577983,0.0714,0,0,0,0,0,0,0,0,0,0
GHA,3131334.104,3161863.395,3163099.992,3369206.501,3509613.964,3566941.869,3525113.958,3441367.927,3306123.015,3141076.271,2951123.096,2740242.607,2514551.693,2277351.502,2031115.057,1777403.047,1521330.297
GRC,1058192.923,909118.7485,798184.2464,660864.2368,551648.1441,457031.3049,375512.9744,322031.746,275995.7622,231723.8135,191277.4979,156847.6233,129318.8537,107705.0335,90173.90206,74799.18306,60143.69275
GTM,1628867.136,1731231.611,1789741.017,1826339.335,1858659.264,1885866.302,1898836.674,1924793.803,1944911.346,1953092.845,1935685.033,1892138.338,1824441.515,1734997.876,1627592.408,1506191.6,1374789.374
GIN,2037956.578,2049694.254,2248407.958,2419137.951,2703209.407,3124000.125,3315366.508,3440441.668,3608149.109,3872716.981,4123176.293,4345762.747,4526844.309,4654958.268,4722312.939,4725151.797,4662859.301
GUY,19697.11736,18853.10914,18083.44731,16685.87801,15340.05205,14743.07099,13580.74357,15071.84755,16217.29682,14363.02868,12486.31402,10618.01177,8794.97409,7040.844744,5428.326531,4023.676758,2869.29755
HTI,1933659.488,1993303.844,2037831.219,2009934.619,1962166.797,1853621.024,1742331.729,1625100.358,1512957.164,1397338.312,1276341.784,1152426.683,1029444.866,909203.6394,791412.1895,677309.9328,569424.6908
HND,670974.1948,686170.1275,710167.3533,728005.7528,744563.0107,754619.508,755954.9855,753402.5942,747334.5757,734562.8152,711325.0837,680405.5601,643383.5356,601594.8269,556147.6368,507890.046,457146.1635
HKG,657560.6968,657089.9104,614926.4061,545989.1761,457186.9751,390182.3183,331506.2895,285558.5474,234383.7867,184452.3021,140244.1885,103878.8123,76062.69784,55419.75196,40001.38474,27980.36335,18267.97393
HUN,415146.145,344446.1436,281719.2503,220173.5698,172692.2122,140014.1883,117667.557,102290.7043,88122.36288,75319.67918,63750.99513,53589.10471,44823.19201,37197.62845,30447.7643,24452.94367,19185.91188
IND,203190679.4,218274741.3,235138237,251934235,266729980.2,276585160.8,281232715.8,283544336.7,282684397.8,278019084,269835780.9,258458069.5,244148788.5,227133471.1,207844478,186840711.6,164942577
IDN,27939961.03,26596611.69,24905701.06,22861429.7,20674255.05,18346094.61,16153514,13935472.51,11759860.66,9671746.572,7781129.791,6152733.938,4782239.224,3643214.357,2702229.708,1941418.534,1346000.456
IRN,9996532.326,10426047.82,10468415.33,10807080.06,10461534.57,9786281.105,9165568.433,8324870.918,7496185.703,6621146.992,5801587.066,5027197.385,4281086.429,3563853.968,2893540.057,2298574.356,1789892.582
IRL,23504.24882,22729.99448,22139.89286,21014.91154,19851.85915,18768.04811,17847.78629,16575.72953,15097.86381,13536.49992,11985.85969,10474.32342,9017.628624,7629.57532,6327.322661,5121.948063,4022.518219
ITA,8872695.361,7791978.94,6742490.802,5675142.07,4956258.319,4097154.514,3386164.823,2842643.793,2275805.367,1768502.181,1335578.81,989491.0906,729637.2128,543125.0956,408877.8312,307538.9992,226252.5516
CIV,2576034.789,2974575.52,3491395.528,4070284.559,4526880.637,4935940.618,5358595.813,5482484.257,5633239.457,5752391.069,5800365.139,5778922.734,5696556.163,5555089.705,5360502.1,5119773.933,4836679.773
JPN,69447.09786,35835.56767,20358.25753,10061.63327,3806.188786,178.727283,0,0,0,0,0,0,0,0,0,0,0
KAZ,331577.9519,295789.5381,254802.4345,216009.8011,182340.6133,144500.7126,106629.4593,84553.15642,65722.44183,50598.53921,38921.38225,30291.08128,24030.71177,19438.17232,15866.60517,12903.60798,10316.46082
JOR,313159.0864,302935.7913,274594.609,280843.1673,255809.7634,263135.9044,230864.677,223924.4419,221781.4194,190769.7929,163949.6083,139183.7499,116096.4929,94833.40583,75557.85493,58199.6289,42798.34337
KEN,2918702.758,2941618.479,2897724.988,2855129.465,2816440.101,2785873.685,2711505.031,2568209.226,2385133.282,2211031.319,2035582.615,1856971.805,1674013.974,1490842.432,1313858.127,1148135.173,994828.0056
KOR,5400326.714,4825428.668,4101760.756,3638872.918,3092700.101,2600496.342,2173962.728,1791111.405,1409849.302,1061565.08,751996.2975,498249.8021,308800.2894,181027.9261,102853.9723,58847.56189,34677.28874
KGZ,139770.1989,120799.764,104733.8721,89369.98621,72161.80701,55434.192,45277.23458,36646.48872,29071.81667,22897.56396,18312.42174,15099.11578,12745.54923,10815.27647,9056.543312,7385.202091,5804.547463
LAO,904400.009,928473.6191,871013.6066,890982.4979,946276.5262,987919.8519,986859.059,988856.9025,992483.2882,979532.0067,950852.7032,915281.8292,871793.4236,819175.3817,758414.9122,690213.0993,616239.1862
LVA,1.88421,1.15985,0.587806,0.272693,0.0913,0.0121,0.0014,0,0,0,0,0,0,0,0,0,0
LTU,20178.50646,18970.92405,17524.64095,16226.01479,15392.29421,13884.92737,12308.58407,10893.50799,9413.651852,8055.568858,6844.535111,5805.453745,4947.388348,4205.223112,3536.55696,2908.382691,2313.528093
LUX,0.281645,0.169019,0.0858,0.0401,0.0154,0.000417,6.98E-05,0,0,0,0,0,0,0,0,0,0
MAC,44479.39192,40196.59432,37586.95238,32598.97743,28948.85287,24709.66617,20942.97484,19389.76776,16336.25702,13463.23868,10989.74305,8945.544469,7275.316247,5862.983164,4602.249753,3437.196893,2387.415877
MDG,1660987.473,1691778.156,1708855.638,1713667.881,1796251.154,1943288.735,2109592.852,2269602.851,2416912.711,2542148.525,2629743.691,2679470.071,2691988.349,2666676.92,2602620.536,2500816.589,2363106.189
MWI,1410741.804,1549466.894,1697594.566,1812119.749,2200335.222,2184344.706,2130383.356,2021695.033,1944219.401,1871800.883,1786447.288,1687111.658,1575936.172,1453573.622,1321523.888,1183401.059,1045668.005
MYS,2486359.843,2417476.276,2318013.196,2185658.791,2084838.308,1940924.704,1790237.636,1633376.119,1469856.463,1298499.258,1129497.496,966999.6236,815791.7038,678413.7228,554589.1049,444140.2794,347022.0606
MDV,56816.66604,60261.63833,63398.36779,62065.31215,60422.28094,57311.59073,53061.15882,48585.46431,,,34585.88014,29792.80824,24985.90175,20137.26149,15376.41263,10985.315,7298.711881
MLI,2552822.904,2717558.787,2850103.99,3027946.569,3292662.4,3620854.749,3952802.48,4425609.539,4897978.425,5393593.126,5871837.241,6370965.624,6839703.139,7252417.114,7581800.101,7804214.636,7908523.082
MLT,0.179651,0.0974,0.0498,0.0228,0.00809,0.00121,2.12E-04,0,0,0,0,0,0,0,0,0,0
MRT,559035.2396,621525.4647,678710.3365,726272.7427,753321.3173,794810.8095,841416.1629,889016.0198,923886.0196,947406.0242,961921.7175,963928.3556,950938.2042,923035.2024,882035.1121,830365.6701,771062.4826
MUS,142162.0606,137373.509,130994.682,120520.3235,107188.722,95153.08462,83518.95463,71860.96985,60484.49211,49674.60073,39749.94715,30914.68271,23341.06877,17081.70686,12091.99581,8288.269791,5527.096377
MEX,8884728.889,8757447.786,8553441.232,8183406.483,7774722.218,7368907.439,6938583.339,6372518.955,5807504.649,5209921.234,4598711.489,3991616.583,3406846.938,2857556.367,2353197.976,1900114.725,1501508.136
MNG,139715.1316,126335.3616,113536.7589,102126.596,99281.68483,84341.09788,88125.23458,93398.24938,95232.03542,94699.96511,93719.29029,92270.03587,90390.3387,87681.61121,83910.66609,78945.23013,72686.12459
MAR,6593402.881,6957739.781,8011040.082,8398493.698,8684214.763,8861345.664,8821013.076,8667290.573,8400516.474,8032081.411,7594913.831,7120091.652,6593699.711,6007329.434,5366771.984,4698897.235,4041043.704
MOZ,3562361.783,3596876.63,3688639.362,3657153.746,3380024.146,3693259.765,3693169.92,3556624.353,3312642.245,3067767.669,2845452.199,2614091.692,2377662.09,2142351.861,1913088.107,1691909.912,1479259.392
NAM,0.157732,0.0854,0.0348,0.0128,0.00329,0.0003,2.59E-05,0,0,0,0,0,0,0,0,0,0
NPL,6202698.742,6600429.311,6988340.672,7332548.051,7614429.1,7848052.493,7914377.467,7937568.746,7928079.213,7827909.363,7616001.296,7321655.411,6952370.381,6511217.196,6001909.335,5452117.251,4876430.961
NLD,9.779772,6.208105,3.539277,1.795973,0.707294,0.109112,0.0179,0,0,0,0,0,0,0,0,0,0
NZL,0.911118,0.465697,0.229749,0.0938,0.0262,0.0033,0,0,0,0,0,0,0,0,0,0,0
NIC,0.329735,0.194471,0.0972,0.0479,0.0158,0.0014,1.83E-04,0,0,0,0,0,0,0,0,0,0
NER,2101853.318,2437958.466,2824375.904,3168797.077,3585838.268,4117417.702,4771568.953,5378653.248,6054363.987,6813130.026,7620147.684,8434410.946,9231135.511,9999149.819,10719060.86,11361201.89,11891457.19
NGA,22304635.57,23530576.77,24804126.77,25458453.48,26239691.55,26670542.84,27125838.35,27264430.73,27001777.39,26480952.15,25752961.75,24786399.7,23591975.82,22184041.94,20610401.01,18931473.89,17186856.86
NOR,13849.4704,13339.91896,12797.92752,12136.1262,11296.1643,10321.9256,9335.876446,8440.755303,7539.937799,6627.567644,5689.249808,4724.83909,3760.045948,2837.208396,2014.229077,1343.118667,842.564304
PAK,26413663.81,28955115.62,31761787.22,35938053.21,39287708.43,40698424.43,43594513.88,46330583.74,48168886.42,49272882.05,49363999.11,49027076.98,48205842.45,46776000.05,44673603.9,41979799.68,38827946.8
PAN,176929.696,174551.895,170960.1495,166424.2861,162785.36,158043.2912,152327.8097,145768.1473,137368.7104,127451.106,116365.4136,104573.1961,92602.99681,80910.01333,69791.62059,59374.90703,49663.81663
PRY,233581.8435,229118.5747,223269.259,214344.2451,201257.7512,196188.2954,186182.2343,174854.0034,161285.244,146726.8116,131894.6693,117159.8829,102796.8829,88831.43324,75440.8554,62676.82821,50873.55116
PER,1838933.92,1774756.426,1693084.515,1586170.697,1455005.949,1324746.496,1180433.713,1047465.649,902067.4821,764977.4722,637064.3686,521033.6933,418956.7475,331245.9906,257199.8138,195166.9588,143738.6832
PHL,2300278.493,2115453.561,1959486.654,1790910.106,1647944.416,1515269.987,1436677.868,1353424.056,1259471.097,1158160.017,1056637.311,954675.2347,853842.003,754207.9205,655793.8192,560104.4875,467432.902
POL,3199239.694,2717029.447,2247860.269,1779094.432,1363301.381,1021115.295,871439.9765,742812.255,623692.6166,521448.4149,444660.4105,394316.3516,362289.4925,339648.6616,319597.8604,298556.7668,274785.4814
PRT,1896282.324,1682126.745,1494830.679,1366706.257,1161903.694,963392.4666,781765.908,638169.871,498734.8751,372924.5118,268709.4305,189815.0566,134713.7852,98047.85309,73103.71785,54396.54768,38863.7722
ROU,2203723.551,1913678.691,1617809.882,1340162.874,1109133.444,929291.6371,776010.4322,649550.9597,535846.0697,441395.2344,369034.2899,315867.8214,277098.5953,246830.2537,220076.1026,194007.5954,167243.586
RUS,61.716007,37.271448,19.415835,8.359663,2.547164,0.311052,0.028,0,0,0,0,0,0,0,0,0,0
RWA,1324234.103,1413105.738,1581267.821,1635944.593,1644685.388,1074279.69,1375478.822,1371899.671,1335996.685,1284493.118,1232240.551,1180297.525,1119816.01,1046361.346,961393.2311,871166.8776,780986.8618
SAU,2143954.564,2358912.903,2589625.265,2836028.478,2907489.565,2624844.854,2529349.629,2438516.165,2300365.549,2141373.702,1955431.911,1753990.325,1538651.67,1314502.525,1095574.376,888408.8221,698361.9044
SGP,624483.274,621693.6694,601551.8477,604701.2629,568661.0558,560561.7509,559536.0771,542606.8144,516613.2642,474905.8943,418394.9553,358056.5598,296945.3509,237854.5595,183036.7488,134795.7218,94213.41028
SVK,13181.32649,13230.02053,13372.31829,13131.05034,13362.52758,13688.46297,14442.06602,14297.63294,13624.20527,12722.31964,11754.86383,10758.73349,9733.079679,8675.273616,7587.596971,6478.929622,5366.209554
VNM,7478555.164,6753989.059,6021255.454,5505791.187,5156612.365,4935183.772,4745232.723,4547404.351,4313759.744,4036216.399,3771963.426,3520712.812,3277121.057,3031153.11,2773145.76,2495728.106,2196510.054
SVN,14526.60195,13716.93722,12927.12154,11934.80511,11006.01341,10365.00733,9767.614919,8979.008003,8052.438976,7098.564155,6182.290124,5328.728274,4546.775097,3834.84361,3188.216001,2604.486609,2079.941655
ZAF,5232163.033,5211169.454,5118523.084,5019794.628,4865764.408,4895053.904,4557687.477,4032237.261,3410479.986,2834146.752,2338513.953,1905599.372,1528610.615,1202508.074,925345.8885,695284.4687,510036.0755
ZWE,1041381.176,1046824.246,1022412.447,999443.7459,954933.1951,860824.208,741524.3368,596869.8911,483110.3954,390839.3002,311463.1429,243724.0515,186832.757,139808.5238,102161.4677,73422.39754,52499.69765
ESP,9517664.474,8888916.809,8207279.343,7459781.861,6695076.145,5945529.777,5237713.511,4979173.748,4431723.496,3789902.858,3177858.978,2637896.154,2183875.822,1814467.807,1514275.733,1264862.611,1050027.751
SWE,8.155775,5.230564,2.922815,1.556569,0.555742,0.0861,0.0089,0,0,0,0,0,0,0,0,0,0
CHE,5.512726,3.435834,1.96223,1.032115,0.434585,0.0675,0.0098,0,0,0,0,0,0,0,0,0,0
SYR,1654196.043,1628886.951,1578277.352,1568796.337,1537095.372,1510343.787,1462733.141,1440581.274,1389965.457,1282758.744,1175678.502,1065595.149,950800.4832,834248.1183,719856.7804,611038.628,509584.5301
