year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ARG,10637606.67,11203800.9,11428847.87,11682709.64,11908364.14,12207107.29,12315110.49,12263502.53,12121773.18,11750805.28,11260482.21,10710488.47,10081504.77,9492606.354,8844242.332,8150802.616,7425780.716
AUS,3871958.543,3553332.31,3293779.4,2946036.654,2609611.316,2245654.981,1868347.047,1533345.281,1190386.177,876033.868,612339.9306,410842.0158,265752.852,165474.9423,98005.6108,53632.67356,26109.70318
AUT,323602.3622,350655.3322,376000.8939,367916.5426,335261.3673,317621.8148,320881.7184,369876.7029,418680.3066,404719.3743,393444.7801,383115.1313,370798.7435,383986.8573,392144.4701,394645.1092,391268.6997
BHS,24969.89387,23592.76677,21724.0254,20543.4047,19249.83009,17953.74874,16541.02706,16087.38991,15335.84357,14544.19998,13596.17795,12496.69807,11352.02598,10198.95773,8988.480265,7796.375573,6655.860261
BHR,25831.2792,36093.27791,54849.64302,67316.37248,73110.83975,78955.96812,82699.86925,93562.92133,104547.1488,111726.4836,117603.8056,121191.5137,122666.4727,124291.3796,124039.1587,122345.5369,119474.3917
BGD,7895951.711,9381428.545,11277668.69,13496948.96,15785271.69,18279159.14,21343014.52,24962150.74,27998832.56,30548054.31,32813434.14,34518147.75,35750863.03,36484945.5,36646464.14,36234354.38,35261234.24
ARM,446007.186,424751.2919,389619.864,338756.1647,284589.5699,222499.7812,179597.8334,144137.8675,110470.3243,79792.82659,57915.9252,42960.04042,31890.11541,25744.92163,21211.99981,17553.52772,14397.51365
BEL,4258259.689,3911643.076,3554062.487,3142579.928,2800242.081,2462240.843,2143864.581,1900634.255,1671212.654,1427516.451,1210570.775,1023640.564,860257.1349,745702.2164,647913.6052,564393.5352,492464.9528
BOL,818947.1445,967693.8204,1120356.193,1263374.645,1413717.769,1542044.723,1638990.789,1720189.498,1789039.149,1800825.114,1785596.2,1736921.118,1660481.721,1593179.53,1506373.302,1403776.552,1289349.876
BRA,24576925.44,28975889.42,33829755.85,38072684.92,42378960.55,46681516.12,49952536.17,51648951.7,52401957.56,52192074.16,51283389.2,49565419.74,47110469.64,44817126.67,42005327.53,38768930.74,35213559.05
BLZ,41289.77207,45755.59819,50970.02232,59703.20611,69643.93363,82606.14707,96766.58985,110794.9338,123565.1453,134956.8814,143909.6029,150792.5154,155539.9435,158115.0199,158233.9136,155781.9694,150993.1086
BGR,1699630.442,1573467.71,1392825.859,1219909.414,1025762.49,839531.9316,683317.0634,550496.0569,431938.8076,333043.9117,265308.6803,215562.5885,177352.5815,153785.9928,133722.2208,115426.8494,97904.54221
MMR,7623379.07,8693538.391,9811725.694,11021636.75,12257007.24,13425352.82,14557543.63,15286077.28,15782624.75,16067595.55,16126341.06,16012928.03,15700569.59,15193182.15,14502494.72,13639377.56,12637227.91
KHM,1431263.531,1702646.711,1789427.339,2190618.983,2599212.89,3004692.935,3750182.08,4417129.306,5087597.92,5550265.32,5914287.72,6228359.534,6482541.176,6704836.711,6815322.372,6818207.935,6729895.584
CMR,1050203.467,1317617.058,1638307.116,1967794.285,2382596.75,2860169.907,3359640.914,3775214.548,4136074.455,4427021.105,4693936.262,4861310.098,4941685.586,4987673.441,4965449.012,4880200.754,4733304.474
CAN,6106833.821,5727090.783,5307545.098,4809390.155,4316692.207,3743323.316,3176108.134,2917303.063,2644317.813,2370630.61,2139892.534,1958790.332,1822573.902,1740050.639,1670221.63,1602829.616,1528582.902
CAF,205853.8514,274882.7008,368035.5313,472982.5676,569997.6364,715287.6632,844716.5715,953786.8718,1087724.261,1194976.222,1272183.781,1324235.059,1351086.785,1393746.553,1415948.515,1419860.622,1407550.111
LKA,3405761.613,3722373.644,3997900.924,4174260.439,4330854.962,4338611.666,4234448.031,4059782.829,3862760.581,3625695.852,3353095.755,3046022.265,2717955.968,2376315.802,2034441.027,1708808.909,1413447.014
TCD,183171.5096,271215.7044,359716.0609,473715.1152,639798.27,842962.9072,1123928.67,1495028.278,1888040.576,2298077.364,2754719.758,3239528.864,3719794.972,4318317.574,4903175.475,5441143.92,5910118.234
CHL,2437339.653,2619532.028,2846347.523,3059270.545,3190412.402,3281011.338,3298488.207,3303897.158,3259600.581,3141397.639,2982054.264,2792341.545,2573862.664,2343881.339,2096075.974,1837810.734,1578323.564
CHN,156316068.3,191569983.2,216546540.1,237420135.9,265031008.6,279891173,283653097.2,287772896.3,282033805.4,271306110.5,255197763.8,235788282,213698658.2,189738148.3,164965281.1,140490248.9,117037228.3
COL,5905997.81,6779770.332,7684890.536,8609877.791,9449568.909,10080080.6,10530802.43,10782447.19,10939720.99,10928129.54,10746687.7,10394732.95,9909411.102,9301794.052,8588763.18,7794115.628,6954113.579
COM,9616.191009,15623.78679,28611.51991,41900.28837,58608.06005,82921.55762,112247.3827,138142.8342,,187938.6843,207604.6289,222209.3247,231418.1451,245947.9367,256572.4152,262999.384,264733.0617
CRI,583915.1214,683740.9194,801007.6049,914429.3506,1024095.199,1154254.913,1300291.058,1415715.467,1491832.652,1536093.508,1556481.656,1556281.38,1533164.523,1493097.756,1433069.699,1354623.819,1260602.565
HRV,1822512.787,1805493.516,1760289.501,1685199.973,1600380.183,1577529.168,1412755.116,1316535.322,1194243.887,1008986.37,830549.5417,678487.6426,538130.0224,445052.4819,363396.7132,292441.9348,231800.2303
CUB,2964510.321,2956806.747,2932298.189,2869402.079,2791922.083,2590660.968,2462528.453,2252110.786,2008814.033,1783315.702,1578485.265,1387424.621,1208834.533,1045295.131,897363.5737,765073.052,644884.1111
CYP,218154.0774,214172.9936,203243.0293,193556.6213,183327.6092,172820.6466,164465.9402,161397.1377,152674.3544,143678.7703,134055.4653,124710.6079,116015.1841,108132.5801,101325.1921,95650.7589,91009.33307
CZE,3483927.917,3187237.777,2906061.859,2629178.509,2494888.719,2302873.983,1998049.329,1819585.741,1644374.42,1313473.921,1113628.676,926640.7483,732708.1675,649892.9795,575452.7061,508754.9438,449059.4015
BEN,209018.4294,272243.9532,346738.48,435701.4125,564349.3062,771002.644,960542.3241,1279568.474,1611529.438,1962499.387,2348493.52,2756653.576,3159366.943,3538674.742,3873981.748,4158587.314,4386921.79
DNK,31807.13202,27557.5726,24554.38548,22085.99218,20316.81518,18752.73534,17256.74195,16141.81925,15107.0368,14255.75721,13357.06776,12273.30295,10964.33408,9465.785284,7859.136892,6237.354534,4692.627451
DOM,1666281.821,1893928.354,2121993.555,2326989.18,2539928.69,2716677.105,2812562.505,2857787.593,2882573.731,2852396.754,2784886.445,2679555.013,2541998.907,2408430.148,2251615.456,2075335.232,1885293.197
ECU,1755584.269,2026101.907,2309885.429,2609914.452,2935675.197,3279767.658,3499243.275,3625383.263,3713702.773,3805368.827,3833454.015,3796262.205,3704905.913,3577797.224,3408371.801,3203065.876,2968897.6
SLV,739573.6209,876767.4218,988546.5129,1045773.743,1145008.607,1293209.045,1389504.34,1449290.911,1502758.381,1532634.853,1542484.437,1528115.592,1492134.529,1447624.427,1386098.453,1309072.485,1218343.662
ETH,606200.1234,863993.6809,1189754.709,1693190.266,2423061.816,3298604.674,4319231.994,5215739.83,6433379.824,7627345.886,8963141.243,10416779.21,11802451.73,13673860.41,15383154.22,16884182.37,18161899.06
ERI,140158.0482,191428.4422,231314.309,303810.7724,424407.0885,476757.3355,590923.1479,821535.0272,997824.4985,1155968.878,1311733.548,1457990.294,1571106.914,1686833.788,1768169.464,1819134.724,1842412.683
