year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EST,366648.8424,328050.8541,282838.9217,240679.9303,201796.7285,154943.1393,124054.8514,100297.4029,70191.97875,45832.80758,30586.18559,19312.28073,9842.645164,7408.036032,5967.71328,4986.799501,4180.728999
FIN,490454.7983,448884.2932,403581.3016,356921.6149,308981.1258,262791.7925,218272.8967,178967.1709,142209.5459,109038.8535,80383.88843,56654.38583,38064.16206,24429.69894,15099.32932,9162.162634,5596.437658
FRA,20024520.4,18598030.73,16906896.17,15072687.51,13347657.95,11940382.93,10115697.14,8868925.113,7590110.805,6394173.681,5309829.704,4341123.027,3494889.077,2802279.496,2228565.077,1764505.796,1394770.38
GAB,74113.2254,96561.91649,117196.7272,137209.3786,159551.6492,184919.7681,212323.0895,236839.4324,252884.6942,261336.2532,265434.4903,264577.637,259261.3936,252752.884,242826.2924,230424.8594,216214.3586
DEU,2911119.802,3113659.801,3448795.044,3292418.598,2694604.703,2673924.15,2825905.658,3209992.421,3264026.467,3044257.753,2814533.449,2624131.671,2450064.742,2569608.403,2649781.404,2685683.326,2678586.239
GHA,564309.7691,710489.5726,819946.5308,1050484.277,1278441.038,1571513.587,1894351.082,2210077.266,2480845.374,2687798.632,2856511.282,2968159.855,3023436.886,3080976.332,3084961.427,3036497.429,2937494.571
GRC,3724262.05,3778382.828,3932125.485,3882487.731,3763094.744,3672674.57,3467168.714,3211705.786,2931149.914,2630707.862,2323495.87,2027762.015,1751578.697,1508048.324,1296528.32,1117926.157,969810.7919
GTM,1079132.902,1278875.617,1485998.921,1729990.101,2036682.028,2372559.118,2735027.748,3149394.706,3622571.664,4114227.414,4583110.23,5002105.503,5356253.054,5664815.889,5889164.603,6022551.704,6061737.09
GIN,105869.8818,145631.8781,194096.8682,261456.7875,346088.6997,491681.0029,606620.952,775365.0591,984016.4134,1226212.494,1496691.218,1775126.987,2039607.333,2363269.059,2663546.461,2933416.313,3167367.749
GUY,156513.0678,159999.5776,160742.8124,152492.7135,143122.3178,139222.9819,130975.9712,127958.7399,121941.8158,112955.2806,103033.4443,91600.79902,79708.09681,68048.32899,56934.29936,46579.26322,37260.54053
HTI,701938.1142,885427.1023,1082894.303,1298152.21,1481047.169,1696732.751,2016347.266,2275104.88,2491844.663,2604665.424,2662612.96,2675867.48,2640799.22,2668622.279,2658662.774,2612477.463,2531503.139
HND,600715.8201,748194.9602,930669.5633,1138618.397,1376815.138,1647195.726,1926791.743,2222560.607,2547197.88,2853016.805,3113585.325,3332198.145,3502319.111,3630116.746,3701383.817,3715985.094,3673701.706
HKG,729032.1553,855807.8569,960333.9034,973880.7609,941658.4278,927508.0665,902789.1539,931597.2017,959347.1271,973586.9433,972071.6925,959579.8456,939300.3563,913320.8326,884128.5461,853801.5903,824025.4195
HUN,2713567.386,2399279.482,2060888.722,1697434.397,1356445.42,1069384.452,812017.4953,604002.6453,435418.4559,298046.8687,203944.2666,144050.4173,105986.3139,85490.58273,70625.88374,57993.06893,46253.611
IND,73434982.42,84446121.23,96820977.23,110697952.6,125000658.1,140639230.6,156006911.9,172943294.8,188398929.5,200449329.9,209746005.5,216233818.6,219671273.9,220996629.8,218970747.1,213705444.6,205595947.9
IDN,27003906.73,33253205.68,40279866.33,47143965.21,53370225.59,59263697.29,63845277.07,67445739.79,69039224.04,69543858.62,69093951.57,67527919.12,64841170.36,61105732.79,56569857.19,51531854.4,46197346.48
IRN,3345877.998,4269118.978,5445531.667,7072974.273,8648091.245,9775008.747,11993227.7,13306664.37,14294294.39,14644901.48,14888125.59,15027282.13,14954256.92,14584568.83,13923132.85,13060775.63,12050755.85
IRL,1081956.082,1033529.295,963294.1113,866863.6585,778836.9358,702428.5798,627330.5241,617118.6928,612508.5154,576776.8081,541035.8048,504434.2813,468646.1859,443214.3243,419878.8659,398201.802,376454.0612
ITA,17266948.95,16903784.41,16145373,15052805.69,14269924.36,13081743.98,11903850.83,10925820.76,9715220.958,8493109.779,7266863.008,6119792.902,5107815.549,4269294.503,3620864.255,3148968.837,2816717.916
CIV,258779.6611,431252.369,649958.3387,939012.1992,1284466.712,1774738.162,2345584.462,2800312.473,3330768.906,3848452.355,4327097.128,4733858.121,5055541.783,5377744.423,5617118.06,5775076.925,5853050.636
JPN,3236632.93,2225496.143,1786884.512,1521640.798,1402814.915,1102491.762,955500,818353.2518,730967.502,564378.4805,376984.1056,213715.3988,64469.4836,54670.28824,45805.19984,37797.94283,30565.47058
KAZ,2455986.183,2143282.566,1831791.258,1509078.245,1220667.78,902420.5475,598135.8551,413378.0976,277559.769,180624.1517,112706.5466,68323.00644,41442.97978,26557.13605,18577.06803,14006.50542,10788.94139
JOR,362421.4304,439563.5978,471940.5321,587880.4734,693477.6956,962508.9247,984866.1947,1068157.975,1176674.266,1155700.198,1120591.878,1077809.862,1011460.928,961002.9801,896835.1943,821225.5026,737182.6692
KEN,2335363.014,3015823.013,3795442.142,4813919.794,6144554.468,7912974.583,9638262.708,11214095.49,12430393.74,13528944.01,14594714.08,15454854.98,15883797.46,16562514.66,16967884.19,17135779.13,17072558.75
KOR,5576649.773,6084814.939,6172927.74,6174888.942,5860579.064,5532184.237,5216012.986,4797639.558,4350198.142,3709357.722,3021440.88,2362500.232,1730219.307,1223878.75,807710.3015,494376.4489,278734.9463
KGZ,411642.75,358363.4788,309020.471,259496.2321,205094.7298,146049.9474,105387.4971,76222.06491,51699.69614,32915.73376,19741.30071,11454.68575,6741.767613,4201.645136,2760.14363,1812.885119,1123.15407
LAO,434172.4146,566705.0154,633465.0358,759427.2456,902958.5914,1041963.278,1193793.611,1394986.814,1620989.563,1807423.264,1944846.262,2062806.146,2156586.244,2219553.574,2246070.028,2234916.825,2188729.271
LVA,487349.0302,419171.9216,344109.9745,270908.1705,220573.8418,165748.0368,139120.2664,119540.9851,87820.52619,58991.2249,45036.72917,33630.82282,22640.93311,20271.79944,18343.77042,16488.3399,14490.78693
LTU,1229985.716,1136023.407,1014647.448,870277.483,750064.9922,604248.9018,496478.3553,408704.1318,314328.1081,212360.6699,139260.7988,90722.30615,54042.23198,41880.0684,35381.06729,31398.04204,28052.32933
LUX,149091.2505,148935.9772,142037.2951,133930.5708,126548.4368,120700.289,114753.8144,110942.4609,110031.3095,107301.9014,103741.7595,100211.5177,96801.94097,95294.24127,93577.83219,91428.53209,88674.93672
MAC,57935.02788,71558.92284,77144.16566,94346.91895,112952.4301,119368.4874,126871.8031,138820.0272,140747.5946,138385.3948,134866.2039,130701.5407,124678.1095,117535.8684,108322.465,97507.44871,86095.15928
MDG,1596704.816,1919194.073,2253227.681,2591754.661,3035721.302,3582507.466,4209483.476,4891831.511,5642943.358,6392534.269,7085019.404,7701213.519,8223853.963,8724619.492,9117871.879,9393379.554,9541672.513
MWI,931316.3183,1149673.05,1434496.36,1776410.873,2480774.372,2885938.968,3364324.084,3919414.296,4670551.964,5453546.897,6192376.391,6850969.861,7418662.685,8028855.301,8529484.023,8901269.936,9145397.73
MYS,1863006.667,2274796.863,2656433.879,2886890.262,3153458.776,3318426.217,3448055.662,3563317.778,3560839.824,3486748.524,3351452.972,3157661.281,2918269.729,2649032.772,2365523.038,2084042.355,1819333.872
MDV,3561.301872,4606.038763,5814.993804,7509.72693,10200.49319,14261.24994,18308.45309,23393.16783,,,30703.47403,31901.32896,32633.82376,32721.16057,32079.16628,30735.47876,28782.47481
MLI,133915.4007,193306.7566,250590.5872,328575.0122,425188.0454,531368.9112,618348.4883,818617.8248,1076858.332,1401023.378,1792938.302,2277381.61,2809278.194,3395220.206,3969773.407,4502092.814,4979144.602
MLT,143141.1571,141600.69,136449.093,128912.6093,120226.1704,114657.9415,105319.6986,98810.44879,89934.37837,79181.19493,68150.53773,57747.25346,47744.87241,39805.45129,33133.69771,28021.27348,24400.10163
MRT,63195.23296,84408.37495,117956.2334,159991.3977,217476.5631,291990.0924,384174.4198,505373.9883,633755.2916,758144.9679,882637.4847,996090.6795,1091482.159,1186698.207,1265287.127,1325690.51,1365315.924
MUS,203843.9978,244537.8311,287947.4266,320789.1295,344442.793,371170.5784,392098.9107,405157.0404,411511.1661,409842.0039,401490.0061,387206.0348,367605.407,343472.987,315539.3167,285045.2985,253730.872
MEX,13614727.74,16345565.98,19223929.04,21793502.05,24314729.11,26707982.49,28846184.8,29671787.59,30724762.25,30968041.86,30736511.53,29991509.99,28793415.55,27424560.75,25709405.29,23714025.39,21508940.56
MNG,263972.3606,276641.8019,284756.6615,288592.9786,283619.6686,268272.5137,272276.7271,269536.7162,248068.4813,210316.9834,184652.7701,159107.255,134105.7391,123683.9983,113388.2172,102945.7297,92296.60049
MAR,868780.5384,1292020.993,1760721.649,2203168.489,2845152.913,3560746.441,4230521.493,5086240.903,5743916.542,6266424.059,6676532.119,7026162.668,7285647.924,7421707.828,7422082.531,7295795.397,7061873.165
MOZ,1703599.98,2222302.069,2853865.406,3361852.801,3477185.269,4581940.752,5449516.087,6353550.583,7210410.511,8115860.167,9126541.708,9992127.507,10681158.35,11295710.55,11761828.55,12085122.46,12264177.02
NAM,401338.8734,448313.5446,471499.9238,519377.8658,662061.2649,757852.5083,874884.2432,978377.1658,1080181.809,1110677.322,1109830.876,1098212.318,1071226.644,1063524.376,1043675.13,1012085.478,971569.1974
NPL,586619.758,820178.5023,1078140.252,1440939.281,1767388.124,2137281.352,2602411.164,3306169.797,4012876.594,4669388.337,5228627.617,5726612.276,6157262.081,6526264.617,6793833.507,6952051.145,7000926.069
NLD,3694734.882,3547454.034,3396161.173,3183800.685,2923704.186,2653158.343,2416047.357,2239177.212,2042169.523,1786815.242,1561255.19,1354581.96,1171297.627,1060066.267,958497.9148,866416.9781,783298.8247
NZL,854846.5972,782454.918,692717.9172,601007.7008,510358.9636,428559.5461,344283.2316,275673.5885,209531.9182,152326.8354,106491.5293,72151.6654,47599.10708,30469.00061,18711.07027,10753.07595,5558.477224
NIC,913103.6422,1032334.287,1141112.474,1221466.481,1327521.045,1475603.764,1603885.663,1677095.067,1746253.177,1782526.741,1785647.051,1770298.061,1730427.346,1689177.107,1625068.779,1540286.937,1437330.237
NER,39421.45828,79072.34783,127170.7371,224517.9967,311749.7721,455472.1556,630772.7555,873680.5546,1200177.214,1615404.203,2144756.086,2794580.588,3562840.153,4525327.261,5601220.311,6739105.057,7885989.328
NGA,4839608.198,6106173.727,7604006.516,8979641.826,10605118.77,12451402.66,14273381.85,15613825.52,16772210.16,17848553.81,18772597.65,19441756.98,19816236.39,20232888.87,20363590.65,20233992.29,19865752.14
NOR,2421.255246,3132.052732,4045.936408,4921.416325,5574.405956,5969.2806,5963.949612,5881.183659,5650.871838,5358.261254,4991.420435,4547.820541,4035.843441,3466.614511,2857.591292,2236.875352,1642.769846
PAK,3825122.355,4791260.523,5823522.587,7418418.329,9064338.298,10658982.15,13134520.53,15997602.69,18446850.58,20330485.31,21679682.5,23032909.16,24150470.75,25356733.87,26142466.67,26483427.18,26418183.86
PAN,383147.8647,431403.794,480568.3163,529395.1911,580094.114,632232.3574,672397.891,703358.7126,724693.2519,737658.2878,740548.8955,732321.7611,713579.4128,687910.2272,654547.3936,614578.8319,568959.01
PRY,811091.9556,950465.8812,1105806.523,1275416.191,1432619.031,1587523.276,1715200.974,1823372.316,1906411.173,1937299.427,1937864.162,1908405.967,1850085.223,1796536.539,1718447.075,1620249.843,1507211.463
PER,2934006.204,3327848.609,3741531.839,4131530.066,4468676.879,4575029.633,4781692.498,4973342.514,5021446.715,5005152.543,4909045.213,4757715.662,4552846.329,4298587.668,4002467.883,3674594.454,3325247.436
PHL,10351175.25,11644881.82,12866942.98,13813053.92,14721103.07,15467064.6,16025150.37,16344656.5,16510013.96,16365879.36,16075884.84,15546109.5,14796637.91,14006912.33,13076529.76,12056182.81,10971785.47
POL,11862621.26,11824869.1,10994450.16,10261869.69,9828416.15,9427217.988,8885420.641,7873957.836,6819772.825,5395432.933,4265136.756,3345128.945,2470080.064,2020578.667,1642718.473,1327672.881,1065491.346
PRT,3184033.654,3546463.375,4029164.693,4312626.143,4480095.922,4546570.567,4523493.402,4448135.429,4296149.191,4068982.972,3787645.008,3460935.8,3110083.369,2755383.168,2396545.146,2047291.986,1719526.283
ROU,4995776.475,4738087.205,4346361.417,3999344.54,3542364.931,3103365.077,2668888.767,2265682.521,1826545.285,1442190.819,1116812.88,857277.8219,661119.3922,541323.6758,457970.8769,395234.1067,341492.5436
RUS,38677198.29,34343621.18,29752455.84,24427624.81,19734841.61,15114355.02,11302448.23,8058643.348,5430677.284,3651976.571,2521014.058,1804415.059,1378844.997,1132757.948,954365.0249,804214.4255,664239.6153
RWA,582394.1722,792030.9852,1099853.388,1380388.785,1735176.03,1421569.379,2441559.13,3187470.929,3795231.789,4347215.862,4965072.358,5674362.79,6358030.324,7032802.006,7551146.894,7928903.524,8206073.795
SAU,645837.1192,938221.5347,1408800.839,2157674.69,2889543.949,3267678.553,3698989.275,4186930.015,4534736.539,4725266.936,4870441.159,4954901.871,4949169.878,4973540.2,4902403.182,4741922.22,4509107.656
SGP,162280.8706,199514.2201,243053.7641,284681.3571,306270.6487,329423.7996,354259.3746,394736.2495,435545.6287,464993.8781,471779.1541,467576.983,453327.1545,429896.0237,399395.9269,363955.2143,326960.4645
SVK,1952218.737,1818456.873,1700499.552,1507700.052,1410351.776,1308957.58,1173861.294,1040577.965,910657.6626,731087.7781,593922.8797,481816.2418,376440.212,319984.1918,270365.0733,227221.9553,189900.7906
VNM,13060080.08,15627350.73,18289738.83,21457310.18,24737415.99,27966063.96,31568285.19,35489124.55,38325103.51,39986764.95,41219010.7,41954930.16,42157158.73,41736623.97,40682659.12,39014579.26,36837279.66
SVN,224032.2736,201653.0876,178494.4078,152083.5706,127882.8046,108579.9197,91258.50394,78923.23046,65297.24061,52620.51592,41366.00964,31777.34749,23891.29648,17611.14235,12677.61943,8858.380911,5952.208267
ZAF,5292783.524,6393555.309,7476213.949,8729298.182,9839720.661,11271209.87,12271101.53,12551094.34,12417053.71,11636368.57,10785386.29,9806881.237,8734984.189,8100089.51,7443553.262,6791962.565,6162120.841
ZWE,1156717.357,1475708.411,1796868.65,2252820.291,2565853.261,2766545.484,2868886.394,2744092.39,2658445.135,2572097.49,2444302.402,2318006.614,2179705.769,2042420.585,1897021.403,1753821.184,1618685.178
ESP,8080577.607,8492282.089,8812505.25,8890545.587,8820454.167,8623014.672,8266547.05,8403510.188,8138180.546,7573962.846,6989471.648,6349970.358,5675518.542,5156060.142,4648890.264,4166148.784,3715541.851
SWE,2908516.853,2630989.512,2338297.61,2077469.815,1759929.689,1487278.467,1221978.479,996720.0063,789983.074,604970.79,445883.2264,313575.374,209240.2151,132604.6669,81074.41327,49232.33484,30279.45324
CHE,311588.5918,316753.4198,323230.3886,320595.0038,302050.9971,292588.9249,286269.8954,322191.0632,363284.3966,370772.2274,376337.4135,384016.9635,389706.4048,413798.3967,433199.4502,446699.502,453751.5093
SYR,1466615.539,1918246.329,2409847.897,2969785.291,3846261.189,5022730.498,6348986.131,7814115.562,9060691.463,9870833.754,10673858.48,11359568.53,11796710.37,12291374.81,12560186.27,12616680.45,12469855.77
TJK,871425.8303,905090.1776,932576.7914,904472.9323,885837.8294,850579.9403,911080.7358,1011983.491,1063654.227,1013912.789,947652.1391,872973.4276,786992.3384,781972.3611,766099.9835,738183.2627,698097.3566
THA,10194610.08,12784522.97,15668050.72,19119682.2,22151552.88,24266683.26,25380751.52,26245324.58,25938477.72,25253967.83,24127677.67,22704401.97,21001507.01,19068819.59,16972211.7,14803459.4,12677701.22
TGO,197261.8068,265260.7002,336217.4983,446174.1538,579130.1147,745933.1794,979781.7086,1232343.956,1500164.158,1764116.633,2025488.037,2260394.256,2457373.39,2645579.452,2793206.521,2897487.959,2953811.664
TUR,7951617.729,9921849.655,12084644.25,14829072.33,17750261.21,20638696.85,22865940.93,24250994.84,25481112.84,25799398.81,25517484.65,24972086.29,24013197.65,23248512.11,22128926.92,20710189.24,19076611.29
TKM,212189.8611,201279.8162,185856.6213,166689.0723,147855.5239,132802.8744,110489.8296,89980.998,69032.85963,49209.18766,35321.86486,24471.52545,15842.77238,11889.06407,8909.624619,6548.455183,4652.296941
UGA,1943935.146,2507803.26,3152224.397,3925848.403,4997195.266,6090186.41,7195130.047,8669960.209,10347747.66,12059598.36,13838855.24,15617131.16,17280573.27,18961301.72,20389007.77,21491218.12,22244731.76
UKR,15488210.63,13832851.91,11941054.56,9781728.29,7772469.485,5757755.956,4118884.892,2817526.239,1828284.543,1132433.802,699650.8335,444121.9954,290179.7524,220412.6572,179297.9308,149578.0594,123376.1419
MKD,634563.3337,672938.1962,716821.7446,715016.4031,733396.205,751021.4625,753182.2099,738551.2836,713675.1733,650723.5438,590737.3122,530885.7512,471475.5687,428397.6803,384905.7089,341119.4576,297673.632
EGY,2889700.194,3705524.769,4537746.451,5284278.385,5982392.764,6594136.59,7192742.604,7678505.327,8024001.645,8267371.947,8405832.388,8419745.508,8291815.108,8014719.278,7611464.239,7132065.952,6612131.293
GBR,27996726.96,26525939.85,24890787.4,23041988.91,20994694.92,18928499.35,17047204.29,15583504.12,14056441.86,12464440.13,10964587.03,9594557.566,8335185.561,7330818.96,6472484.122,5750734.257,5146335.124
TZA,2652785.286,3598675.814,4775466.498,6262051.389,8033900.319,10205488.22,12162478.04,14292118.58,16692563.57,19401997.71,22564068.1,25626186.53,28421399.22,31335860.35,33936503.57,36151690.66,37885291.97
USA,27947660.92,25552237.82,23264269.09,20687243.35,18469724.78,16657360.59,15287534.69,15629152.55,15989030.36,15992894.67,16127817.12,16279605.01,16372248.4,16906805.6,17272083.81,17431064.62,17371241.9
BFA,126409.9413,173405.149,246027.1238,341249.3429,468927.0546,610738.7569,799476.7419,1105955.438,1477500.462,1911187.847,2421818.506,2992146.689,3575259.438,4207040.632,4802880.337,5338459.752,5804531.168
URY,1393194.995,1342666.743,1323589.525,1292894.501,1261184.534,1227165.185,1189133.305,1115623.139,1056114.603,987547.7485,918811.6646,848598.072,778274.6258,715502.4275,652759.5576,590242.0769,528415.1906
UZB,1553264.747,1344490.732,1146892.741,952707.7253,736363.5483,555088.9911,387321.0905,274658.0996,185042.2029,117446.9365,70104.02576,40054.61619,22949.44944,13995.08409,9259.362438,6317.766118,4141.769825
ZMB,1009342.844,1264754.395,1566572.369,1934440.149,2322777.346,2697019.006,3022163.294,3218851.073,3448631.473,3625868.814,3767017.326,3825621.506,3818786.345,3865433.139,3861693.417,3810103.552,3717430.547
