code,cow_code,cow_letter,imf_code,iso_alpha2,iso_alpha3,kansas_code,legacy_country_id,legacy_entity_id,marc_code,ncd_code,penn_code,unctad_code,wikidata_code
MCO,221,MNC,,MC,MCO,MCO,688,214,MC,,MCO,,Q235
MNG,712,MON,948,MN,MNG,MNG,699,112,MP,MNGL,MNG,MON,Q711
MNE,341,MNG,943,ME,MNE,,698,215,MO,,MNE,,Q236
MSR,,,351,MS,MSR,MSR,702,216,MJ,,MSR,MOT,Q13353
MAR,600,MOR,686,MA,MAR,MAR,687,110,MR,MRCO,MAR,MOR,Q1028
MOZ,541,MZM,688,MZ,MOZ,MOZ,700,109,MZ,MZBQ,MOZ,MOZ,Q1029
MMR,775,MYA,518,MM,MMR,MMR,697,142,BR,BRMA,MMR,MYA,Q836
NAM,565,NAM,728,NA,NAM,NAM,708,108,SX,,NAM,NAM,Q1030
NRU,970,NAU,836,NR,NRU,NRU,717,218,NU,,NRU,,Q697
NPL,790,NEP,558,NP,NPL,NPL,716,107,NP,NPAL,NPL,NEP,Q837
NLD,210,NTH,138,NL,NLD,NLD,714,5,NE,NTHL,NLD,,Q29999
ANT,,,353,AN,ANT,ANT,567,362,NA,,ANT,NAN,
NCL,,,839,NC,NCL,NCL,709,220,NL,,NCL,,Q33788
NZL,920,NEW,196,NZ,NZL,NZL,718,106,NZ,NZLD,NZL,,Q664
NIC,93,NIC,278,NI,NIC,NIC,712,105,NQ,NCRG,NIC,NIC,Q811
NER,436,NIR,692,NE,NER,NER,710,104,NG,NGER,NER,NER,Q1032
NGA,475,NIG,694,NG,NGA,NGA,711,103,NR,NGRA,NGA,NIR,Q1033
NIU,,,,NU,NIU,NIU,713,261,XH,,NIU,NIU,Q34020
NFK,,,,NF,NFK,,805,285,,,,,Q31057
PRK,731,PRK,,KP,PRK,,728,128,KN,KORN,PRK,DRK,Q423
MKD,343,MAC,962,MK,MKD,MKD,694,66,XN,,MKD,MCD,Q221
OWID_CYN,,,,,,,838,390,,,,,
MNP,,,,MP,MNP,,804,266,,,,,Q16644
NOR,385,NOR,142,NO,NOR,NOR,715,102,NO,NRWY,NOR,,Q20
OMN,698,OMA,449,OM,OMN,OMN,719,217,MK,OMAN,OMN,OMA,Q842
PAK,770,PAK,564,PK,PAK,PAK,720,101,PK,PKST,PAK,PAK,Q843
PLW,986,PAL,565,PW,PLW,PLW,724,224,PW,,PLW,,Q695
PSE,,,,PS,PSE,PSE,731,140,,,PSE,PAL,Q219060
PS_GZA,,,,PS-GZA,PS-GZA,,,,,,,,Q39760
PAN,95,PAN,283,PA,PAN,PAN,721,100,PN,PNMA,PAN,PAN,Q804
PNG,910,PNG,853,PG,PNG,PNG,725,99,PP,PPNG,PNG,PNG,Q691
PRY,150,PAR,288,PY,PRY,PRY,730,98,PY,PRGY,PRY,PAR,Q733
PER,135,PER,293,PE,PER,PER,722,97,PE,PERU,PER,PER,Q419
PHL,840,PHI,566,PH,PHL,PHL,723,96,PH,PHLP,PHL,PHI,Q928
PCN,,,,PN,PCN,,806,286,,,,,Q35672
POL,290,POL,964,PL,POL,POL,726,11,PL,PLND,POL,POL,Q36
OWID_PYA,,,,,,,836,479,,,,,
PRT,235,POR,182,PT,PRT,PRT,729,95,PO,PRTG,PRT,,Q45
PRI,6,,,PR,PRI,PRI,727,93,PR,PRTR,PRI,PUE,Q1183
QAT,694,QAT,453,QA,QAT,QAT,733,226,QA,QTAR,QAT,QAT,Q846
OWID_RVN,817,RVN,,,,,833,384,,,,,
REU,,,696,RE,REU,REU,734,245,RE,,REU,,Q17070
ROU,360,ROM,968,RO,ROU,ROM,735,92,RM,RMNA,ROM,ROM,Q218
RUS,365,RUS,922,RU,RUS,RUS,736,12,RU,USSR,RUS,RUS,Q159
RWA,517,RWA,714,RW,RWA,RWA,737,91,RW,RWND,RWA,RWA,Q1037
BLM,,,,BL,BLM,,795,60094,,,,,Q25362
SHN,,,855,SH,SHN,SHN,742,260,XJ,,SHN,STH,Q192184
KNA,60,SKN,361,KN,KNA,KNA,672,227,XD,,KNA,STK,Q763
LCA,56,SLU,362,LC,LCA,LCA,679,229,XK,,LCA,STL,Q760
MAF,,,,MF,MAF,,803,280,,,,,Q126125
SPM,,,363,PM,SPM,SPM,748,353,XL,,SPM,,Q34617
VCT,57,SVG,364,VC,VCT,VCT,779,230,XM,,VCT,STV,Q757
WSM,990,WSM,862,WS,WSM,WSM,786,239,WS,WSMA,WSM,SAM,Q683
SMR,331,SNM,135,SM,SMR,SMR,746,231,SM,,SMR,,Q238
STP,403,STP,716,ST,STP,STP,751,232,SF,STPR,STP,STP,Q1039
SAU,670,SAU,456,SA,SAU,SAU,738,90,SU,SDAR,SAU,SAU,Q851
SEN,433,SEN,722,SN,SEN,SEN,740,89,SG,SNGL,SEN,SEN,Q1041
SRB,345,YUG,965,RS,SRB,SCG,749,88,YU,YGSL,SRB,YUG,Q403
SYC,591,SEY,718,SC,SYC,SYC,757,233,SE,SYCH,SYC,SEY,Q1042
SLE,451,SIE,724,SL,SLE,SLE,744,87,SL,SRLE,SLE,SIL,Q1044
SGP,830,SIN,576,SG,SGP,SGP,741,86,SI,SNGP,SGP,SIN,Q334
SXM,,,,SX,SXM,,809,281,,,,,Q26273
SVK,317,SLO,936,SK,SVK,SVK,753,85,XO,,SVK,SLO,Q214
SVN,349,SLV,961,SI,SVN,SVN,754,83,XV,,SVN,SVN,Q215
SLB,940,SOL,813,SB,SLB,SLB,743,195,BP,,SLB,SOI,Q685
SOM,520,SOM,726,SO,SOM,SOM,747,82,SO,SMLA,SOM,SOM,Q1045
ZAF,560,SAF,199,ZA,ZAF,ZAF,788,81,SA,SAFR,ZAF,SAF,Q258
SGS,,,,GS,SGS,,807,352,,,,,Q35086
KOR,732,ROK,542,KR,KOR,KOR,673,127,KO,KORS,KOR,ROK,Q884
SSD,626,SSD,,SS,SSD,,750,258,SD,,,,Q958
ESP,230,SPN,184,ES,ESP,ESP,624,9,SP,SPAN,ESP,,Q29
LKA,780,SRI,524,LK,LKA,LKA,681,141,CE,SRLK,LKA,SRL,Q854
SDN,625,SUD,732,SD,SDN,SDN,739,79,SJ,,SDN,SUD,Q1049
OWID_SDN,,,,,,,,,,,,,
SUR,115,SUR,366,SR,SUR,SUR,752,234,SR,SRNM,SUR,SUR,Q730
