chart_slug,experiment_group
implementation-of-tools-to-monitor-economic-and-environmental-tourism,download_button
poverty-share-on-less-than-30-per-day,hidden_alt_text
death-rate-from-cardiomyopathy-myocarditis-endocarditis-who-ghe-age-standardized,no_change
precentage-enrolled-in-private-institutions-at-the-primary-education-level,visible_alt_text
pig-livestock-count-heads,no_change
daily-income-or-consumption-of-the-richest-10-marimekko,no_change
received-official-development-assistance-grants-for-poverty-reduction,no_change
death-rate-from-unsafe-sanitation,no_change
deaths-in-armed-conflicts-by-region,visible_alt_text
deaths-from-substance-disorders,visible_alt_text
sorghum-yield,hidden_alt_text
women-civil-liberties-index,download_button
leading-cause-of-child-mortality-among-children-under-five,visible_alt_text
number-of-estimated-paralytic-polio-cases-by-world-region,visible_alt_text
cost-of-sequencing-a-full-human-genome,download_button
contraceptive-prevalence-any-methods-of-women-ages-15-49,visible_alt_text
respiratory-infection-death-rate-who-mdb,no_change
relative-poverty-share-of-people-below-60-of-the-median,no_change
exponential-growth-of-datapoints-used-to-train-notable-ai-systems,download_button
hepatitis-b-birth-dose-vaccine-immunization-schedule,hidden_alt_text
monthly-temperature-anomalies,hidden_alt_text
share-with-drug-use-disorders,download_button
private-investment-in-artificial-intelligence-cset,download_button
share-of-cancer-deaths-attributed-to-tobacco,no_change
per-capita-methane-emissions,hidden_alt_text
share-of-population-15-years-and-older-with-no-education,visible_alt_text
share-degraded-land,no_change
share-enrolled-in-private-institutions-at-the-pre-primary-education-level,download_button
share-of-people-saying-they-do-not-want-homosexual-neighbors,hidden_alt_text
ice-sheet-mass-balance,visible_alt_text
fatal-airliner-accidents-per-million-flights,visible_alt_text
share-of-one-year-olds-who-received-the-final-dose-of-pneumococcal-vaccine,no_change
imports-of-goods-and-services-constant-2010-us,hidden_alt_text
patents-ccs,hidden_alt_text
domestic-material-consumption-per-capita,download_button
electricity-renewables,hidden_alt_text
number-of-deaths-from-road-injuries,hidden_alt_text
people-without-electricity-country,no_change
significant-volcanic-eruptions,hidden_alt_text
co-emissions-embedded-in-global-trade,visible_alt_text
share-of-population-living-in-extreme-poverty,no_change
insecticide-use,no_change
annual-industrial-robots-installed,download_button
share-of-adults-who-report-saving-money-in-the-past-year,hidden_alt_text
burden-of-disease-rates-from-ncds,download_button
women-political-participation-index,visible_alt_text
imported-or-exported-co-emissions-per-capita,no_change
fur-farming-ban,no_change
tree-cover-loss,no_change
share-of-government-expenditure-going-to-interest-payments,visible_alt_text
youth-not-in-education-employment-training,visible_alt_text
industry-share-of-total-emplyoment,download_button
industrial-water-as-a-share-of-total-water-withdrawals,download_button
polio-vaccine-schedule,download_button
burden-of-disease,hidden_alt_text
beach-litter,no_change
road-accident-deaths-per-passenger-kilometers,no_change
number-of-individuals-employed-in-tourism-related-industries-per-1000-people,download_button
stability-democratic-institutions-index-bti,no_change
hydro-electricity-per-capita,download_button
urban-area-long-term,hidden_alt_text
global-agricultural-land-use-by-major-crop-type,hidden_alt_text
annual-change-renewables,visible_alt_text
annual-co2-oil,hidden_alt_text
number-homeless-from-natural-disasters,download_button
number-of-severely-food-insecure-people-by-region,hidden_alt_text
total-agricultural-land-use-per-person,visible_alt_text
reported-paralytic-polio-cases-per-1-million-people,no_change
deaths-in-wars-by-war-1800-2011-bar-chart,download_button
long-run-methane-concentration,no_change
completion-rate-of-lower-secondary-education,visible_alt_text
coverage-by-protected-areas-of-important-sites-for-mountain-biodiversity,visible_alt_text
oil-prices-inflation-adjusted,visible_alt_text
gini-coefficient-before-tax-wid,no_change
number-without-electricity-by-region,no_change
out-of-pocket-expenditure-per-capita-on-healthcare,no_change
global-warming-potential-of-greenhouse-gases-over-100-year-timescale-gwp,no_change
coal-consumption-per-capita,visible_alt_text
child-mortality-by-income-level-of-country,visible_alt_text
foreign-aid-received-per-capita,download_button
time-required-to-start-business,download_button
military-personnel,no_change
deaths-due-to-unsafe-water-sources,hidden_alt_text
incidence-of-hiv-the-share-of-new-infections-among-the-previously-uninfected-population-ages-15-49,hidden_alt_text
children-who-are-overweight-sdgs,visible_alt_text
share-of-the-population-with-a-completed-post-secondary-education,visible_alt_text
proportion-of-important-sites-for-freshwater-biodiversity-covered-by-protected-areas,visible_alt_text
annual-area-burnt-by-wildfires,download_button
global-food-loss-index,download_button
share-of-births-outside-marriage,visible_alt_text
gini-coefficient-of-lifespan-inequality-in-females,visible_alt_text
share-with-idiopathic-developmental-intellectual-disability,visible_alt_text
share-of-population-who-never-drink-alcohol,hidden_alt_text
oil-consumption-by-region-terawatt-hours-twh,download_button
deaths-in-intrastate-conflicts,hidden_alt_text
coverage-of-the-human-papillomavirus-vaccine,hidden_alt_text
same-sex-marriage-country-count,visible_alt_text
share-in-extreme-poverty-including-and-excluding-china,visible_alt_text
human-trafficking-victims,no_change
number-suffering-from-depression-by-region,no_change
annual-change-solar,hidden_alt_text
sex-ratio-at-sixty-years-old,download_button
days-of-vacation-and-holidays,visible_alt_text
phosphate-application-per-hectare-of-cropland,visible_alt_text
per-capita-co2-coal,hidden_alt_text
