chart_slug,experiment_group
population,no_change
democracy-index-eiu,hidden_alt_text
gdp-per-capita-worldbank,no_change
co-emissions-per-capita,visible_alt_text
annual-co2-emissions-per-country,no_change
life-expectancy,hidden_alt_text
oil-production-by-country,no_change
human-development-index,download_button
living-languages,visible_alt_text
gdp-per-capita-maddison-project-database,visible_alt_text
trade-as-share-of-gdp,visible_alt_text
nuclear-warhead-stockpiles-lines,hidden_alt_text
population-density,visible_alt_text
economic-inequality-gini-index,download_button
per-capita-energy-use,hidden_alt_text
share-of-population-in-extreme-poverty,download_button
number-of-nuclear-weapons-tests,no_change
share-of-adults-who-are-overweight,no_change
children-per-woman-un,no_change
children-born-per-woman,no_change
prevalence-of-undernourishment,download_button
human-rights-index-vdem,hidden_alt_text
child-mortality,hidden_alt_text
global-gdp-over-the-long-run,visible_alt_text
excess-mortality-p-scores-average-baseline,download_button
crude-birth-rate,no_change
annual-co-emissions-by-region,download_button
carbon-intensity-electricity,visible_alt_text
cumulative-co-emissions,visible_alt_text
share-with-mental-and-substance-disorders,download_button
cross-country-literacy-rates,download_button
share-of-individuals-using-the-internet,download_button
deaths-in-state-based-conflicts-by-region,hidden_alt_text
population-regions-with-projections,no_change
world-bank-income-groups,download_button
share-of-the-population-with-access-to-electricity,download_button
banana-production,download_button
daily-per-capita-caloric-supply,visible_alt_text
leading-cancer-types-causing-death-in-men,visible_alt_text
share-of-population-urban,hidden_alt_text
share-of-cumulative-co2,no_change
leading-cancer-types-causing-death-in-women,hidden_alt_text
gross-public-sector-debt-as-a-proportion-of-gdp,no_change
exports-of-goods-and-services-constant-2010-us,visible_alt_text
yearly-number-of-objects-launched-into-outer-space,visible_alt_text
terrestrial-protected-areas,visible_alt_text
global-plastics-production,hidden_alt_text
per-capita-electricity-generation,download_button
cumulative-covid-vaccinations,download_button
average-height-of-men-for-selected-countries,visible_alt_text
political-regime,download_button
cancer-death-rate-who-mdb,download_button
mean-years-of-schooling-long-run,hidden_alt_text
artificial-intelligence-training-computation,no_change
total-ghg-emissions,visible_alt_text
annual-share-of-co2-emissions,visible_alt_text
gdp-worldbank,hidden_alt_text
labor-productivity-per-hour-pennworldtable,hidden_alt_text
covid-vaccination-doses-per-capita,download_button
total-alcohol-consumption-per-capita-litres-of-pure-alcohol,visible_alt_text
gender-inequality-index-from-the-human-development-report,no_change
oil-proved-reserves,hidden_alt_text
weekly-covid-deaths,no_change
deaths-in-armed-conflicts-by-country,no_change
number-of-internet-users,visible_alt_text
test-scores-ai-capabilities-relative-human-performance,visible_alt_text
military-spending-as-a-share-of-gdp-sipri,hidden_alt_text
fossil-fuel-primary-energy,visible_alt_text
military-spending-sipri,visible_alt_text
installed-solar-pv-capacity,visible_alt_text
carbon-dioxide-emissions-factor,no_change
share-co2-embedded-in-trade,hidden_alt_text
solar-pv-prices,download_button
self-reported-trust-attitudes,no_change
consumption-co2-per-capita,visible_alt_text
homicide-rate-unodc,no_change
unemployment-rate,visible_alt_text
share-of-adults-defined-as-obese,visible_alt_text
international-tourist-trips,no_change
number-of-natural-disaster-events,hidden_alt_text
average-precipitation-per-year,visible_alt_text
share-healthy-diet-unaffordable,hidden_alt_text
tax-revenues-as-a-share-of-gdp-unu-wider,download_button
share-electricity-renewables,visible_alt_text
age-dependency-ratio-of-working-age-population,hidden_alt_text
liberal-democracy-index,hidden_alt_text
forest-area-as-share-of-land-area,download_button
diarrheal-disease-death-rates,hidden_alt_text
infant-mortality,hidden_alt_text
primary-energy-cons,download_button
per-capita-ghg-emissions,visible_alt_text
solar-energy-consumption,hidden_alt_text
gas-production-by-country,hidden_alt_text
daily-median-income,hidden_alt_text
co2-long-term-concentration,no_change
agricultural-water-as-a-share-of-total-water-withdrawals,download_button
share-deaths-unsafe-water,no_change
renewable-share-energy,download_button
child-mortality-igme,visible_alt_text
share-people-fully-vaccinated-covid,visible_alt_text
sex-ratio-at-birth,hidden_alt_text
cost-space-launches-low-earth-orbit,download_button
cumulative-installed-wind-energy-capacity-gigawatts,visible_alt_text
electricity-generation,download_button
share-of-urban-population-living-in-slums,visible_alt_text
maternal-mortality,no_change
natural-disasters-by-type,visible_alt_text
per-capita-oil,no_change
pm25-air-pollution,visible_alt_text
urban-population-share-2050,hidden_alt_text
share-of-children-younger-than-5-who-suffer-from-stunting,no_change
nuclear-energy-generation,visible_alt_text
life-expectancy-unwpp,hidden_alt_text
proportion-using-safely-managed-drinking-water,no_change
democracy-index-polity,hidden_alt_text
share-people-vaccinated-covid,download_button
tourism-gdp-proportion-of-total-gdp,download_button
biweekly-covid-cases-per-million-people,no_change
cardiovascular-disease-death-rate-who-mdb,visible_alt_text
share-of-adults-who-smoke,no_change
biweekly-growth-covid-cases,hidden_alt_text
total-healthcare-expenditure-gdp,visible_alt_text
covid-world-unvaccinated-people,download_button
soybean-production,visible_alt_text
freedom-of-expression-index,download_button
gross-national-income-per-capita-undp,visible_alt_text
gdp-worldbank-constant-usd,visible_alt_text
oil-consumption-by-country,visible_alt_text
land-use-palm-oil,hidden_alt_text
fish-and-seafood-consumption-per-capita,hidden_alt_text
happiness-cantril-ladder,no_change
crude-death-rate,no_change
palm-oil-production,download_button
coal-production-by-country,hidden_alt_text
gdp-per-capita-penn-world-table,download_button
ti-corruption-perception-index,no_change
total-government-expenditure-on-education-gdp,download_button
death-rate-in-armed-conflicts,no_change
gdp-world-regions-stacked-area,hidden_alt_text
lithium-production,visible_alt_text
universal-health-coverage-index,hidden_alt_text
share-of-women-in-parliament,download_button
daily-covid-vaccination-doses-per-capita,download_button
average-years-of-schooling,hidden_alt_text
social-spending-oecd-longrun,hidden_alt_text
cumulative-covid-deaths-region,no_change
fossil-fuels-per-capita,download_button
meat-supply-per-person,download_button
methane-emissions,hidden_alt_text
diabetes-prevalence,visible_alt_text
co2-intensity,download_button
share-of-population-with-moderate-or-severe-food-insecurity,visible_alt_text
annual-working-hours-per-worker,hidden_alt_text
share-of-people-who-say-they-are-happy,hidden_alt_text
refugee-population-by-country-or-territory-of-asylum,no_change
share-food-exports,download_button
cumulative-global-plastics,visible_alt_text
inflation-of-consumer-prices,no_change
deaths-due-to-measles-gbd,download_button
european-overseas-colonies-and-their-colonizers,no_change
life-expectancy-hmd-unwpp,hidden_alt_text
crude-oil-prices,download_button
daily-per-capita-protein-supply,no_change
gross-national-income-per-capita-worldbank,no_change
physicians-per-1000-people,visible_alt_text
expected-years-of-schooling,no_change
international-tourist-departures-per-1000,download_button
death-rate-from-suicides-gho,download_button
anxiety-disorders-prevalence,visible_alt_text
vegetable-consumption-per-capita,download_button
share-electricity-solar,hidden_alt_text
age-standardized-deaths-from-all-causes,download_button
annual-temperature-anomalies,download_button
historical-gov-spending-gdp,no_change
global-meat-production,no_change
cumulative-co2-emissions-region,download_button
people-practicing-open-defecation-of-population,visible_alt_text
share-with-convenient-access-to-public-transport,no_change
suicide-death-rates,visible_alt_text
people-fully-vaccinated-covid,download_button
freshwater-withdrawals-as-a-share-of-internal-resources,download_button
age-dependency-ratio-old,hidden_alt_text
political-corruption-index,no_change
cumulative-excess-deaths-covid,download_button
biweekly-covid-deaths-per-million-people,hidden_alt_text
death-rate-smoking,no_change
malnutrition-death-rates,download_button
wind-generation,download_button
natural-gas-proved-reserves,no_change
gdp-maddison-project-database,no_change
people-vaccinated-covid,no_change
tobacco-production,download_button
coal-consumption-by-country-terawatt-hours-twh,download_button
income-share-top-1-before-tax-wid,hidden_alt_text
share-electricity-coal,visible_alt_text
share-of-the-population-infected-with-hiv,no_change
fish-seafood-production,download_button
depressive-disorders-prevalence-ihme,download_button
death-rates-road-incidents,no_change
death-rates-unsafe-water,visible_alt_text
foreign-aid-given-per-capita,no_change
share-of-the-population-with-completed-tertiary-education,visible_alt_text
gdp-per-capita-worldbank-constant-usd,download_button
tfp-at-constant-national-prices-20111,visible_alt_text
access-to-clean-fuels-and-technologies-for-cooking,hidden_alt_text
biweekly-change-covid-deaths,download_button
long-term-urban-population-region,hidden_alt_text
share-of-electricity-production-from-renewable-sources,no_change
migrant-stock-total,no_change
red-list-index,no_change
palma-ratio-s90s40-ratio,visible_alt_text
population-unwpp,download_button
private-investment-in-artificial-intelligence,no_change
wealth-share-richest-1-percent,no_change
share-population-female,download_button
number-without-safe-drinking-water,no_change
public-health-expenditure-share-gdp,hidden_alt_text
share-of-people-who-think-homosexuality-is-never-justified,download_button
long-run-birth-rate,download_button
annual-freshwater-withdrawals,download_button
rule-of-law-index,hidden_alt_text
total-population-living-in-extreme-poverty-by-world-region,download_button
coal-proved-reserves,hidden_alt_text
net-zero-targets,download_button
positive-rate-daily-smoothed,visible_alt_text
number-without-improved-water,no_change
eating-disorders-prevalence,visible_alt_text
number-of-countries-where-armed-conflicts-took-place,no_change
electoral-democracy-index,hidden_alt_text
primary-energy-consumption-by-region,visible_alt_text
share-electricity-wind,download_button
total-population-in-extreme-poverty,no_change
installed-geothermal-capacity,no_change
installed-global-renewable-energy-capacity-by-technology,visible_alt_text
bribery-prevalence-un,hidden_alt_text
male-female-ratio-suicides-rates,visible_alt_text
corporate-investment-in-artificial-intelligence-by-type,hidden_alt_text
annual-co2-cement,hidden_alt_text
fossil-fuels-share-energy,no_change
hydropower-consumption,visible_alt_text
patent-applications-per-million,visible_alt_text
death-rate-from-opioid-use-who,hidden_alt_text
rice-yields,visible_alt_text
gender-development-index,download_button
artificial-intelligence-parameter-count,download_button
manufacturing-value-added-to-gdp,visible_alt_text
death-rate-from-air-pollution-per-100000,visible_alt_text
cattle-livestock-count-heads,hidden_alt_text
tariff-rate-applied-weighted-mean-all-products,download_button
schizophrenia-prevalence,download_button
share-of-deaths-obesity,no_change
share-of-population-with-severe-food-insecurity,hidden_alt_text
daily-meat-consumption-per-person,no_change
share-of-adults-who-drank-alcohol-in-last-year,download_button
annual-gdp-growth,hidden_alt_text
maize-production,visible_alt_text
population-using-at-least-basic-drinking-water,hidden_alt_text
estimated-destroyable-area-by-nuclear-weapons-deliverable-in-first-strike,visible_alt_text
share-using-safely-managed-sanitation,visible_alt_text
death-rate-by-source-from-indoor-air-pollution,hidden_alt_text
share-deaths-aids,visible_alt_text
refugee-population-by-country-or-territory-of-origin,no_change
share-of-education-in-government-expenditure,download_button
co2-income-level,visible_alt_text
wheat-production,no_change
share-electricity-nuclear,visible_alt_text
electricity-demand,download_button
rice-production,no_change
free-and-fair-elections-index,download_button
number-suicide-deaths,download_button
child-mortality-around-the-world,no_change
renewable-electricity-generating-capacity-per-capita,no_change
cocoa-bean-production,no_change
nuclear-warhead-stockpiles,hidden_alt_text
avocado-production,no_change
share-electricity-low-carbon,no_change
co2-emissions-transport,no_change
cereal-yield,no_change
share-of-final-energy-consumption-from-renewable-sources,visible_alt_text
lgbt-legal-equality-index,hidden_alt_text
biweekly-covid-deaths,download_button
political-participation-index-eiu,no_change
full-list-cumulative-total-tests-per-thousand,visible_alt_text
nasa-annual-budget,visible_alt_text
per-capita-milk-consumption,visible_alt_text
poultry-production-tonnes,download_button
change-co2-annual-pct,no_change
country-position-nuclear-weapons,hidden_alt_text
agricultural-area-per-capita,hidden_alt_text
dalys-rate-from-all-causes,visible_alt_text
damage-costs-from-natural-disasters,download_button
aviation-fatalities-per-million-passengers,download_button
energy-intensity,download_button
share-of-population-living-in-poverty-by-national-poverty-lines,hidden_alt_text
military-spending-as-a-share-of-gdp-gmsd,visible_alt_text
completion-rate-of-primary-education,no_change
sales-of-cigarettes-per-adult-per-day,hidden_alt_text
number-of-measles-cases,visible_alt_text
annual-healthcare-expenditure-per-capita,visible_alt_text
internally-displaced-persons-from-disasters,no_change
h5n1-flu-reported-cases,no_change
multidimensional-poverty-index-mpi,no_change
milk-production-tonnes,download_button
incidence-of-malaria,no_change
economic-damage-from-natural-disasters,visible_alt_text
manufacturing-share-of-total-employment,no_change
biofuel-production,visible_alt_text
agricultural-export-subsidies,hidden_alt_text
so-emissions-by-world-region-in-million-tonnes,download_button
foreign-aid-received-net,hidden_alt_text
asthma-prevalence,hidden_alt_text
homicide-rates-from-firearms,visible_alt_text
weekly-growth-covid-deaths,hidden_alt_text
meat-production-tonnes,visible_alt_text
hospital-beds-per-1000-people,no_change
births-registered,no_change
primary-enrollment-selected-countries,visible_alt_text
gross-enrollment-ratio-in-tertiary-education,no_change
augmented-human-development-index,download_button
out-of-school-children-of-primary-school-age-by-world-region,hidden_alt_text
share-deaths-air-pollution,download_button
gender-gap-in-average-wages-ilo,hidden_alt_text
outdoor-pollution-death-rate,no_change
share-deaths-suicide,download_button
bipolar-disorder-prevalence,no_change
share-living-with-less-than-1-int--per-day,hidden_alt_text
pesticide-use-tonnes,visible_alt_text
alcohol-attributable-fraction-of-mortality,visible_alt_text
number-of-described-species,download_button
share-living-with-less-than-550-int--per-day,no_change
annual-co2-coal,no_change
annual-number-of-fires,download_button
annual-number-of-births-by-world-region,visible_alt_text
inequality-adjusted-human-development-index,hidden_alt_text
dengue-incidence,download_button
protected-area-coverage-of-marine-key-biodiversity-areas,hidden_alt_text
homicide-rates-across-western-europe,visible_alt_text
foreign-aid-given-net,no_change
weekly-covid-deaths-per-million-people,visible_alt_text
gini-coefficient-world-bank-marimekko,download_button
electricity-coal,no_change
global-temperature-anomalies-by-month,download_button
parkinsons-disease-prevalence-ihme,download_button
abs-change-energy-consumption,visible_alt_text
per-capita-co2-transport,download_button
agricultural-land,visible_alt_text
gas-consumption-by-country,no_change
beef-and-buffalo-meat-production-tonnes,visible_alt_text
wheat-yields,no_change
marriage-rate-per-1000-inhabitants,visible_alt_text
gender-ratios-for-mean-years-of-schooling,hidden_alt_text
weekly-covid-cases,hidden_alt_text
consumption-co2-emissions,download_button
human-papillomavirus-vaccine-immunization-schedule,visible_alt_text
daily-tests-per-thousand-people-smoothed-7-day,visible_alt_text
youth-mortality-rate,no_change
death-rate-household-and-ambient-air-pollution,download_button
estimated-megatons-of-nuclear-weapons-deliverable-in-first-strike,visible_alt_text
healthy-life-expectancy-at-birth,download_button
migrant-stock-share,hidden_alt_text
annual-scholarly-publications-on-artificial-intelligence,visible_alt_text
tomato-yields,visible_alt_text
nuclear-primary-energy,download_button
number-species-threatened,visible_alt_text
agricultural-output-dollars,download_button
share-electricity-hydro,visible_alt_text
deaths-from-road-injuries,no_change
maize-yields,download_button
per-capita-renewables,visible_alt_text
voter-turnout-of-registered-voters,hidden_alt_text
solar-share-energy,visible_alt_text
voter-turnout-of-voting-age-population,hidden_alt_text
burden-of-disease-rates-from-communicable-neonatal-maternal-nutritional-diseases,hidden_alt_text
consumer-price-index,no_change
adolescent-fertility-15-19,download_button
fruit-consumption-per-capita,visible_alt_text
per-capita-egg-consumption-kilograms-per-year,no_change
health-expenditure-and-financing-per-capita,visible_alt_text
future-life-expectancy-projections,hidden_alt_text
solar-electricity-per-capita,download_button
cardiovascular-disease-death-rates,visible_alt_text
share-of-population-with-improved-sanitation-faciltities,visible_alt_text
share-of-fish-stocks-overexploited,hidden_alt_text
civil-society-participation-index,visible_alt_text
nitrogen-fertilizer-application-per-hectare-of-cropland,visible_alt_text
endemic-mammal-species-by-country,hidden_alt_text
women-political-empowerment-index,no_change
change-energy-consumption,hidden_alt_text
global-average-gdp-per-capita-over-the-long-run,no_change
cereal-production,download_button
median-income-after-tax-lis,no_change
share-living-with-less-than-10-int--per-day,no_change
total-agricultural-area-over-the-long-term,download_button
earthquake-deaths,no_change
nitrous-oxide-emissions,hidden_alt_text
sugar-cane-production,no_change
gdp-per-person-employed-constant-ppp,download_button
low-carbon-share-energy,hidden_alt_text
absolute-change-co2,download_button
age-group-with-the-largest-population,download_button
share-living-with-less-than-320-int--per-day,visible_alt_text
adolescent-fertility,visible_alt_text
pesticide-use-per-hectare-of-cropland,download_button
food-expenditure-per-person-per-year,download_button
daily-per-capita-fat-supply,download_button
police-officers-per-1000-people,visible_alt_text
weekly-hospital-admissions-covid,visible_alt_text
cumulative-covid-cases-region,no_change
wealth-share-richest-10-percent,no_change
crude-death-rate-the-share-of-the-population-that-dies-each-year-who,download_button
infectious-disease-death-rates,hidden_alt_text
chocolate-consumption-per-person,hidden_alt_text
population-growth-rate,visible_alt_text
malaria-death-rates,visible_alt_text
weekly-covid-cases-per-million-people,visible_alt_text
patents-for-renewables-by-country,download_button
share-of-children-with-a-weight-too-low-for-their-height-wasting,hidden_alt_text
number-undernourished,no_change
crude-death-rate-the-share-of-the-population-that-dies-each-year-gbd,download_button
reported-cases-of-measles,no_change
net-enrollment-rate-primary-gender-parity-index-gpi,no_change
hiv-death-rates,download_button
share-multi-poverty,no_change
scientific-publications-per-million,hidden_alt_text
free-fair-elections-bti,download_button
private-investment-in-artificial-intelligence-by-focus-area,visible_alt_text
mental-and-substance-use-as-share-of-disease,visible_alt_text
excess-mortality-p-scores-projected-baseline,visible_alt_text
life-expectancy-at-age-15,hidden_alt_text
difference-in-female-and-male-life-expectancy-at-birth,no_change
ratio-of-female-to-male-labor-force-participation-rates-ilo-wdi,visible_alt_text
cost-healthy-diet,no_change
cancer-death-rates,hidden_alt_text
share-electricity-fossil-fuels,download_button
marriage-same-sex-partners-equaldex,visible_alt_text
cumulative-excess-deaths-per-million-covid,no_change
completion-rate-of-upper-secondary-education-sdg,no_change
malaria-deaths-ihme,visible_alt_text
co2-per-unit-energy,download_button
locations-of-ongoing-armed-conflicts,download_button
gdp-penn-world-table,download_button
income-share-of-the-top-10-pip,hidden_alt_text
land-area-hectares,no_change
share-of-consumer-expenditure-spent-on-food,no_change
egg-production-thousand-tonnes,no_change
military-expenditure-as-a-share-of-government-spending,hidden_alt_text
oil-prod-per-capita,no_change
significant-earthquakes,hidden_alt_text
suicide-rate-who-mdb,download_button
death-rate-from-obesity,visible_alt_text
polio-vaccine-coverage-of-one-year-olds,no_change
lgbt-rights-index,no_change
cancer-incidence,download_button
international-tourist-arrivals-by-region-of-origin,visible_alt_text
daily-covid-19-vaccination-doses,hidden_alt_text
consumption-subsidies-for-fossil-fuels,visible_alt_text
world-regions-according-to-the-world-bank,download_button
threatened-mammal-species,download_button
above-ground-biomass-in-forest-per-hectare,visible_alt_text
carbon-emissions-trading-system,hidden_alt_text
civil-liberties-index-eiu,hidden_alt_text
inequality-in-education,no_change
share-of-deaths-registered,hidden_alt_text
tomato-production,visible_alt_text
share-of-children-vaccinated-against-measles,download_button
incidence-of-tuberculosis-sdgs,no_change
who-regions,no_change
human-development-index-groups,download_button
foreign-aid-given-as-a-share-of-national-income,hidden_alt_text
share-deaths-outdoor-pollution,download_button
maternal-mortality-ratio-who-gho,hidden_alt_text
weekly-growth-covid-cases,download_button
age-dependency-ratio-young-of-working-age-population,visible_alt_text
ghg-emissions-by-world-region,hidden_alt_text
apple-production,visible_alt_text
arable-land-pin,no_change
living-planet-index-by-region,download_button
obesity-prevalence-adults-who-gho,no_change
share-of-women-who-experienced-violence-by-an-intimate-partner-un,no_change
respiratory-disease-death-rate,no_change
per-capita-co2-international-flights-adjusted,no_change
global-investment-in-generative-ai,download_button
proportion-of-forest-area-certified-under-an-independently-verified-certification-scheme,no_change
annual-carbon-dioxide-emissions,download_button
divorces-per-1000-people,download_button
female-labor-force-participation-rates,visible_alt_text
leading-cause-of-death,hidden_alt_text
number-of-people-moderately-or-severely-food-insecure,hidden_alt_text
health-expenditure-government-expenditure,download_button
level-of-national-compliance-with-labor-rights,visible_alt_text
artificial-intelligence-patents-submitted,download_button
death-rate-from-suicides-ghe,download_button
cumulative-number-of-large-scale-ai-systems-by-country,download_button
global-precipitation-anomaly,visible_alt_text
total-manufacturing-value-added-from-high-tech,hidden_alt_text
period-average-age-of-mothers,visible_alt_text
population-having-attained-at-least-basic-education,no_change
annual-co2-including-land-use,visible_alt_text
life-expectancy-at-birth-oecd,visible_alt_text
state-capacity-index,visible_alt_text
daily-mean-income,visible_alt_text
average-battery-cell-price,hidden_alt_text
exponential-growth-of-computation-in-the-training-of-notable-ai-systems,no_change
share-of-women-using-modern-contraceptive-methods,hidden_alt_text
fertilizer-use-in-kg-per-hectare-of-arable-land,hidden_alt_text
renewable-electricity-per-capita,visible_alt_text
reported-share-of-people-experiencing-homelessness,download_button
share-of-out-of-pocket-expenditure-on-healthcare,download_button
number-of-refugees-per-100000,hidden_alt_text
homicide-rate,hidden_alt_text
average-harmonized-learning-outcome-scores,visible_alt_text
share-without-improved-water,hidden_alt_text
gross-enrollment-ratio-in-secondary-education,visible_alt_text
costs-of-66-different-technologies-over-time,download_button
gpu-price-performance,download_button
infant-mortality-rates,no_change
healthcare-access-quality-un,download_button
number-of-child-deaths-unwpp,hidden_alt_text
universal-suffrage-women-lexical,download_button
coffee-bean-production,visible_alt_text
death-rate-from-opioid-use,download_button
deaths-and-missing-persons-due-to-natural-disasters,no_change
death-rate-from-ischaemic-heart-disease-who-ghe-age-standardized,download_button
cumulative-number-of-objects-launched-into-outer-space,visible_alt_text
children-aged-5-17-engaged-in-labor,visible_alt_text
age-at-marriage-women,hidden_alt_text
electronic-waste-recycling-rate,download_button
share-artificial-intelligence-job-postings,visible_alt_text
cumulative-excess-mortality-p-scores-projected-baseline,no_change
hepatitis-c-number-of-deaths,hidden_alt_text
mortality-rate-attributable-to-wash,no_change
share-of-children-vaccinated-with-mcv2,download_button
agriculture-more-less-land,download_button
per-capita-electricity-generation-from-solar-and-wind,download_button
number-of-maternal-deaths,hidden_alt_text
absolute-number-of-deaths-from-outdoor-air-pollution,visible_alt_text
supercomputer-power-flops,hidden_alt_text
international-travel-covid,no_change
civil-liberties-score-fh,hidden_alt_text
sex-ratio-at-five-years-old,no_change
disease-burden-lead,hidden_alt_text
coffee-production-by-region,visible_alt_text
exponential-growth-of-parameters-in-notable-ai-systems,no_change
tuberculosis-mortality-rates-excludes-people-who-are-also-infected-with-hiv,download_button
functioning-government-index-eiu,download_button
total-affected-by-natural-disasters,hidden_alt_text
difference-in-female-and-male-life-expectancy-at-age-45,download_button
under-5-mortality-rate-sdgs,no_change
value-of-agricultural-production,download_button
contributions-global-temp-change,visible_alt_text
international-finance-clean-energy,visible_alt_text
growth-rate-of-real-gdp-per-employed-person,hidden_alt_text
death-rate-from-cardiovascular-disease-age-standardized-ghe,no_change
proportion-of-women-in-senior-and-middle-management-positions,visible_alt_text
income-share-top-10-before-tax-wid,visible_alt_text
relative-poverty-share-of-people-below-50-of-the-median,no_change
annual-reported-ai-incidents-controversies,download_button
share-of-children-immunized-dtp3,download_button
continents-according-to-our-world-in-data,hidden_alt_text
direct-disaster-loss-as-a-share-of-gdp,download_button
global-temperature-anomalies-by-el-nino-la-nina,no_change
forest-area-net-change-rate,visible_alt_text
armed-forces-personnel-percent,download_button
cobalt-production,hidden_alt_text
share-of-public-expenditure-on-healthcare-by-country,download_button
average-expenditures-of-international-tourists-domestically,no_change
oil-production-by-region,hidden_alt_text
