century,Great Britain,Ireland,France,Belgium,Netherlands,Germany,Switzerland,Italy,Spain,Sweden,Poland,Russia,Rest (a)
1454-1500,208,0,2861,394,473,3227,400,4532,463,6,1,0,22
1501-1550,2807,0,34736,1963,1045,15603,3312,16719,2205,34,63,0,530
1551-1600,7999,4,39084,5720,2842,32112,5786,41641,2306,49,146,0,718
1601-1650,32912,268,61257,4334,15009,40553,1988,35067,4631,2080,1807,123,1000
1651-1700,89306,1341,85163,7203,30149,57708,1656,43293,7088,3756,2062,165,2310
1701-1750,89259,8586,73631,3016,40950,78205,1277,37930,9124,6654,3468,1275,2974
1751-1800,138355,17598,157153,4817,53063,116814,4615,75500,16304,21305,9208,12367,14067
