century,Netherlands,Sweden,Great Britain,Germany,France,Italy,Ireland,Belgium,Switzerland,Spain,Poland,Russia,Rest (a),Western Europe (b)
1475,7.9,0.2,2,4.1,3.2,6.8,0,4.7,9.3,0.9,0,0,0,3.1
1525,14.2,0.8,14.6,21.2,29.9,21.3,0,17.7,48.1,4.2,0.2,0,1.1,17.5
1575,33.5,1.1,27.3,43.4,33.7,51,0.1,48.2,78.5,4.3,0.5,0,1.5,29.1
1625,139,39.7,80,54,52.2,42.1,3.8,33.2,9.3,8.8,5.7,0,2,40.6
1675,259.4,58.5,191.8,78.7,70.1,56.3,14.2,73.6,14.6,14.3,6.2,0.1,4.5,66.7
1725,391.3,83.8,168.3,99.7,58.7,48.4,61.7,30.7,14.2,18.5,9.9,0.8,4.8,66.7
1775,488.3,208.9,192,122.4,117.9,86.5,77.7,44.5,32.3,28.3,22.5,5.8,17.5,122.4
