Entity,Year,Total number of deaths from heart diseases,Total number of deaths from cancers,Total number of deaths from chronic respiratory diseases,Total number of deaths from digestive diseases,Total number of deaths from diabetes and kidney diseases,Total number of deaths from neurological disorders,Total number of deaths from other non-communicable diseases,Total number of deaths from pneumonia,Total number of deaths from diarrheal diseases,Total number of deaths from tuberculosis,Total number of deaths from HIV/AIDS,Total number of deaths from malaria,Total number of deaths from neonatal disorders,Total number of deaths from maternal disorders,Total number of deaths from nutritional deficiencies,Total number of deaths from transport injuries,Total number of deaths from other injuries,Total number of deaths from suicide,Total number of deaths from other infectious diseases,Total number of deaths from interpersonal violence
Brazil,1980,225119,84276.28,24175.373,32826.484,30313.814,14247.414,25870.602,66464.125,106008.586,11367.699,1415.2994,1406.6694,80926.086,5903.4805,18961.504,35697.133,28480.033,7713.1157,36117.72,26214.604
Brazil,1981,215109.4,81826.06,23648.324,31093.025,29815.28,14298.492,25370.299,62466.227,97327.77,10304.821,1385.8169,1268.0616,77564.445,6347.8584,17612.406,33554.168,26960.701,7526.5913,33106.75,25712.617
Brazil,1982,215149.47,83263.805,24150.309,31245.895,30179.256,14713.989,25311.188,59859.484,91223.28,9548.805,1446.0001,1418.3046,74908.875,5349.478,16748.111,33268.953,26644.816,7388.699,31080.477,26235.629
Brazil,1983,229243.31,88379.5,26119.078,33400.133,31871.432,15905.249,26205.83,59727.402,88639.016,9364.216,1577.5336,1888.2019,73708.18,3653.8052,17680.84,34620.297,28390.29,7887.11,30728.031,28297.629
Brazil,1984,240838.81,92565.805,28358.021,35235.895,33427.86,17034.525,26972.879,60278.62,85629.03,9249.692,1738.5315,1997.0656,72318.53,5085.1387,18035.836,36733.066,29440.266,8083.122,30379.73,30757.883
Brazil,1985,244670.4,95312.18,29591.219,36100.188,34543.258,17818.18,27138.82,58596.246,77401.53,8903.778,1972.0028,1949.5912,68006.72,4206.6475,17123.896,39279.184,29693.24,8180.7695,28774.627,31887.277
Brazil,1986,245079.36,97576.79,30807.56,37062.293,35428.855,18730.197,27684.154,58149.92,72374.734,8690.624,2355.9055,2128.2498,66312.59,4375.075,16647.457,42224.95,29752.445,8432.317,27730.746,33719.75
Brazil,1987,248345.16,100513.875,31550.006,37800.703,36294.457,19597.988,28150.627,57284.07,66450.56,8534.104,2917.4297,2120.8381,65569.266,3900.8699,16355.441,42194.13,29854.758,8527.475,26577.848,35099.746
Brazil,1988,258724.45,104979.55,33783.207,38999.6,37972.188,20915.762,28744.516,58071.6,59918.62,8574.18,3821.2026,2008.4839,63821.062,4862.8706,15942.142,42422.88,30613.229,8567.302,25865.39,36309.984
Brazil,1989,256475.64,107758.88,34012.363,38959.293,38848.848,21403.223,28863.943,55425.605,51484.785,8400.355,5162.8794,1937.089,59888.824,3631.6843,14749.71,42464.51,30647.217,8376.209,24962.926,39056.984
Brazil,1990,254332.8,110275.84,35818.113,38636.668,40385.742,22399.03,28967.203,53880.19,43942.07,8156.0615,6801.6724,2912.5923,56391.53,3641.66,13605.524,40559.523,30327.693,8053.8496,23954.637,40191.492
Brazil,1991,249418.9,112680.93,36116.996,39029.04,41197.46,23045.12,29210.148,51104.746,38853.953,8052.375,8727.158,2687.7378,54189.586,3418.6716,12747.466,39662.652,30427.223,8340.489,22962.6,39946.777
Brazil,1992,256684.72,118163.016,38560.445,40549.71,43214.207,24268.828,30150.96,52799.242,36622.55,8151.885,10799.145,2693.0369,55014.305,3156.6792,12903.41,39009.535,30614.354,8689.688,22681.512,39604.07
Brazil,1993,269924.4,123826.445,42753.73,42863.9,46129.582,25960.291,31746.04,56487.008,36022.6,8571.323,13072.115,2437.5693,56845.09,3162.37,13142.731,40390.35,31043.83,9167.957,23029.684,41824.35
Brazil,1994,270585.75,126540.54,44383.58,43545.492,47550.797,26828.248,32580.55,56773.57,32929.57,8689.382,14958.159,2398.5625,57001.395,3384.2534,12661.922,41896.15,31712.297,9448.924,22924.21,43272.81
Brazil,1995,269914.6,128707.41,47206.004,44224.156,49098.555,27887.225,33302.633,55008.555,27806.652,8590.138,16314.544,2249.7021,55105.406,2833.8188,11830.547,43916.094,32831.473,9546.871,22581.945,45424.824
Brazil,1996,274157.16,131202.55,51729.3,45818.24,51707.79,29299.984,34553.14,52018.14,23034.812,8328.805,16407.29,1697.3174,53011.395,2069.2295,11429.93,45529.812,33203.195,9456.328,21914.096,46875.594
Brazil,1997,274695.4,134966.78,53152.95,46107.82,52977.293,30481.947,35551.715,48764.832,20139.387,8348.766,15357.479,1327.6941,51655.45,2261.338,11508.471,44349.426,32872.594,9489.001,21052.31,48546.824
Brazil,1998,281329.66,140448.8,56277,47194.465,55087.016,32190.57,36932.957,48602.38,19210.889,8429.368,14575.565,1405.3246,51375.906,2387.0942,11711.266,41364.008,32711.357,9714.874,20387.297,51052.44
Brazil,1999,284584.56,145852.48,56602.633,48686.26,58143.36,33533.266,38520.875,47263.992,17030.662,8346.084,14215.373,1686.1854,50857.953,2311.7815,11468.765,40502.625,32850.61,9539.542,19364.184,51844.68
Brazil,2000,285250.53,150754.34,55586.004,50030.04,61337.684,35068.594,40362.89,46294.406,14552.617,7935.366,14137.595,1736.8112,49855.383,2095.748,10957.438,39878.004,32383.018,9679.92,18231.412,54116.254
Brazil,2001,288692.47,156297.92,56122.87,51592.113,62970.21,36963.266,41997.62,46566.285,13177.57,7680.649,14300.282,897.1395,48136.793,2029.0553,10910.692,40170.168,32075.148,10130.761,17499.99,56657.32
Brazil,2002,293148.25,161229.5,57467.816,52898.316,64645.48,39031.98,43124.52,47836.184,12288.429,7404.136,14510.444,695.1532,46242.016,2045.3402,10624.298,41456.08,32334.018,10261.738,16941.691,58627.12
Brazil,2003,299797.47,166910.1,59020.977,54374.234,66364.92,40966.477,44287.242,49024.26,11699.165,7237.4165,14629.512,645.29364,44618.9,2025.1321,10501.601,42299.66,32294.13,10347.61,16488.305,58861.85
Brazil,2004,305576.97,172309.27,59863.973,55813.47,68030.19,42880.703,45309.953,50337.57,10714.525,7052.99,14671.865,700.2188,42679.652,2095.1826,9923.872,43287.76,32556.838,10546.036,16371.56,57149.984
Brazil,2005,300044.03,174755.05,57442.297,55962.44,67738.01,43879.477,45856.05,48996.42,9946.049,6660.91,14481.934,836.85657,40426.08,2070.0212,8967.704,43384.67,31572.172,10767.91,15913.9795,55912.645
Brazil,2006,306520.97,179844.55,57268.11,56848.957,70109.72,46467.38,47034.168,51548.117,9386.826,6432.7793,14561.338,779.02423,38316.523,1999.0828,8259.479,43478.85,31485.248,10893.999,15576.86,55535.75
Brazil,2007,311284.2,185393.4,56941.47,58257.418,72806.625,48559.863,48281.188,53103.047,8352.89,6274.3135,14751.982,576.18536,36310.203,1952.8192,7863.477,44275.12,32036.459,11253.971,15526.448,55947.246
Brazil,2008,317236.1,191589.03,56794.016,59818.53,75898.38,50797.727,50169.77,54935.484,7731.6035,6243.1504,15082.591,321.24374,34581.605,2046.433,7516.8984,45144.055,33207.977,11616.851,15383.758,57389.992
Brazil,2009,321333.88,196871.16,57835.668,61055.35,79065.89,53319.46,52324.918,59874.22,7059.0522,6186.506,15255.711,330.33844,33095.72,2185.517,7349.616,45914.945,35331.035,11806.585,15292.412,59037.97
Brazil,2010,328466.53,204669.7,59959.95,63206.703,83113.54,56522.88,55367.945,63389.598,6557.03,6015.6377,15367.798,307.74942,31631.287,2049.604,7285.4253,48610.445,36837.223,11813.554,15140.555,59169.32
Brazil,2011,334245.53,211475.62,62051.59,64758.7,86159.31,59453.215,57758.97,67261.19,5972.5615,5890.5654,15533.914,269.26422,30390.45,2003.7723,7165.538,49929.56,39148.566,12188.596,14817.033,59481.664
Brazil,2012,332408.03,216623.45,61352.617,65411.29,86063.01,61505.23,59301.332,69392.234,5925.2466,5734.7075,15624.35,263.95682,29562.729,1965.993,6924.147,50333.44,37583.203,12510.695,14370.807,62176.23
Brazil,2013,336346.47,223030.67,62783.793,66738.39,87862.695,64590.023,61389.9,74277,6075.0737,5752.384,15840.868,203.78423,28956.775,2082.7126,6921.507,49397.3,39154.94,12749.292,14013.386,63284.105
Brazil,2014,338272.25,228159.02,63011.348,67452.7,88629.086,67029.586,63577.55,77631.94,5776.372,5650.2324,15835.479,142.41232,28096.818,2153.6746,6662.165,48299.914,40548.4,12944.159,13753.045,64974.543
Brazil,2015,347434.8,237557.39,65685.12,69407.49,91848.35,71107.53,67221.586,83219.984,5790.5,5656.618,15774.423,113.03624,27280.455,2113.156,6615.6396,44656.977,42155.47,13441.802,13711.469,65875.69
Brazil,2016,356552.66,245596.77,67851.02,71111.97,95732.33,74390.79,70500.88,88319.734,5975.8394,5671.321,15749.869,80.29507,26563.492,2079.5854,6492.405,42608.316,44521.38,14191.96,13841.991,67858.87
Brazil,2017,355129.1,250096.08,68292.086,70914.52,98147.27,77148.984,71843.21,86657.85,5947.618,5681.9663,15178.104,99.09369,25783.766,2135.3025,6083.0605,41114.074,45977.062,14884.139,14018.148,67376.73
Brazil,2018,353794.03,255499.4,67984.945,71247.51,100662.055,79287.95,73778.81,86981.33,5804.6055,5628.1294,14708.204,88.332436,24637.686,2086.1118,5668.1323,38947.215,47364.176,15569.381,13877.168,61782.83
Brazil,2019,360328.75,263109.56,70758.07,72562.13,105625.5,84526.94,77548.05,89092.984,5942.255,5749.0933,14510.1455,67.84872,22963.738,2031.2803,5583.3994,38518.504,49445.723,16645.326,13360.222,55744.81
Brazil,2020,357506,261730.78,68341.695,71944.055,108442.51,85528.59,78423.164,307268.2,5515.172,5943.547,14520.334,88.17989,21279.945,2503.0515,5469.701,39236.652,46736.37,17301.322,13012.762,55080.05
Brazil,2021,365938.75,268646.66,66884.51,75070.04,112778.96,90098.945,83012.63,542771.25,5838.6245,6599.634,14423.628,84.51325,20528.361,3622.1272,5676.0996,39541.3,46849.344,18448.045,13254.103,52952.195
Brazil,2022,385768.84,282151.03,73827.63,79501.086,117045,95495.17,88926.33,189125.94,6354.4395,7084.6763,14539.389,67.60222,19810.137,2030.4811,5365.9766,40794.043,51062.44,19762.592,13667.34,52420.492
Brazil,2023,379656.94,289443.3,73935.055,80191.445,115189.96,97622.91,91360.2,110474.87,6699.7964,7250.054,13777.318,86.96026,19875.973,1787.2694,5074.027,40472.25,50931.207,20129.197,13970.123,52229.21
Central African Republic,1980,3253.169,1209.9248,782.37213,1012.18646,632.8519,233.35594,971.71967,4709.643,5227.1245,5086.975,3.3608627,1552.6775,3587.011,1319.3888,385.121,2204.319,1307.3539,273.53726,7480.99,231.53523
Central African Republic,1981,3278.0544,1222.688,789.77844,1020.94244,640.3539,235.56319,986.0203,4763.5146,5171.6006,5095.949,8.0469,1566.9888,3628.6313,1322.5928,386.75497,2244.6875,1325.9456,279.31183,7316.2637,238.39531
Central African Republic,1982,3303.6082,1232.9867,795.82635,1026.8234,647.28845,237.6279,998.79333,4807.6763,5106.0454,5114.695,18.751486,1581.7183,3671.082,1326.3708,388.49707,2252.4646,1333.5364,283.5732,7341.659,244.32706
