decade,victims
1860,4561043
1870,21001000
1880,2900000
1890,18137500
1900,53500
1910,240000
1920,16024000
1930,7500000
1940,9910000
1950,15998500
1960,18311150
1970,3851082
1980,1432268
1990,3623134
2000,1138
