year,CO2
1,276.7
2,276.8
3,276.8
4,276.9
5,276.9
6,277
7,277.1
8,277.1
9,277.2
10,277.2
11,277.3
12,277.3
13,277.4
14,277.4
15,277.5
16,277.5
17,277.6
18,277.6
19,277.6
20,277.7
21,277.7
22,277.7
23,277.8
24,277.8
25,277.8
26,277.9
27,277.9
28,277.9
29,277.9
30,277.9
31,277.9
32,277.9
33,277.9
34,277.9
35,277.9
36,277.9
37,277.9
38,277.8
39,277.8
40,277.8
41,277.8
42,277.8
43,277.7
44,277.7
45,277.7
46,277.7
47,277.6
48,277.6
49,277.6
50,277.5
51,277.5
52,277.5
53,277.5
54,277.4
55,277.4
56,277.4
57,277.4
58,277.4
59,277.3
60,277.3
61,277.3
62,277.3
63,277.3
64,277.3
65,277.3
66,277.3
67,277.3
68,277.3
69,277.3
70,277.3
71,277.3
72,277.2
73,277.3
74,277.3
75,277.3
76,277.3
77,277.3
78,277.3
79,277.3
80,277.3
81,277.3
82,277.3
83,277.3
84,277.3
85,277.3
86,277.3
87,277.3
88,277.3
89,277.3
90,277.4
91,277.4
92,277.4
93,277.4
94,277.4
95,277.4
96,277.4
97,277.4
98,277.4
99,277.4
100,277.5
101,277.5
102,277.5
103,277.5
104,277.5
105,277.5
106,277.5
107,277.5
108,277.5
109,277.5
110,277.5
111,277.5
112,277.6
113,277.6
114,277.6
115,277.6
116,277.6
117,277.6
118,277.6
119,277.6
120,277.6
121,277.7
122,277.7
123,277.7
124,277.7
125,277.7
126,277.8
127,277.8
128,277.8
129,277.8
130,277.9
131,277.9
132,277.9
133,278
134,278
135,278.1
136,278.1
137,278.2
138,278.2
139,278.3
140,278.3
141,278.4
142,278.4
143,278.5
144,278.6
145,278.6
146,278.7
147,278.8
148,278.8
149,278.9
150,279
151,279
152,279.1
153,279.2
154,279.3
155,279.3
156,279.4
157,279.5
158,279.5
159,279.6
160,279.7
161,279.7
162,279.8
163,279.8
164,279.9
165,279.9
166,280
167,280
168,280.1
169,280.1
170,280.2
171,280.2
172,280.2
173,280.3
174,280.3
175,280.3
176,280.3
177,280.4
178,280.4
179,280.4
180,280.4
181,280.4
182,280.4
183,280.4
184,280.5
185,280.5
186,280.5
187,280.5
188,280.5
189,280.5
190,280.5
191,280.5
192,280.5
193,280.5
194,280.6
195,280.6
196,280.6
197,280.6
198,280.6
199,280.6
200,280.6
201,280.7
202,280.7
203,280.7
204,280.7
205,280.8
206,280.8
207,280.8
208,280.9
209,280.9
210,281
211,281
212,281
213,281.1
214,281.1
215,281.1
216,281.2
217,281.2
218,281.3
219,281.3
220,281.3
221,281.4
222,281.4
223,281.4
224,281.4
225,281.5
226,281.5
227,281.5
228,281.5
229,281.5
230,281.5
231,281.5
232,281.5
233,281.5
234,281.5
235,281.5
236,281.5
237,281.4
238,281.4
239,281.4
240,281.4
241,281.4
242,281.3
243,281.3
244,281.3
245,281.2
246,281.2
247,281.2
248,281.1
249,281.1
250,281
251,281
252,281
253,280.9
254,280.9
255,280.8
256,280.8
257,280.7
258,280.7
259,280.7
260,280.6
261,280.6
262,280.5
263,280.5
264,280.4
265,280.4
266,280.4
267,280.3
268,280.3
269,280.3
270,280.2
