year,Energy for Freight Transport
1302,1938.8
1303,2058.9
1304,2075.8
1305,2055.4
1306,2063.9
1307,1787.9
1308,1644.2
1309,1623.5
1310,1615.7
1311,1621.8
1312,1547.4
1313,1417.6
1314,1253.7
1315,1136.7
1316,1092.7
1317,1032.2
1318,981.1
1319,906.8
1320,863.5
1321,808.4
1322,901.2
1323,1108.2
1324,2009.3
1325,2224.4
1326,2306.0
1327,2279.9
1328,2264.9
1329,1806.2
1330,1769.4
1331,1853.8
1332,2039.5
1333,2027.3
1334,1737.9
1335,1521.3
1336,1230.2
1337,1113.3
1338,1578.2
1339,1702.7
1340,1931.0
1341,2106.5
1342,2147.5
1343,1828.6
1344,1777.9
1345,1687.3
1346,1660.9
1347,1636.6
1348,1430.4
1349,1288.1
1350,1323.6
1351,1424.5
1352,1383.6
1353,1380.9
1354,1530.9
1355,1531.6
1356,1392.4
1357,1379.9
1358,1385.5
1359,1370.9
1360,1341.1
1361,1346.1
1362,1273.2
1363,1291.1
1364,1272.7
1365,1287.7
1366,1341.1
1367,1297.4
1368,1192.3
1369,1044.6
1370,984.5
1371,1085.7
1372,1189.7
1373,1445.1
1374,1616.6
1375,1745.3
1376,1871.1
1377,1868.6
1378,1742.2
1379,1854.8
1380,1868.8
1381,1763.9
1382,1767.1
1383,1774.6
1384,1621.1
1385,1579.1
1386,1507.4
1387,1534.8
1388,1470.5
1389,1518.8
1390,1465.4
1391,1460.0
1392,1482.7
1393,1583.3
1394,1540.9
1395,1633.6
1396,1576.3
1397,1627.5
1398,1579.0
1399,1607.2
1400,1544.4
1401,1620.9
1402,1461.0
1403,1601.0
1404,1614.0
1405,1667.9
1406,1674.3
1407,1797.2
1408,1675.2
1409,1635.4
1410,1577.8
1411,1576.7
1412,1528.6
1413,1528.5
1414,1496.6
1415,1526.0
1416,1417.7
1417,1583.7
1418,1579.1
1419,1612.3
1420,1665.4
1421,1846.7
1422,1727.9
1423,1804.0
1424,1891.0
1425,1840.2
1426,1716.3
1427,1712.3
1428,1634.0
1429,1627.0
1430,1630.0
1431,1677.7
1432,1676.0
1433,1685.6
1434,1608.7
1435,1564.9
1436,1494.2
1437,1467.7
1438,1471.6
1439,1469.7
1440,1554.6
1441,1653.2
1442,1868.2
1443,1847.0
1444,1915.4
1445,1921.7
1446,1894.0
1447,1711.6
1448,1717.8
1449,1721.3
1450,1765.0
1451,1802.1
1452,1787.6
1453,1888.2
1454,1888.5
1455,1795.2
1456,1747.0
1457,1706.0
1458,1747.7
1459,1669.5
1460,1698.3
1461,1634.5
1462,1604.2
1463,1596.5
1464,1591.8
1465,1555.0
1466,1738.3
1467,1855.3
1468,1826.4
1469,1823.5
1470,1761.9
1471,1625.9
1472,1528.6
1473,1411.0
1474,1493.0
1475,1521.1
1476,1656.5
1477,1858.9
1478,1814.7
1479,1679.0
1480,1640.9
1481,1460.9
1482,1229.7
1483,1241.7
1484,1216.3
1485,1140.8
1486,1061.3
1487,1111.1
1488,1174.9
1489,1310.1
