year,Italy,United Kingdom,United States,Japan,China,India,Chile,South Africa,South Korea,Australia,Sweden,World Average
1000,450,400,400,425,466,450,,,,400,400,453
,,,,,,,,,,,,
1500,1100,714,400,500,600,550,,,,400,651,566
,,,,,,,,,,,,
1600,1100,974,400,520,600,550,,,,400,700,596
,,,,,,,,,,,,
1700,1100,1250,527,570,600,550,,,,400,750,615
,,,,,,,,,,,,
1820,1117,1706,1257,669,600,533,694,415,600,518,819,666
1821,,,,,,,663,,,523,854,
1822,,,,,,,667,,,538,874,
1823,,,,,,,664,,,556,873,
1824,,,,,,,648,,,587,899,
1825,,,,,,,667,,,616,892,
1826,,,,,,,672,,,627,893,
1827,,,,,,,675,,,646,831,
1828,,,,,,,670,,,663,880,
1829,,,,,,,674,,,699,896,
1830,,1749,1376,,,,664,,,848,870,
1831,,1811,,,,,663,,,877,868,
1832,,1774,,,,,671,,,896,845,
1833,,1774,,,,,669,,,900,887,
1834,,1828,,,,,683,,,946,903,
1835,,1906,,,,,698,,,1145,902,
1836,,1957,,,,,693,,,1125,913,
1837,,1912,,,,,710,,,1180,911,
1838,,1996,,,,,713,,,1165,872,
1839,,2069,,,,,714,,,1087,899,
1840,,1990,1588,,,,751,,,1374,925,
1841,,1930,,,,,752,,,1172,912,
1842,,1869,,,,,761,,,1069,876,
1843,,1886,,,,,775,,,1239,896,
1844,,1981,,,,,778,,,1409,938,
1845,,2067,,,,,793,,,1449,959,
1846,,2185,,,,,811,,,1602,924,
1847,,2213,,,,,820,,,1853,938,
1848,,2272,,,,,845,,,2121,968,
1849,,2334,,,,,895,,,2095,1008,
1850,1350,2330,1806,679,600,533,932,,,1975,1019,
1851,,2451,,,,,948,,,2344,1007,
1852,,2480,,,,,966,,,2749,985,
1853,,2555,,,,,936,,,3010,993,
1854,,2602,,,,,953,,,2636,1006,
1855,,2571,,,,,987,,,2502,1065,
1856,,2730,,,,,988,,,3053,1045,
1857,,2757,,,,,1011,,,2694,1068,
1858,,2742,,,,,1045,,,2297,1118,
1859,,2790,,,,,1068,,,2966,1172,
1860,,2830,2178,,,,1094,,,2894,1195,
1861,1447,2884,,,,,1083,,,2851,1183,
1862,1482,2880,,,,,1069,,,2740,1104,
1863,1442,2881,,,,,1098,,,2730,1183,
1864,1474,2935,,,,,1145,,,2896,1206,
1865,1499,3001,,,,,1172,,,2762,1244,
1866,1559,3023,,,,,1186,,,2843,1207,
1867,1421,2968,,,,,1128,,,3109,1225,
1868,1479,3037,,,,,1172,,,3156,1094,
1869,1486,3031,,,,,1276,,,3094,1202,
1870,1499,3190,2445,737,530,533,1290,858,604,3273,1359,870
1871,1506,3332,2503,742,,,1274,,,3299,1406,
1872,1475,3319,2541,746,,,1349,,,3553,1445,
1873,1524,3365,2604,751,,,1417,,,3824,1451,
1874,1513,3386,2527,756,,,1337,,,3835,1479,
1875,1550,3434,2599,810,,,1426,,,4138,1453,
1876,1506,3430,2570,785,,,1390,,,4007,1539,
1877,1493,3425,2595,803,,,1325,,,4036,1505,
1878,1506,3403,2646,794,,,1385,,,4277,1452,
1879,1514,3353,2909,835,,,1572,,,4205,1522,
1880,1581,3477,3184,863,,,1740,,,4285,1520,
1881,1467,3568,3215,829,,,1775,,,4455,1565,
1882,1584,3643,3338,844,,,1895,,,4063,1549,
1883,1568,3643,3339,837,,,1879,,,4475,1658,
1884,1566,3622,3320,836,,551,1869,,,4304,1625,
1885,1584,3574,3270,860,,567,1788,,,4422,1675,
1886,1643,3600,3294,916,,548,1837,,,4329,1665,
1887,1678,3713,3368,952,,572,1938,,,4632,1650,
1888,1662,3849,3282,900,,576,1836,,,4504,1726,
1889,1579,4024,3413,933,,559,1858,,,4747,1745,
1890,1667,4009,3392,1012,540,584,1966,,,4458,1769,
1891,1651,3975,3467,956,,529,2099,,,4666,1836,
1892,1548,3846,3728,1013,,571,2030,,,3995,1826,
1893,1609,3811,3478,1008,,584,2103,,,3708,1875,
1894,1576,4029,3314,1119,,592,2042,,,3766,1888,
1895,1592,4118,3644,1123,,577,2158,,,3487,1963,
1896,1627,4249,3504,1051,,533,2143,,,3685,2050,
1897,1545,4264,3769,1062,,630,2070,,,3420,2122,
1898,1672,4428,3780,1249,,630,2292,,,3891,2176,
1899,1700,4567,4051,1143,,580,2279,,,3840,2233,
1900,1785,4492,4091,1180,545,599,2194,,,4013,2209,1261
1901,1890,4450,4464,1206,,608,2223,,,3839,2248,
1902,1821,4525,4421,1129,,655,2293,,,3823,2239,
1903,1893,4440,4551,1193,,660,2139,,,4076,2314,
1904,1896,4428,4410,1188,,659,2287,,,4295,2394,
1905,1984,4520,4642,1157,,643,2259,,,4282,2366,
1906,2042,4631,5079,1297,,657,2408,,,4507,2544,
1907,2254,4679,5065,1325,,614,2507,,,4616,2690,
1908,2288,4449,4561,1318,,619,2743,,,4693,2622,
1909,2444,4511,5017,1301,,700,2726,,,4981,2617,
1910,2332,4611,4964,1304,,697,3000,,,5210,2776,
1911,2461,4709,5046,1356,,691,2887,,815,5104,2814,
1912,2465,4762,5201,1384,,689,2968,,843,5098,2900,
1913,2564,4921,5301,1387,552,673,2988,1602,869,5157,3073,1524
1914,2543,4927,4799,1327,,709,2497,,902,5027,3100,
1915,2810,5288,4864,1430,,691,2389,,1048,4897,3127,
1916,3139,5384,5459,1630,,710,2895,,1018,4878,3265,
1917,3301,5421,5248,1665,,697,2923,,1118,4791,3022,
1918,3392,5459,5659,1668,,607,2926,,1196,4602,2820,
1919,2845,4870,5680,1827,,690,2480,,1265,4716,2938,
1920,2587,4548,5552,1696,,635,2768,,1092,4766,3111,
1921,2528,4439,5323,1860,,679,2370,,1169,4911,2820,
1922,2631,4637,5540,1831,,701,2426,,1065,5064,3105,
1923,2763,4760,6164,1809,,671,2885,,1131,5192,3249,
1924,2765,4921,6233,1836,,697,3062,,1129,5417,3407,
1925,2921,5144,6282,1885,,698,3152,,1119,5553,3414,
1926,2926,4936,6602,1872,,713,2850,,1152,5573,3674,
1927,2838,5315,6576,1870,,706,2760,,1191,5544,3780,
1928,3016,5357,6569,1992,,706,3332,,1190,5452,3885,
1929,3093,5503,6899,2026,562,728,3455,,1118,5263,4145,
1930,2918,5441,6213,1850,568,726,2859,,1049,4708,4306,
1931,2877,5138,5691,1837,569,711,2218,,1046,4354,4247,
1932,2948,5148,4908,1962,583,709,1844,,1039,4564,4100,
1933,2906,5277,4777,2122,579,700,2236,,1247,4842,4207,
1934,2894,5608,5114,2098,525,697,2655,,1236,5060,4535,
1935,3148,5799,5467,2120,565,680,2761,,1337,5318,4768,
1936,3130,6035,6204,2244,597,697,2847,,1437,5516,4991,
1937,3319,6218,6430,2315,580,676,3181,,1561,5746,5194,
1938,3316,6266,6126,2449,562,668,3161,,1619,5886,5371,
1939,3521,6262,6561,2816,,674,3169,,1439,5846,5737,
1940,3505,6856,7010,2874,,686,3236,,1600,6166,5180,1958
1941,3432,7482,8206,2873,,691,3141,,1598,6788,5074,
1942,3369,7639,9741,2818,,679,3226,,1566,7505,5157,
1943,3039,7744,11518,2822,,698,3256,,1566,7703,5344,
1944,2463,7405,12333,2659,,683,3256,,1476,7362,5441,
1945,1922,7056,11709,1346,,664,3471,,683,6917,5454,
1946,2502,6745,9197,1444,,622,3699,,686,6595,5994,
1947,2920,6604,8886,1541,,618,3240,,719,6664,6351,
1948,3063,6746,9065,1725,,617,3712,,768,6967,6398,
1949,3265,6956,8944,1800,,624,3569,,819,7237,6570,
1950,3502,6939,9561,1921,448,619,3670,2535,854,7412,6769,2111
1951,3738,7123,10116,2126,491,623,3731,2591,787,7507,6979,2197
1952,3997,7091,10316,2336,538,629,3893,2619,835,7418,6974,2258
1953,4260,7346,10613,2474,552,657,4112,2675,1072,7505,7043,2329
1954,4449,7619,10359,2582,557,672,3907,2763,1124,7791,7339,2363
1955,4676,7868,10897,2771,577,676,3975,2830,1169,8027,7478,2467
1956,4859,7929,10914,2948,616,701,3957,2914,1149,8108,7702,2534
1957,5118,8017,10920,3136,636,680,4264,2951,1206,8090,7897,2578
1958,5360,7966,10631,3289,690,716,4392,2939,1234,8305,8045,2607
1959,5653,8240,11230,3554,686,717,4042,2995,1243,8628,8356,2675
1960,5916,8645,11328,3986,662,753,4270,3041,1226,8791,8792,2773
1961,6373,8857,11402,4426,553,758,4366,3092,1247,8653,9237,2831
1962,6827,8865,11905,4777,550,758,4465,3179,1245,9027,9602,2914
1963,7262,9149,12242,5129,590,779,4639,3321,1316,9400,10021,2978
1964,7487,9568,12773,5668,645,821,4638,3450,1390,9849,10618,3130
1965,7598,9752,13419,5934,702,771,4577,3559,1436,10152,11045,3228
1966,7942,9885,14134,6506,746,762,4984,3615,1569,10241,11276,3335
1967,8454,10049,14330,7152,707,807,5046,3760,1645,10733,11623,3390
1968,9105,10410,14863,7983,675,809,5128,3819,1812,11148,12036,3505
1969,9566,10552,15179,8874,713,845,5220,3946,2040,11561,12540,3624
1970,9719,10767,15030,9714,778,868,5231,4045,2167,12024,13011,3729
1971,9839,10941,15304,10040,795,856,5597,4135,2332,12290,13227,3803
1972,10060,11294,15944,10734,798,834,5429,4109,2456,12404,13533,3904
1973,10634,12025,16689,11434,838,853,5034,4175,2824,12878,14018,4083
1974,11046,11859,16491,11145,835,843,4992,4299,3015,12985,14485,4099
1975,10742,11847,16284,11344,871,897,4273,4271,3162,13170,14575,4087
1976,11385,12115,16975,11669,853,889,4347,4267,3476,13559,14825,4213
1977,11668,12384,17567,12064,894,937,4700,4155,3775,13546,14560,4309
1978,12064,12828,18373,12585,978,966,5011,4174,4064,13769,14498,4422
1979,12720,13167,18789,13163,1039,895,5345,4232,4294,14320,14929,4500
1980,13149,12931,18577,13428,1061,938,5680,4390,4114,14412,15016,4512
1981,13200,12747,18856,13754,1110,977,5932,4480,4302,14660,14909,4523
1982,13252,12955,18325,14078,1186,985,5035,4323,4557,14412,15076,4501
1983,13391,13404,18920,14307,1258,1043,4810,4112,5007,14239,15337,4541
1984,13719,13720,20123,14773,1396,1060,5011,4186,5375,15062,15804,4668
1985,14096,14165,20717,15331,1519,1079,5030,4006,5670,15638,16049,4748
1986,14496,14742,21236,15679,1597,1101,5227,3912,6263,15757,16442,4833
1987,14946,15393,21788,16251,1737,1125,5480,3897,6916,16293,16905,4932
1988,15523,16110,22499,17185,1830,1216,5780,3964,7621,16752,17298,5056
1989,15969,16414,23059,17943,1834,1270,6283,3956,8027,17194,17710,5130
1990,16313,16430,23201,18789,1871,1309,6401,3834,8704,17173,17781,5150
1991,16539,16157,22849,19355,1967,1303,6795,3716,9404,16970,17438,5137
1992,16637,16133,23298,19482,2132,1345,7505,3566,9803,17370,16997,5165
1993,16436,16463,23616,19478,2312,1399,7905,3534,10232,17853,16597,5200
1994,16754,17137,24279,19637,2515,1474,8399,3584,10974,18424,17066,5304
1995,17215,17561,24603,19979,2863,1553,8973,3646,11850,19002,17592,5446
1996,17376,17997,25230,20616,2892,1645,9505,3752,12579,19485,17824,5552
1997,17693,18527,26052,20929,3013,1693,9997,3801,13066,20110,18362,5690
1998,17834,19023,26849,20267,2993,1771,10186,3777,12282,20978,19073,5709
1999,18160,19516,27735,20198,3162,1845,9984,3808,13350,21572,19917,5833
2000,18774,20353,28467,20738,3421,1892,10309,3890,14375,21732,20710,6038
2001,19069,20590,28405,20736,3759,1966,10535,3950,14947,22271,20890,6132
2002,19107,20946,28604,20755,4197,2001,10646,4048,15764,22910,21361,6262
2003,19090,21461,29074,21092,4803,2134,10942,4130,16177,23332,21733,6469
2004,19300,22096,29845,21576,5169,2278,11479,4156,16873,23619,22292,6738
2005,19420,22518,30481,21976,5575,2423,12001,4316,17493,23996,22987,6960
2006,19798,23107,31004,22420,6048,2617,12432,4503,18357,24359,23912,7238
2007,20110,23642,31357,22950,6303,2817,12894,4689,19243,25014,24496,7468
2008,19909,23742,31178,22816,6725,2975,13185,4793,19614,25301,24409,7614
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
