year,Germany,USA,France,Japan,Switzerland
1920,,,,1.6,
1921,,,,1.7,
1922,,,,1.8,
1923,,,,2,
1924,,,,2.1,
1925,,,,2,
1926,,,,2,
1927,,3.8,,2.1,
1928,,4,,2.2,
1929,,4.3,,2.2,
1930,,4.3,,2,
1931,,4.3,,2,
1932,2.3,4.4,,2.1,
1933,2.4,4.8,,2.2,
1934,2.5,5.3,,2.3,
1935,2.5,5.7,,2.4,1.5
1936,2.6,6,,2.4,1.5
1937,2.8,6,,2.5,1.5
1938,3.1,6,,2.5,
1939,,6.2,,2.9,1.9
1940,,6.5,,3.1,1.9
1941,,6.8,,3.1,2.3
1942,,7.4,,3.2,2.2
1943,,7.8,,3.2,2.6
1944,,7,,2.7,2.8
1945,,8.1,,0.9,3.2
1946,,8.9,,0.9,3.5
1947,,9.1,,1,4
1948,,9.3,,1.9,3.9
1949,,9.3,,2.8,4
1950,2.7,9.3,4.4,3.3,4.1
1951,3.1,9.7,4.5,3.7,4.3
1952,3.1,10,4.5,3.9,4.7
1953,3.3,9.7,4.5,4.3,4.6
1954,3.5,9.1,4.5,4.5,4.6
1955,3.8,9.3,4.7,4.5,4.8
1956,4.1,9.4,4.9,4.4,5.1
1957,4.3,9.7,5.1,4.5,5.3
1958,4.4,10.2,5.2,4.6,5.8
1959,4.7,10.5,4.9,4.8,5.9
1960,5,10.7,5,5.1,6.6
1961,5.4,11,5.1,5.6,7.2
1962,5.4,10.9,5.1,5.7,7.6
1963,5.5,11,5.1,5.9,7.6
1964,5.7,10.6,5.1,6.2,7.2
1965,6,10.7,5.2,6.4,8.5
1966,6.2,10.7,5.3,6.7,6.7
1967,6.1,10.7,5.5,7,7.7
1968,6.5,10.4,5.7,7,8.1
1969,6.8,10,5.7,7.5,9
1970,7.2,10.3,5.8,7.8,9.5
1971,7.5,10,5.9,8.2,10.3
1972,7.5,10.1,5.7,8.6,10.7
1973,7.4,10.7,5.9,8.9,9.3
1974,7.5,10.6,6.1,9.5,9.2
1975,7.3,10.4,6.3,9.5,8.6
1976,7.6,10.4,6.2,9.4,8.5
1977,7,10.2,6.3,9.7,8.8
1978,7.3,10,6.1,9.6,8.5
1979,7.3,9.9,6.2,9.6,8.2
1980,7.5,9.9,6.1,9.4,8.3
1981,7.6,9.9,6,9.5,8.4
1982,6.9,9.7,6,9.4,8.4
1983,7.2,9.1,6.1,9.3,8.5
1984,7.2,9,6.1,9.2,8.4
1985,7.2,8.8,6.4,9,8.1
1986,7,8.5,6.3,8.8,8.1
1987,7,8.3,6.1,8.7,8
1988,6.9,8,6,8.6,7.9
1989,7,7.7,6,8.6,7.9
1990,,7.4,5.9,8.8,7.8
1991,6.6,7.1,6,8.9,7.8
1992,6.1,6.9,5.9,8.8,8.2
1993,5.9,6.7,5.7,8.8,7.6
1994,6,6.6,5.6,8.8,7.4
1995,6,6.5,5.4,8.8,7.3
1996,6,6.5,5.3,9.1,7.2
1997,6,6.3,5.2,8.5,7
1998,6.1,6.1,5.2,8.7,7.1
1999,6.3,5.6,5.2,8.5,6.8
2000,6.1,5.4,5.1,8.3,6.7
2001,6.2,5.3,5.2,8.1,6.5
2002,6.3,5.1,5,7.9,6.5
2003,5.9,4.9,4.3,7.6,6.5
2004,5.3,4.6,3.6,7.4,6.3
2005,5,4.5,3.5,7.2,5.6
2006,4.5,4.5,3.6,6.8,5.7
2007,4.4,4.3,3.5,6.5,5.4
2008,4.2,4.1,3.4,,5.5
2009,4.3,3.8,3.5,,5.6
2010,4.2,3.5,3.5,,
