year,Italy,United Kingdom,United States,Japan,India,Chile,South Korea,Sweden
1000,450,400,400,425,450,,,400
,,,,,,,,
1500,1100,714,400,500,550,,,651
,,,,,,,,
1600,1100,974,400,520,550,,,700
,,,,,,,,
1700,1100,1250,527,570,550,,,750
,,,,,,,,
1820,1117,1706,1257,669,533,694,600,819
1821,,,,,,663,,854
1822,,,,,,667,,874
1823,,,,,,664,,873
1824,,,,,,648,,899
1825,,,,,,667,,892
1826,,,,,,672,,893
1827,,,,,,675,,831
1828,,,,,,670,,880
1829,,,,,,674,,896
1830,,1749,1376,,,664,,870
1831,,1811,,,,663,,868
1832,,1774,,,,671,,845
1833,,1774,,,,669,,887
1834,,1828,,,,683,,903
1835,,1906,,,,698,,902
1836,,1957,,,,693,,913
1837,,1912,,,,710,,911
1838,,1996,,,,713,,872
1839,,2069,,,,714,,899
1840,,1990,1588,,,751,,925
1841,,1930,,,,752,,912
1842,,1869,,,,761,,876
1843,,1886,,,,775,,896
1844,,1981,,,,778,,938
1845,,2067,,,,793,,959
1846,,2185,,,,811,,924
1847,,2213,,,,820,,938
1848,,2272,,,,845,,968
1849,,2334,,,,895,,1008
1850,1350,2330,1806,679,533,932,,1019
1851,,2451,,,,948,,1007
1852,,2480,,,,966,,985
1853,,2555,,,,936,,993
1854,,2602,,,,953,,1006
1855,,2571,,,,987,,1065
1856,,2730,,,,988,,1045
1857,,2757,,,,1011,,1068
1858,,2742,,,,1045,,1118
1859,,2790,,,,1068,,1172
1860,,2830,2178,,,1094,,1195
1861,1447,2884,,,,1083,,1183
1862,1482,2880,,,,1069,,1104
1863,1442,2881,,,,1098,,1183
1864,1474,2935,,,,1145,,1206
1865,1499,3001,,,,1172,,1244
1866,1559,3023,,,,1186,,1207
1867,1421,2968,,,,1128,,1225
1868,1479,3037,,,,1172,,1094
1869,1486,3031,,,,1276,,1202
1870,1499,3190,2445,737,533,1290,604,1359
1871,1506,3332,2503,742,,1274,,1406
1872,1475,3319,2541,746,,1349,,1445
1873,1524,3365,2604,751,,1417,,1451
1874,1513,3386,2527,756,,1337,,1479
1875,1550,3434,2599,810,,1426,,1453
1876,1506,3430,2570,785,,1390,,1539
1877,1493,3425,2595,803,,1325,,1505
1878,1506,3403,2646,794,,1385,,1452
1879,1514,3353,2909,835,,1572,,1522
1880,1581,3477,3184,863,,1740,,1520
1881,1467,3568,3215,829,,1775,,1565
1882,1584,3643,3338,844,,1895,,1549
1883,1568,3643,3339,837,,1879,,1658
1884,1566,3622,3320,836,551,1869,,1625
1885,1584,3574,3270,860,567,1788,,1675
1886,1643,3600,3294,916,548,1837,,1665
1887,1678,3713,3368,952,572,1938,,1650
1888,1662,3849,3282,900,576,1836,,1726
1889,1579,4024,3413,933,559,1858,,1745
1890,1667,4009,3392,1012,584,1966,,1769
1891,1651,3975,3467,956,529,2099,,1836
1892,1548,3846,3728,1013,571,2030,,1826
1893,1609,3811,3478,1008,584,2103,,1875
1894,1576,4029,3314,1119,592,2042,,1888
1895,1592,4118,3644,1123,577,2158,,1963
1896,1627,4249,3504,1051,533,2143,,2050
1897,1545,4264,3769,1062,630,2070,,2122
1898,1672,4428,3780,1249,630,2292,,2176
1899,1700,4567,4051,1143,580,2279,,2233
1900,1785,4492,4091,1180,599,2194,,2209
1901,1890,4450,4464,1206,608,2223,,2248
1902,1821,4525,4421,1129,655,2293,,2239
1903,1893,4440,4551,1193,660,2139,,2314
1904,1896,4428,4410,1188,659,2287,,2394
1905,1984,4520,4642,1157,643,2259,,2366
1906,2042,4631,5079,1297,657,2408,,2544
1907,2254,4679,5065,1325,614,2507,,2690
1908,2288,4449,4561,1318,619,2743,,2622
1909,2444,4511,5017,1301,700,2726,,2617
1910,2332,4611,4964,1304,697,3000,,2776
1911,2461,4709,5046,1356,691,2887,815,2814
1912,2465,4762,5201,1384,689,2968,843,2900
1913,2564,4921,5301,1387,673,2988,869,3073
1914,2543,4927,4799,1327,709,2497,902,3100
1915,2810,5288,4864,1430,691,2389,1048,3127
1916,3139,5384,5459,1630,710,2895,1018,3265
1917,3301,5421,5248,1665,697,2923,1118,3022
1918,3392,5459,5659,1668,607,2926,1196,2820
1919,2845,4870,5680,1827,690,2480,1265,2938
1920,2587,4548,5552,1696,635,2768,1092,3111
1921,2528,4439,5323,1860,679,2370,1169,2820
1922,2631,4637,5540,1831,701,2426,1065,3105
1923,2763,4760,6164,1809,671,2885,1131,3249
1924,2765,4921,6233,1836,697,3062,1129,3407
1925,2921,5144,6282,1885,698,3152,1119,3414
1926,2926,4936,6602,1872,713,2850,1152,3674
1927,2838,5315,6576,1870,706,2760,1191,3780
1928,3016,5357,6569,1992,706,3332,1190,3885
1929,3093,5503,6899,2026,728,3455,1118,4145
1930,2918,5441,6213,1850,726,2859,1049,4306
1931,2877,5138,5691,1837,711,2218,1046,4247
1932,2948,5148,4908,1962,709,1844,1039,4100
1933,2906,5277,4777,2122,700,2236,1247,4207
1934,2894,5608,5114,2098,697,2655,1236,4535
1935,3148,5799,5467,2120,680,2761,1337,4768
1936,3130,6035,6204,2244,697,2847,1437,4991
1937,3319,6218,6430,2315,676,3181,1561,5194
1938,3316,6266,6126,2449,668,3161,1619,5371
1939,3521,6262,6561,2816,674,3169,1439,5737
1940,3505,6856,7010,2874,686,3236,1600,5180
1941,3432,7482,8206,2873,691,3141,1598,5074
1942,3369,7639,9741,2818,679,3226,1566,5157
1943,3039,7744,11518,2822,698,3256,1566,5344
1944,2463,7405,12333,2659,683,3256,1476,5441
1945,1922,7056,11709,1346,664,3471,683,5454
1946,2502,6745,9197,1444,622,3699,686,5994
1947,2920,6604,8886,1541,618,3240,719,6351
1948,3063,6746,9065,1725,617,3712,768,6398
1949,3265,6956,8944,1800,624,3569,819,6570
1950,3502,6939,9561,1921,619,3670,854,6769
1951,3738,7123,10116,2126,623,3731,787,6979
1952,3997,7091,10316,2336,629,3893,835,6974
1953,4260,7346,10613,2474,657,4112,1072,7043
1954,4449,7619,10359,2582,672,3907,1124,7339
1955,4676,7868,10897,2771,676,3975,1169,7478
1956,4859,7929,10914,2948,701,3957,1149,7702
1957,5118,8017,10920,3136,680,4264,1206,7897
1958,5360,7966,10631,3289,716,4392,1234,8045
1959,5653,8240,11230,3554,717,4042,1243,8356
1960,5916,8645,11328,3986,753,4270,1226,8792
1961,6373,8857,11402,4426,758,4366,1247,9237
1962,6827,8865,11905,4777,758,4465,1245,9602
1963,7262,9149,12242,5129,779,4639,1316,10021
1964,7487,9568,12773,5668,821,4638,1390,10618
1965,7598,9752,13419,5934,771,4577,1436,11045
1966,7942,9885,14134,6506,762,4984,1569,11276
1967,8454,10049,14330,7152,807,5046,1645,11623
1968,9105,10410,14863,7983,809,5128,1812,12036
1969,9566,10552,15179,8874,845,5220,2040,12540
1970,9719,10767,15030,9714,868,5231,2167,13011
1971,9839,10941,15304,10040,856,5597,2332,13227
1972,10060,11294,15944,10734,834,5429,2456,13533
1973,10634,12025,16689,11434,853,5034,2824,14018
1974,11046,11859,16491,11145,843,4992,3015,14485
1975,10742,11847,16284,11344,897,4273,3162,14575
1976,11385,12115,16975,11669,889,4347,3476,14825
1977,11668,12384,17567,12064,937,4700,3775,14560
1978,12064,12828,18373,12585,966,5011,4064,14498
1979,12720,13167,18789,13163,895,5345,4294,14929
1980,13149,12931,18577,13428,938,5680,4114,15016
1981,13200,12747,18856,13754,977,5932,4302,14909
1982,13252,12955,18325,14078,985,5035,4557,15076
1983,13391,13404,18920,14307,1043,4810,5007,15337
1984,13719,13720,20123,14773,1060,5011,5375,15804
1985,14096,14165,20717,15331,1079,5030,5670,16049
1986,14496,14742,21236,15679,1101,5227,6263,16442
1987,14946,15393,21788,16251,1125,5480,6916,16905
1988,15523,16110,22499,17185,1216,5780,7621,17298
1989,15969,16414,23059,17943,1270,6283,8027,17710
1990,16313,16430,23201,18789,1309,6401,8704,17781
1991,16539,16157,22849,19355,1303,6795,9404,17438
1992,16637,16133,23298,19482,1345,7505,9803,16997
1993,16436,16463,23616,19478,1399,7905,10232,16597
1994,16754,17137,24279,19637,1474,8399,10974,17066
1995,17215,17561,24603,19979,1553,8973,11850,17592
1996,17376,17997,25230,20616,1645,9505,12579,17824
1997,17693,18527,26052,20929,1693,9997,13066,18362
1998,17834,19023,26849,20267,1771,10186,12282,19073
1999,18160,19516,27735,20198,1845,9984,13350,19917
2000,18774,20353,28467,20738,1892,10309,14375,20710
2001,19069,20590,28405,20736,1966,10535,14947,20890
2002,19107,20946,28604,20755,2001,10646,15764,21361
2003,19090,21461,29074,21092,2134,10942,16177,21733
2004,19300,22096,29845,21576,2278,11479,16873,22292
2005,19420,22518,30481,21976,2423,12001,17493,22987
2006,19798,23107,31004,22420,2617,12432,18357,23912
2007,20110,23642,31357,22950,2817,12894,19243,24496
2008,19909,23742,31178,22816,2975,13185,19614,24409
