year,Sweden,United Kingdom,United States,India,Japan,South Korea
1800,4.07,4.97,7.03,,4.08,
1801,4.26,4.6,,,,
1802,4.5,5.3,,,,
1803,4.45,5.61,,,,
1804,4.52,5.65,,,,
1805,4.5,5.55,,,,
1806,4.36,5.49,,,,
1807,4.42,5.45,,,,
1808,4.31,5.4,,,,
1809,3.78,5.24,,,,
1810,4.67,5.36,,,,
1811,5.01,5.43,,,,
1812,4.76,5.31,,,4.43,
1813,4.22,5.45,,,,
1814,4.42,5.46,,,,
1815,4.93,6.02,,,,
1816,5.01,5.73,,,,
1817,4.74,5.69,,,,
1818,4.8,5.54,,,,
1819,4.68,5.45,,,,
1820,4.68,5.4,6.59,,,
1821,5.03,5.55,,,,
1822,5.09,5.69,,,,
1823,5.22,5.54,,,,
1824,4.9,5.42,,,,
1825,5.18,5.38,,,,
1826,4.94,5.36,,,,
1827,4.44,5.07,,,,
1828,4.77,5.23,,,,
1829,4.94,4.85,,,,
1830,4.67,4.83,,,,
1831,4.32,4.78,,,,
1832,4.38,4.78,,,,
1833,4.84,5,,,,
1834,4.78,4.89,,,,
1835,4.63,4.83,,,,
1836,4.52,4.86,,,,
1837,4.37,4.79,,,,
1838,4.17,4.78,,,4.54,
1839,4.18,4.93,,,,
1840,4.46,4.9,6.18,,,
1841,4.3,4.89,,,,
1842,4.49,4.83,,,,
1843,4.36,4.82,,,,
1844,4.56,4.83,,,,
1845,4.46,4.75,,,,
1846,4.25,4.9,,,,
1847,4.2,4.58,,,,
1848,4.3,4.71,,,,
1849,4.66,4.78,,,,
1850,4.45,4.85,,,,
1851,4.36,4.94,,,,
1852,4.2,4.94,,,,
1853,4.26,4.78,,,,
1854,4.53,4.89,,,,
1855,4.3,4.85,,,,
1856,4.23,4.94,,,,
1857,4.36,4.9,,,,
1858,4.66,4.79,,,,
1859,4.71,4.97,,,,
1860,4.71,4.86,5.28,,,
1861,4.44,4.88,,,,
1862,4.59,4.92,,,,
1863,4.65,4.94,,,4.84,
1864,4.69,4.96,,,,
1865,4.58,4.94,,,,
1866,4.68,4.92,,,,
1867,4.4,4.94,,,,
1868,3.93,4.97,,,,
1869,4.03,4.82,,,,
1870,4.11,4.88,,,,
1871,4.37,4.85,,,,
1872,4.34,,,,,
1873,4.49,4.94,,,3.41,
1874,4.54,,,,3.52,
1875,4.6,,,,3.74,
1876,4.57,,,,3.75,
1877,4.62,,,,3.67,
1878,4.44,4.88,,,3.58,
1879,4.56,,,,3.55,
1880,4.36,,4.75,5.95,3.59,
1881,4.29,,,,3.77,
1882,4.32,,,,3.67,
1883,4.24,4.55,,,3.96,
1884,4.4,,,,3.8,
1885,4.34,,,,3.98,
1886,4.39,,,5.76,4.04,
1887,4.36,,,,4.04,
1888,4.24,4.16,,,4.43,
1889,4.1,,,,4.54,
1890,4.15,,,,4.18,
1891,4.14,,,,3.99,
1892,3.93,,,,4.4,
1893,3.98,3.9,,,4.26,
1894,3.94,,,,4.35,
1895,4.01,,,,4.36,
1896,3.98,,,5.73,4.51,
1897,3.92,,,,4.66,
1898,3.99,3.62,,,4.72,
1899,3.9,,,,4.73,
1900,4,,3.85,,4.69,6
1901,4,,,,5.01,
1902,3.91,,,,4.97,
1903,3.78,3.4,3.83,,4.83,
1904,3.77,,,,4.61,
1905,3.74,,,,4.52,
1906,3.73,,,5.72,4.38,
1907,3.7,,,,5.03,
1908,3.7,3.14,3.63,,5.13,
1909,3.69,,3.58,,5.16,
1910,3.55,,3.59,,5.01,
1911,3.45,2.92,3.57,,5.19,
1912,3.39,2.9,3.56,,5.08,
1913,3.27,2.93,3.45,,5.07,
1914,3.2,2.88,3.57,,5.14,
1915,3.01,2.59,3.52,,4.91,
