year,United Kingdom,France,Germany,Sweden,Italy,Brazil,China,Cuba,United States,Japan,Kenya,Bangladesh,India,Russia
1848,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,
1850,,,,,,,32,36.55,,,,,,
1851,39.56,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,
1855,,39.39,39.51,42.41,,,,,,,,,,
1856,40.39,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,
1860,,,,,,,31,32.2,,36.43,,,,
1861,41.19,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,
1865,,40.45,36.06,44.53,,,,,,,,,,
1866,40.32,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,
1870,,,,,29.69,,32,32.85,,36.59,,25.5,,
1871,41.31,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,
1875,,41.45,37.14,47.08,,,,,,,,,,
1876,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,
1880,,,,,32.74,,,42.35,39.41,37.04,,23.2,25.44,
1881,45.85,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,
1885,,43.3,39.01,50.14,,,,,,,,,,
1886,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,
1890,,,,,38.5,,,22.9,45.21,37.68,,22,24.27,31.9
1891,43.8,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,
1895,,45.14,41.2,52.49,,,,,,,,,,
1896,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,
1900,,,,,41.66,,,33.11,50.59,38.6,,21.5,23.74,30.5
1901,49.8,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,
1905,,48.66,44.22,55.9,,,,,,,,,,
1906,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,
1910,,,,,46.75,,,35.22,51.8,39.97,,,23.58,37.5
1911,51.4,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,
1915,,48.14,42.49,57.23,,,,,,,,,,
1916,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,
1920,,,,,45.51,31.98,32,37.38,55.4,42.04,24.71,24.9,26.23,20.5
1921,57.9,,,,,,,,,,,,,
1922,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,
1925,,54.83,50.66,62.18,,,,,,,,,,
1926,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,
1929,,,,,,,,,,,,,,
1930,,,,,55.2,32,32,41.5,59.6,48.62,26.37,,30.13,36.5
1931,60.4,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,
1935,,58.09,,64.93,,,,,,,,,,
1936,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,
1940,,,,,56.95,36.64,39,47.47,63.28,49,28.82,,33.81,41.2
1941,61.65,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,
1945,,60.88,,69.25,,,,,,,,,,
1946,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,
1950,,,,,65.77,49.97,39.25,58.31,68.12,59.3,41.57,36.75,36.8,57.3
1951,68.7,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,
1955,,68.57,,72.48,,,,,,,,,,
1956,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,
1960,,,,,69.21,54.51,31.63,63.89,69.91,67.8,46.32,40.21,42.44,68.67
1961,70.85,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,
1965,,71.24,70.47,73.92,,,,,,,,,,
1966,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,
1970,,,,,71.66,58.57,62.65,69.88,70.92,72.07,52.16,44.03,48.82,68.86
1971,71.9,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,
1975,,73.25,71.96,75.16,,,,,,,,,,
1976,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,
1980,,,,,74.12,62.46,66.12,73.82,73.93,76.19,57.69,47.67,55.11,67.7
1981,73,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,
1985,,75.74,74.59,76.96,,,,,,,,,,
1986,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,
1990,,,,,77.06,66.26,68.04,74.64,75.59,79.03,59.84,53.98,58.2,69.36
1991,74.2,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,
1995,,78.18,76.95,78.95,,,,,,,,,,
1996,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,
2000,,,,,79.72,70.19,71.29,76.64,77.04,81.34,52.82,61.29,61.26,65.38
2001,78.05,,,,,,,,,,,,,
2011,80,82,81,82,82,74,76,78,79,83,60,70,65,69
