year,United Kingdom,France,Germany,Sweden,Italy,Brazil,China,Cuba,United States,Japan,Kenya,Bangladesh,India,Russia
1541,33.75,,,,,,,,,,,,,
1546,32.5,,,,,,,,,,,,,
1551,37.99,,,,,,,,,,,,,
1556,30.73,,,,,,,,,,,,,
1561,27.77,,,,,,,,,,,,,
1566,37.97,,,,,,,,,,,,,
1571,38.22,,,,,,,,,,,,,
1576,40.26,,,,,,,,,,,,,
1581,41.68,,,,,,,,,,,,,
1586,38.31,,,,,,,,,,,,,
1591,35.51,,,,,,,,,,,,,
1596,37.65,,,,,,,,,,,,,
1601,38.12,,,,,,,,,,,,,
1606,40.82,,,,,,,,,,,,,
1611,37.27,,,,,,,,,,,,,
1616,36.79,,,,,,,,,,,,,
1621,39.95,,,,,,,,,,,,,
1626,33.96,,,,,,,,,,,,,
1631,38.71,,,,,,,,,,,,,
1636,36.14,,,,,,,,,,,,,
1641,33.7,,,,,,,,,,,,,
1646,38.47,,,,,,,,,,,,,
1651,37.82,,,,,,,,,,,,,
1656,34.11,,,,,,,,,,,,,
1661,35.71,,,,,,,,,,,,,
1666,31.79,,,,,,,,,,,,,
1671,33.18,,,,,,,,,,,,,
1676,36.37,,,,,,,,,,,,,
1681,28.47,,,,,,,,,,,,,
1686,31.77,,,,,,,,,,,,,
1691,34.87,,,,,,,,,,,,,
1696,34.13,,,,,,,,,,,,,
1701,37.11,,,,,,,,,,,,,
1706,36.44,,,,,,,,,,,,,
1711,35.93,,,,,,,,,,,,,
1716,37.1,,,,,,,,,,,,,
1721,32.51,,,,,,,,,,,,,
1726,32.41,,,,,,,,,,,,,
1731,27.88,,,,,,,,,,,,,
1736,35.64,,,,,,,,,,,,,
1741,31.7,,,,,,,,,,,,,
1745,,25.04,37.41,,,,,,,,,,,
1746,35.34,,,,,,,,,,,,,
1751,35.57,,,,,,,,,,,,,
1755,,27.86,35.99,36.8,,,,,,,,,,
1756,37.29,,,,,,,,,,,,,
1761,34.23,,,,,,,,,,,,,
1765,,27.79,35.68,35.54,,,,,,,,,,
1766,35.04,,,,,,,,,,,,,
1771,35.6,,,,,,,,,,,,,
1775,,28.77,38.15,34.33,,,,,,,,,,
1776,38.17,,,,,,,,,,,,,
1781,34.72,,,,,,,,,,,,,
1785,,28.18,38.04,35.27,,,,,,,,,,
1786,35.93,,,,,,,,,,,,,
1791,37.33,,,,,,,,,,,,,
1795,,31.99,36.58,38.71,,,,,,,,,,
1796,36.76,,,,,,,,,,,,,
1800,,,,,29.01,32,32,32.2,39.41,36.4,25.5,25.5,25.4,31.9
1801,35.89,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,
1805,,34.74,39.91,36.21,,,,,,,,,,
1806,38.7,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,
1810,,,,,,,,34.45,,,,,,
1811,37.59,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,
1815,,35.46,39.27,38.44,,,,,,,,,,
1816,37.86,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,
1820,,,,,,,,36,,,,,,
1821,39.24,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,
1825,,38.61,41.36,41.69,,,,,,,,,,
1826,39.92,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,
1830,,,,,,,,36.45,,,,,,
1831,40.8,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,
1835,,38.77,39.78,41.65,,,,,,,,,,
1836,40.15,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,
1840,,,,,,,,36.1,,,,,,
1841,40.28,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,
1845,,40.52,40.95,43.73,,,,,,,,,,
1846,39.56,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,
