year,Freight Transport
1476,182.1
1477,183.0
1478,179.0
1479,171.1
1480,154.8
1481,135.8
1482,125.8
1483,120.7
1484,120.6
1485,128.0
1486,144.3
1487,149.9
1488,152.7
1489,149.4
1490,149.8
1491,146.8
1492,147.7
1493,152.2
1494,157.0
1495,160.1
1496,159.0
1497,156.5
1498,151.5
1499,144.6
1500,138.6
1501,134.4
1502,131.7
1503,130.2
1504,132.4
1505,136.4
1506,140.6
1507,143.8
1508,142.7
1509,140.5
1510,136.7
1511,132.7
1512,128.9
1513,127.0
1514,125.5
1515,123.0
1516,126.0
1517,130.3
1518,129.7
1519,128.0
1520,131.8
1521,131.0
1522,127.2
1523,130.0
1524,134.8
1525,129.8
1526,123.0
1527,117.9
1528,111.1
1529,104.0
1530,103.7
1531,106.0
1532,106.6
1533,108.7
1534,108.7
1535,111.9
1536,113.9
1537,116.5
1538,116.7
1539,118.0
1540,115.7
1541,112.3
1542,106.0
1543,101.7
1544,97.9
1545,97.7
1546,100.1
1547,103.1
1548,103.7
1549,102.6
1550,98.5
1551,95.7
1552,95.3
1553,95.2
1554,96.9
1555,100.0
1556,101.6
1557,103.3
1558,104.3
1559,108.6
1560,109.1
1561,107.7
1562,111.2
1563,115.8
1564,119.4
1565,125.0
1566,134.0
1567,136.2
1568,142.9
1569,148.2
1570,154.8
1571,151.4
1572,150.4
1573,146.8
1574,143.3
1575,138.5
1576,143.8
1577,149.7
1578,155.6
1579,161.3
1580,165.8
1581,168.9
1582,171.9
1583,169.8
1584,166.8
1585,169.3
1586,172.0
1587,171.1
1588,172.1
1589,177.5
1590,185.3
1591,188.0
1592,187.4
1593,187.3
1594,180.2
1595,165.2
1596,155.4
1597,156.3
1598,157.6
1599,163.8
1600,172.4
1601,181.9
1602,186.4
1603,192.3
1604,194.5
1605,196.7
1606,190.1
1607,187.5
1608,189.3
1609,197.4
1610,199.2
1611,207.7
1612,211.4
1613,211.0
1614,206.5
1615,208.8
1616,211.2
1617,217.7
1618,224.6
1619,234.1
1620,235.9
1621,232.8
1622,231.4
1623,230.9
1624,227.2
1625,235.7
1626,252.6
1627,261.2
1628,261.1
1629,256.3
1630,253.4
1631,247.7
1632,242.9
1633,247.0
1634,258.4
1635,260.6
1636,255.9
1637,263.7
1638,277.4
1639,286.1
1640,301.6
1641,325.6
1642,349.5
1643,359.3
1644,372.6
1645,363.4
1646,341.5
1647,305.8
1648,273.9
1649,249.8
1650,246.9
1651,260.4
1652,282.7
1653,309.1
1654,324.5
1655,330.2
1656,326.6
1657,314.6
1658,302.8
1659,297.7
1660,287.8
1661,287.6
1662,292.8
1663,299.2
1664,290.8
1665,299.4
1666,298.4
1667,298.9
1668,295.7
1669,305.2
1670,312.3
1671,312.3
1672,306.0
1673,308.4
1674,311.5
1675,306.6
1676,310.0
1677,320.5
1678,321.1
1679,319.7
1680,322.5
1681,328.2
1682,325.0
1683,328.7
1684,331.1
1685,340.0
1686,349.6
1687,357.8
1688,363.8
1689,364.6
1690,350.6
1691,328.0
1692,320.8
1693,301.7
1694,288.2
1695,277.1
1696,270.4
1697,257.2
1698,259.6
1699,264.4
1700,276.4
1701,286.0
1702,296.1
1703,303.1
1704,307.9
1705,306.1
1706,298.2
1707,281.9
1708,267.2
1709,251.2
1710,246.8
1711,248.8
1712,262.4
1713,268.8
1714,277.4
1715,280.4
1716,290.4
1717,290.7
1718,293.4
1719,298.0
1720,299.9
1721,300.5
1722,302.0
1723,298.4
1724,294.6
1725,285.7
1726,273.5
1727,272.6
1728,280.9
1729,291.8
1730,309.7
1731,325.7
1732,329.5
1733,327.1
1734,322.2
1735,317.4
1736,318.0
1737,314.8
1738,306.9
1739,303.0
1740,305.6
1741,312.8
1742,326.3
1743,339.5
1744,345.9
1745,345.6
1746,335.5
1747,327.9
1748,327.0
1749,322.3
1750,314.8
1751,313.6
1752,314.1
1753,309.3
1754,300.8
1755,296.6
1756,298.9
1757,300.7
1758,309.1
1759,324.2
1760,334.1
1761,330.2
1762,317.6
1763,302.0
1764,283.0
1765,268.1
1766,262.1
1767,263.7
1768,263.3
1769,264.7
1770,262.3
1771,255.1
1772,247.1
1773,243.1
1774,245.4
1775,247.7
1776,249.3
1777,252.8
1778,255.4
1779,250.0
1780,247.4
1781,245.5
1782,243.3
1783,244.0
1784,251.0
1785,256.4
1786,261.3
1787,264.0
1788,261.3
1789,257.6
1790,251.9
1791,240.6
1792,228.8
1793,215.4
1794,201.3
1795,195.0
1796,195.4
1797,189.5
1798,180.9
1799,172.3
1800,167.3
1801,162.8
1802,162.9
1803,167.1
1804,172.9
1805,171.1
1806,170.0
1807,169.3
1808,173.0
1809,174.2
1810,170.9
1811,165.3
1812,164.4
1813,167.7
1814,168.1
1815,171.4
1816,175.5
1817,177.5
1818,176.6
1819,181.6
1820,190.4
1821,196.7
1822,199.9
1823,198.4
1824,195.5
1825,191.2
1826,187.9
1827,185.4
1828,186.1
1829,184.6
1830,182.6
1831,182.8
1832,184.0
1833,184.2
1834,185.1
1835,184.9
1836,183.0
1837,181.2
1838,179.4
1839,177.6
1840,175.9
1841,175.2
1842,172.3
1843,168.8
1844,163.5
1845,155.9
1846,149.0
1847,146.7
1848,145.5
1849,146.2
1850,148.5
1851,145.6
1852,137.6
1853,129.0
1854,119.8
1855,111.8
1856,108.7
1857,108.0
1858,106.0
1859,104.4
1860,102.8
1861,99.7
1862,97.3
1863,96.1
1864,93.9
1865,90.4
1866,84.3
1867,81.9
1868,79.5
1869,77.8
1870,77.0
1871,79.1
1872,78.3
1873,77.6
1874,77.5
1875,77.3
1876,77.4
1877,77.0
1878,75.9
1879,74.9
1880,73.9
1881,72.5
1882,71.2
1883,71.0
1884,70.9
1885,70.9
1886,70.8
1887,70.2
1888,69.3
1889,68.1
1890,66.9
1891,65.9
1892,64.6
1893,63.5
1894,62.3
1895,60.9
1896,59.2
1897,57.6
1898,55.7
1899,54.3
1900,52.9
1901,51.5
1902,50.3
1903,49.3
1904,48.1
1905,46.8
1906,45.7
1907,44.7
1908,43.6
1909,42.8
1910,42.0
1911,40.9
1912,39.8
1913,38.9
1914,38.3
1915,38.0
1916,39.3
1917,39.9
1918,41.3
1919,44.7
1920,48.0
1921,49.0
1922,50.6
1923,51.4
1924,50.2
1925,49.2
1926,49.2
1927,49.3
1928,49.7
1929,50.3
1930,50.7
1931,51.3
1932,52.0
1933,52.1
1934,51.2
1935,49.8
1936,48.4
1937,48.8
1938,48.4
1939,48.1
1940,47.9
1941,47.9
1942,46.3
1943,45.2
1944,43.8
1945,42.5
1946,41.3
1947,39.6
1948,38.7
1949,38.6
1950,38.9
1951,38.8
1952,39.5
1953,39.8
1954,39.9
1955,39.7
1956,39.3
1957,38.1
1958,36.8
1959,35.5
1960,34.2
1961,33.3
1962,32.1
1963,30.9
1964,29.5
1965,27.8
1966,25.8
1967,24.0
1968,22.4
1969,20.9
1970,19.6
1971,18.3
1972,17.3
1973,16.5
1974,15.9
1975,15.6
1976,15.7
1977,15.7
1978,16.0
1979,16.2
1980,16.4
1981,16.9
1982,17.1
1983,17.5
1984,17.9
1985,17.7
1986,16.8
1987,16.4
1988,15.5
1989,14.8
1990,14.5
1991,14.5
1992,14.4
1993,14.4
1994,14.1
1995,13.9
1996,13.7
1997,13.7
1998,13.7
1999,13.7
2000,13.8
2001,13.9
2002,13.6
2003,13.5
2004,13.4
2005,13.3
2006,13.3
