year,Freight Transport
1302,193.3
1303,194.9
1304,188.2
1305,182.4
1306,176.3
1307,161.6
1308,152.8
1309,148.7
1310,148.7
1311,150.9
1312,155.7
1313,160.6
1314,147.5
1315,129.6
1316,119.3
1317,127.3
1318,132.3
1319,150.4
1320,156.8
1321,157.1
1322,150.6
1323,143.2
1324,145.4
1325,161.8
1326,178.7
1327,176.3
1328,182.1
1329,173.8
1330,161.1
1331,152.4
1332,164.3
1333,172.8
1334,184.8
1335,199.0
1336,217.8
1337,231.2
1338,230.1
1339,237.6
1340,242.0
1341,234.0
1342,213.6
1343,218.0
1344,213.9
1345,202.6
1346,190.2
1347,209.4
1348,202.7
1349,186.5
1350,176.0
1351,171.2
1352,154.0
1353,152.8
1354,162.1
1355,167.5
1356,169.0
1357,162.5
1358,157.7
1359,152.3
1360,153.7
1361,152.3
1362,147.2
1363,145.5
1364,146.9
1365,144.4
1366,144.1
1367,143.5
1368,129.6
1369,121.1
1370,125.4
1371,126.6
1372,132.7
1373,142.8
1374,145.5
1375,147.9
1376,157.3
1377,166.2
1378,177.4
1379,188.7
1380,194.5
1381,197.5
1382,191.6
1383,193.5
1384,193.0
1385,187.8
1386,197.6
1387,215.0
1388,216.7
1389,209.0
1390,218.6
1391,216.1
1392,209.8
1393,211.0
1394,225.4
1395,219.3
1396,206.2
1397,199.9
1398,196.4
1399,191.7
1400,184.6
1401,183.5
1402,185.3
1403,189.4
1404,195.4
1405,212.1
1406,219.6
1407,214.6
1408,199.9
1409,187.6
1410,179.2
1411,177.5
1412,176.9
1413,182.7
1414,181.2
1415,172.2
1416,166.8
1417,169.5
1418,169.7
1419,175.6
1420,184.2
1421,187.1
1422,185.0
1423,188.6
1424,188.9
1425,190.3
1426,193.0
1427,188.8
1428,175.7
1429,173.7
1430,167.3
1431,157.2
1432,154.3
1433,164.0
1434,167.2
1435,170.5
1436,170.7
1437,159.6
1438,149.7
1439,149.1
1440,152.4
1441,156.9
1442,175.9
1443,191.6
1444,195.3
1445,191.6
1446,195.1
1447,193.7
1448,191.5
1449,186.8
1450,190.3
1451,191.0
1452,190.5
1453,191.8
1454,194.1
1455,195.1
1456,197.5
1457,201.1
1458,198.1
1459,190.9
1460,185.0
1461,186.2
1462,189.9
1463,183.4
1464,178.8
1465,177.5
1466,164.6
1467,155.1
1468,159.6
1469,161.6
1470,156.5
1471,160.3
1472,160.5
1473,161.9
1474,172.1
1475,179.6
