decade,Methane,Nitrous oxide
1,647.6,264.2
2,647.1,264.1
3,646.5,264.1
4,646,264
5,645.5,264
6,645,263.9
7,644.5,263.8
8,644,263.8
9,643.4,263.7
10,642.9,263.7
11,642.4,263.6
12,641.9,263.6
13,641.4,263.5
14,641,263.5
15,640.5,263.4
16,640,263.4
17,639.5,263.4
18,639,263.3
19,638.6,263.3
20,638.1,263.2
21,637.7,263.2
22,637.2,263.2
23,636.8,263.2
24,636.4,263.1
25,636,263.1
26,635.6,263.1
27,635.2,263.1
28,634.8,263.1
29,634.4,263.1
30,634.1,263.1
31,633.7,263.1
32,633.4,263.1
33,633.1,263.1
34,632.8,263.2
35,632.5,263.2
36,632.2,263.2
37,631.9,263.2
38,631.6,263.3
39,631.4,263.3
40,631.1,263.3
41,630.9,263.4
42,630.7,263.4
43,630.5,263.5
44,630.2,263.5
45,630,263.6
46,629.9,263.6
47,629.7,263.7
48,629.5,263.7
49,629.4,263.8
50,629.2,263.8
51,629.1,263.9
52,628.9,264
53,628.8,264
54,628.7,264.1
55,628.6,264.1
56,628.5,264.2
57,628.4,264.3
58,628.3,264.3
59,628.2,264.4
60,628.2,264.4
61,628.1,264.5
62,628.1,264.5
63,628,264.6
64,628,264.7
65,627.9,264.7
66,627.9,264.8
67,627.9,264.8
68,627.9,264.9
69,627.9,264.9
70,627.9,265
71,627.9,265
72,627.9,265.1
73,627.9,265.1
74,628,265.2
75,628,265.2
76,628,265.3
77,628.1,265.3
78,628.1,265.4
79,628.2,265.4
80,628.3,265.5
81,628.4,265.5
82,628.4,265.6
83,628.5,265.6
84,628.6,265.6
85,628.7,265.7
86,628.8,265.7
87,628.9,265.8
88,629.1,265.8
89,629.2,265.8
90,629.3,265.9
91,629.4,265.9
92,629.6,265.9
93,629.7,266
94,629.9,266
95,630,266
96,630.2,266.1
97,630.4,266.1
98,630.5,266.1
99,630.7,266.2
100,630.9,266.2
101,631.1,266.2
102,631.3,266.2
103,631.5,266.3
104,631.7,266.3
105,631.9,266.3
106,632.1,266.3
107,632.3,266.3
108,632.6,266.3
109,632.8,266.4
110,633,266.4
111,633.2,266.4
112,633.5,266.4
113,633.7,266.4
114,634,266.4
115,634.2,266.4
116,634.4,266.4
117,634.7,266.4
118,634.9,266.4
119,635.1,266.4
120,635.4,266.4
121,635.6,266.4
122,635.9,266.4
123,636.1,266.4
124,636.3,266.4
125,636.5,266.4
126,636.8,266.3
127,637,266.3
128,637.2,266.3
129,637.4,266.3
130,637.6,266.3
131,637.8,266.2
132,638,266.2
133,638.1,266.2
134,638.3,266.2
135,638.5,266.1
136,638.6,266.1
137,638.8,266.1
138,638.9,266
139,639.1,266
140,639.2,265.9
141,639.3,265.9
142,639.4,265.9
143,639.5,265.8
144,639.6,265.8
145,639.7,265.7
146,639.7,265.7
147,639.8,265.6
148,639.9,265.6
149,639.9,265.6
150,640,265.5
151,640.1,265.5
152,640.1,265.4
153,640.2,265.4
154,640.2,265.4
155,640.2,265.3
156,640.3,265.3
157,640.3,265.3
158,640.4,265.2
159,640.4,265.2
160,640.5,265.2
161,640.5,265.2
162,640.5,265.1
163,640.6,265.1
164,640.6,265.1
165,640.7,265.1
166,640.7,265.1
167,640.8,265.1
168,640.8,265.1
169,640.9,265.1
170,641,265.1
171,641,265.1
172,641.1,265.2
173,641.2,265.2
174,641.3,265.2
175,641.4,265.3
176,641.4,265.3
177,641.5,265.3
178,641.6,265.4
179,641.7,265.4
180,641.7,265.5
181,641.8,265.5
182,641.9,265.6
183,641.9,265.6
184,642,265.7
185,642,265.8
186,642.1,265.8
187,642.1,265.9
188,642.1,266
189,642.1,266
190,642.1,266.1
191,642.1,266.2
192,642.1,266.3
193,642.1,266.3
194,642,266.4
195,642,266.5
196,641.9,266.6
197,641.8,266.6
198,641.7,266.7
199,641.6,266.8
200,641.4,266.9
201,641.3,266.9
202,641.1,267
203,640.9,267.1
204,640.6,267.2
205,640.4,267.2
206,640.1,267.3
207,639.9,267.4
208,639.6,267.4
209,639.2,267.5
210,638.9,267.6
211,638.6,267.6
212,638.2,267.7
213,637.9,267.8
214,637.5,267.8
215,637.1,267.9
216,636.8,267.9
217,636.4,268
218,636,268
219,635.6,268.1
220,635.2,268.1
221,634.8,268.2
222,634.4,268.2
223,634.1,268.2
224,633.7,268.2
225,633.3,268.3
226,633,268.3
227,632.6,268.3
228,632.3,268.3
229,632,268.3
230,631.7,268.3
231,631.4,268.3
232,631.1,268.3
233,630.9,268.3
234,630.6,268.3
235,630.4,268.2
236,630.2,268.2
237,629.9,268.2
238,629.7,268.1
239,629.6,268.1
240,629.4,268.1
241,629.2,268
242,629.1,268
243,628.9,267.9
244,628.8,267.9
245,628.6,267.8
246,628.5,267.7
247,628.4,267.7
248,628.3,267.6
249,628.2,267.5
250,628.1,267.5
251,628,267.4
252,627.9,267.3
253,627.9,267.2
254,627.8,267.1
255,627.7,267.1
256,627.7,267
257,627.6,266.9
258,627.6,266.8
259,627.5,266.7
260,627.5,266.6
261,627.4,266.5
262,627.4,266.4
263,627.3,266.3
264,627.3,266.2
265,627.3,266.1
266,627.2,266
267,627.2,265.9
268,627.2,265.8
269,627.1,265.7
270,627.1,265.6
271,627.1,265.5
272,627,265.4
273,627,265.3
274,626.9,265.1
275,626.9,265
276,626.9,264.9
277,626.8,264.8
278,626.8,264.7
279,626.7,264.6
280,626.6,264.5
281,626.6,264.4
282,626.5,264.3
283,626.4,264.2
284,626.4,264.1
285,626.3,263.9
286,626.2,263.8
287,626.1,263.7
288,626,263.6
289,625.9,263.5
290,625.8,263.4
291,625.7,263.3
292,625.6,263.2
293,625.5,263.1
294,625.4,263
295,625.3,262.9
296,625.2,262.8
297,625,262.8
298,624.9,262.7
299,624.8,262.6
300,624.6,262.5
301,624.5,262.4
302,624.3,262.3
303,624.1,262.2
304,624,262.2
305,623.8,262.1
306,623.6,262
307,623.4,262
308,623.3,261.9
309,623.1,261.8
310,622.9,261.8
311,622.7,261.7
312,622.5,261.7
313,622.3,261.6
314,622.1,261.6
315,621.9,261.5
316,621.7,261.5
317,621.5,261.5
318,621.4,261.4
319,621.2,261.4
320,621,261.4
321,620.8,261.4
322,620.6,261.4
323,620.5,261.3
324,620.3,261.3
325,620.1,261.3
326,620,261.3
327,619.8,261.4
328,619.7,261.4
329,619.6,261.4
330,619.4,261.4
331,619.3,261.5
332,619.2,261.5
333,619.1,261.5
334,619,261.6
335,618.9,261.6
336,618.9,261.7
337,618.8,261.7
338,618.8,261.8
339,618.7,261.9
340,618.7,261.9
