X,Y,CountryCode
79,98,840
79,92,840
79,91,840
79,90,840
80,97,840
80,96,840
80,95,840
80,94,840
80,93,840
80,92,840
80,91,840
80,90,840
80,89,840
81,97,124
81,96,840
81,95,840
81,94,840
81,93,840
81,92,840
81,91,840
81,90,840
81,89,840
81,88,840
82,97,124
82,96,840
82,95,840
82,94,840
82,93,840
82,92,840
82,91,840
82,90,840
82,89,840
82,88,840
82,87,840
83,97,124
83,96,840
83,95,840
83,94,840
83,93,840
83,92,840
83,91,840
83,90,840
83,89,840
83,88,840
83,87,840
83,86,840
84,97,124
84,96,840
84,95,840
84,94,840
84,93,840
84,92,840
84,91,840
84,90,840
84,89,840
84,88,840
84,87,840
84,86,840
85,97,124
85,96,840
85,95,840
85,94,840
85,93,840
85,92,840
85,91,840
85,90,840
85,89,840
85,88,840
85,87,840
85,86,840
86,97,124
86,96,840
86,95,840
86,94,840
86,93,840
86,92,840
86,91,840
86,90,840
86,89,840
86,88,840
86,87,840
86,86,840
87,97,124
87,96,840
87,95,840
87,94,840
87,93,840
87,92,840
87,91,840
87,90,840
87,89,840
87,88,840
87,87,840
87,86,840
88,97,124
88,96,840
88,95,840
88,94,840
88,93,840
88,92,840
88,91,840
88,90,840
88,89,840
88,88,840
88,87,840
88,86,840
89,97,124
89,96,840
89,95,840
89,94,840
89,93,840
89,92,840
89,91,840
89,90,840
89,89,840
89,88,840
89,87,840
89,86,840
90,97,124
90,96,840
90,95,840
90,94,840
90,93,840
90,92,840
90,91,840
90,90,840
90,89,840
90,88,840
90,87,840
90,86,840
90,85,840
90,84,840
90,83,840
90,81,484
91,97,124
91,96,840
91,95,840
91,94,840
91,93,840
91,92,840
91,91,840
91,90,840
91,89,840
91,88,840
91,87,840
91,86,840
91,85,840
91,84,840
91,83,840
91,82,840
91,81,484
91,78,484
92,97,124
92,96,840
92,95,840
92,94,840
92,93,840
92,92,840
92,91,840
92,90,840
92,89,840
92,88,840
92,87,840
92,86,840
92,85,840
92,84,840
92,83,840
92,82,840
92,81,484
92,80,484
92,79,484
92,78,484
92,77,484
93,97,124
93,96,840
93,95,840
93,94,840
93,93,840
93,92,840
93,91,840
93,90,840
93,89,840
93,88,840
93,87,840
93,86,840
93,85,840
93,84,840
93,83,840
93,82,840
93,81,484
93,80,484
93,79,484
93,78,484
93,77,484
94,97,124
94,96,840
94,95,840
94,94,840
94,93,840
94,92,840
94,91,840
94,90,840
94,89,840
94,88,840
94,87,840
94,86,840
94,85,840
94,84,840
94,81,484
94,80,484
94,79,484
94,78,484
94,77,484
94,76,484
94,75,484
95,97,124
95,96,840
95,95,840
95,94,840
95,93,840
95,92,840
95,91,840
95,90,840
95,89,840
95,88,840
95,87,840
95,86,840
95,85,840
95,80,484
95,79,484
95,78,484
95,77,484
95,76,484
95,75,484
95,74,484
96,97,124
96,96,840
96,95,840
96,94,840
96,93,840
96,92,840
96,91,840
96,90,840
96,89,840
96,88,840
96,87,840
96,86,840
96,85,840
96,79,484
96,78,484
96,77,484
96,76,484
96,75,484
96,74,484
96,73,484
97,97,124
97,94,840
97,93,840
97,92,840
97,91,840
97,90,840
97,89,840
97,88,840
97,87,840
97,86,840
97,85,840
97,78,484
97,77,484
97,76,484
97,75,484
97,74,484
97,73,484
98,97,124
98,95,124
98,94,840
98,93,840
98,92,840
98,91,840
98,90,840
98,89,840
98,88,840
98,87,840
98,86,840
98,85,840
98,76,484
98,75,484
98,74,484
98,73,484
99,97,124
99,96,124
99,95,124
99,94,840
99,93,840
99,92,840
99,91,840
99,90,840
99,89,840
99,88,840
99,87,840
99,86,840
99,85,840
99,84,840
99,75,484
99,74,484
99,73,484
100,97,124
100,96,124
100,95,124
100,93,840
100,92,840
100,91,840
100,90,840
100,89,840
100,88,840
100,87,840
100,86,840
100,85,840
100,84,840
100,83,840
100,75,484
100,74,484
100,73,484
101,96,124
101,95,840
101,94,840
101,93,840
101,92,840
101,91,840
101,90,840
101,89,840
101,88,840
101,87,840
101,86,840
101,75,484
101,74,484
101,73,320
101,72,558
102,96,124
102,95,840
102,94,840
102,93,840
102,92,840
102,91,840
102,90,840
102,89,840
102,88,840
102,87,840
102,86,840
102,76,484
102,75,484
102,74,320
102,73,320
103,95,840
103,94,840
103,93,840
103,92,840
103,91,840
103,90,840
103,89,840
103,88,840
103,87,840
103,76,484
103,75,320
103,74,320
103,73,222
103,72,222
104,95,840
104,94,840
104,93,840
104,92,840
104,91,840
104,90,840
104,89,840
104,88,840
104,80,192
104,79,192
104,74,320
104,73,222
105,96,840
105,95,840
105,94,840
105,93,840
105,92,840
105,91,840
105,90,840
105,80,192
105,79,192
105,74,340
105,73,222
106,96,840
106,95,840
106,94,840
106,93,840
106,92,840
106,91,840
106,90,840
106,80,192
106,79,192
106,74,340
106,73,558
107,96,840
107,95,840
107,94,840
107,93,840
107,92,840
107,80,192
107,79,192
107,77,388
107,76,388
107,74,340
107,73,558
107,72,188
108,96,840
108,95,840
108,94,840
108,93,840
108,80,192
108,79,192
108,76,388
108,72,188
108,67,170
108,65,218
108,64,218
109,96,840
109,80,192
109,79,192
109,71,591
109,69,170
109,68,170
109,67,170
109,66,170
109,65,218
109,64,218
109,63,218
109,62,604
109,61,604
109,60,604
109,59,604
110,71,591
110,70,170
110,69,170
110,68,170
110,67,170
110,66,170
110,65,170
110,64,218
110,63,218
110,62,604
110,61,604
110,60,604
110,59,604
110,58,604
111,80,332
111,79,332
111,77,332
111,70,170
111,69,170
111,68,170
111,67,170
111,66,170
111,65,170
111,64,858
111,63,858
111,62,76
111,61,76
111,60,604
111,59,604
111,58,604
111,57,604
112,80,332
112,79,332
112,78,332
112,77,332
112,70,328
112,69,170
112,68,170
112,67,170
112,66,170
112,65,858
112,64,858
112,63,76
112,62,76
112,61,76
112,60,76
112,59,604
112,58,604
112,57,68
112,56,152
112,55,152
112,54,152
112,53,152
112,52,152
112,51,152
112,50,152
112,49,152
112,48,152
112,47,152
113,79,214
113,78,214
113,70,862
113,69,862
113,68,170
113,67,170
113,66,170
113,65,76
113,64,76
113,63,76
113,62,76
113,61,76
113,60,76
113,59,68
113,58,68
113,57,68
113,56,32
113,55,32
113,54,32
113,53,152
113,52,152
113,51,152
113,50,32
113,49,32
113,48,32
113,47,32
113,46,32
114,79,214
114,78,214
114,70,862
114,69,862
114,68,862
114,67,862
114,66,76
114,65,76
114,64,76
114,63,76
114,62,76
114,61,76
114,60,76
114,59,68
114,58,68
114,57,32
114,56,32
114,55,32
114,54,32
114,53,32
114,52,32
114,51,32
114,50,32
114,49,32
114,48,32
115,78,214
115,70,862
115,69,862
115,68,862
115,67,76
115,66,76
115,65,76
115,64,76
115,63,76
115,62,76
115,61,76
115,60,76
115,59,76
115,58,32
115,57,32
115,56,32
115,55,600
115,54,32
115,53,32
115,52,32
115,51,32
115,50,32
115,49,32
116,70,862
116,69,862
116,68,76
116,67,76
116,66,76
116,65,76
116,64,76
116,63,76
116,62,76
116,61,76
116,60,76
116,59,76
116,58,76
116,57,32
116,56,600
116,55,600
